Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;3,388333333;-4,299;-13,59967742;-19,98193548;-20,83464286;-12,75483871;-7,276333333;-1,157741935;4,027;11,70516129;13,01064516;7,657
-0,5;3,568666667;-3,249;-11,62612903;-18,33290323;-19,76642857;-12,95548387;-7,975666667;-2,16516129;2,783;10,1083871;11,91612903;7,653333333
-0,75;3,685666667;-2,305333333;-9,910322581;-16,76903226;-18,58607143;-13,11322581;-8,503333333;-3,046129032;1,680666667;8,566129032;10,83193548;7,543666667
-1;3,752666667;-1,471666667;-8,392903226;-15,27483871;-17,38571429;-13,18580645;-8,909;-3,823548387;0,685333333;7,099677419;9,762580645;7,352
-1,5;3,738333333;-0,18;-5,928387097;-12,52516129;-15,07357143;-13,00129032;-9,386;-5,070967742;-0,997333333;4,478709677;7,686129032;6,732333333
-2;3,567333333;0,658666667;-4,083225806;-10,1;-12,96;-12,41967742;-9,534;-5,968387097;-2,344666667;2,293870968;5,734193548;5,874333333
-2,5;3,261;1,123;-2,732580645;-8,019032258;-11,06;-11,55483871;-9,432;-6,569354839;-3,403333333;0,516129032;3,95;4,863
-3;2,842;1,301;-1,776129032;-6,288064516;-9,370714286;-10,52451613;-9,144333333;-6,917096774;-4,212;-0,904193548;2,362903226;3,783
-3,5;2,337333333;1,269333333;-1,13;-4,891290323;-7,890357143;-9,432580645;-8,716666667;-7,056129032;-4,803333333;-2,023870968;0,984193548;2,694333333
-4;1,771666667;1,089666667;-0,730322581;-3,799354839;-6,611428571;-8,352258065;-8,195666667;-7,027096774;-5,204666667;-2,88483871;-0,186129032;1,653666667
-4,5;1,171333333;0,810333333;-0,52;-2,977741935;-5,528928571;-7,334193548;-7,617333333;-6,872580645;-5,445333333;-3,53;-1,160322581;0,689333333
-5;0,563666667;0,467666667;-0,457096774;-2,383225806;-4,631428571;-6,408709677;-7,015;-6,624516129;-5,552666667;-3,99516129;-1,953870968;-0,175333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;2,077;-4,001;-12,25193548;-17,94258065;-18,69285714;-11,45741935;-6,551;-1,297741935;2,42;7,406451613;8,268064516;4,841
-0,5;2,128333333;-3,210333333;-10,56967742;-16,53;-17,78892857;-11,68096774;-7,213666667;-2,187741935;1,458333333;6,261935484;7,469677419;4,756333333
-0,75;2,136333333;-2,507;-9,116451613;-15,19258065;-16,78464286;-11,86709677;-7,726666667;-2,977741935;0,592666667;5,155806452;6,679032258;4,607333333
-1;2,111;-1,893333333;-7,840645161;-13,91741935;-15,76142857;-11,97709677;-8,128;-3,680967742;-0,202333333;4,098064516;5,897741935;4,403
-1,5;1,968;-0,96;-5,792258065;-11,57612903;-13,7925;-11,89677419;-8,632333333;-4,827096774;-1,572666667;2,191612903;4,38;3,847666667
