Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,469032258;-5,606333333;-15,19580645;-19,87709677;-19,01571429;-11,40903226;-5,102333333;1,872258065;6,397666667;11,06774194;8,264516129;5,960666667
-0,25;1,544666667;-0,294333333;-7,374516129;-17,37516129;-18,81642857;-11,50451613;-7,146666667;-2,181612903;-0,419333333;3,127741935;4,851290323;4,783333333
-0,5;1,099333333;0,04;-2,719032258;-15,36870968;-17,9825;-11,57903226;-7,853333333;-3,117419355;-1,455;-0,747419355;1,78;3,296333333
-0,75;0,561;-0,038333333;-1,426129032;-13,66870968;-16,96428571;-11,50322581;-8,050333333;-3,607741935;-1,919;-1,20516129;-0,07516129;1,678333333
-1;0,021666667;-0,182666667;-0,792580645;-12,04225806;-15,93714286;-11,38677419;-8,175666667;-4,037419355;-2,337333333;-1,606774194;-0,920322581;0,149
-1,5;-0,796;-0,747;-0,807096774;-9,113548387;-13,90535714;-11,01064516;-8,243333333;-4,739354839;-3,068;-2,304516129;-1,728709677;-1,090333333
-2;-1,461333333;-1,327666667;-1,278064516;-6,841612903;-11,94678571;-10,43612903;-8,131333333;-5,26516129;-3,688;-2,911612903;-2,370322581;-1,819666667
-2,5;-2,059333333;-1,875;-1,773870968;-5,285483871;-10,09428571;-9,686451613;-7,893333333;-5,643225806;-4,212333333;-3,451612903;-2,929354839;-2,433333333
-3;-2,61;-2,39;-2,250322581;-4,280322581;-8,362857143;-8,801612903;-7,567666667;-5,899032258;-4,658;-3,934193548;-3,431290323;-2,980333333
-3,5;-3,120333333;-2,878333333;-2,707096774;-3,659032258;-6,765;-7,830322581;-7,183;-6,057096774;-5,034;-4,369032258;-3,889354839;-3,479
-4;-3,586333333;-3,331666667;-3,136774194;-3,361935484;-5,385714286;-6,828709677;-6,745666667;-6,112580645;-5,329333333;-4,739677419;-4,293225806;-3,921
-4,5;-3,953666667;-3,706333333;-3,50483871;-3,447096774;-4,528928571;-5,910967742;-6,249666667;-5,997096774;-5,463333333;-4,982903226;-4,588709677;-4,258
-5;-4,235;-4,005;-3,808064516;-3,67;-4,133928571;-5,194193548;-5,754;-5,772903226;-5,469333333;-5,111612903;-4,784516129;-4,501333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,469032258;-5,606333333;-15,19580645;-19,87709677;-19,01571429;-11,40903226;-5,102333333;1,872258065;6,397666667;11,06774194;8,264516129;5,960666667
-0,25;1,343333333;-0,254666667;-6,747419355;-16,36516129;-17,76107143;-10,94709677;-6,806;-2,13516129;-0,509;2,437096774;3,88483871;4,163333333
-0,5;0,882666667;0,017;-2,349354839;-14,43806452;-16,93821429;-11,02967742;-7,495333333;-3,031612903;-1,453666667;-0,796451613;0,739032258;2,628333333
-0,75;0,343;-0,081333333;-1,274516129;-12,82741935;-15,96821429;-10,95483871;-7,682333333;-3,497419355;-1,895;-1,222258065;-0,529032258;1,002666667
-1;-0,169666667;-0,266333333;-0,792258065;-11,29096774;-14,99678571;-10,84064516;-7,798666667;-3,904516129;-2,294;-1,600967742;-1,063870968;-0,272333333
-1,5;-0,909;-0,835333333;-0,870967742;-8,537741935;-13,07571429;-10,47064516;-7,857;-4,566451613;-2,987333333;-2,261935484;-1,771612903;-1,213666667
-2;-1,526333333;-1,382;-1,32;-6,41483871;-11,22821429;-9,911290323;-7,741666667;-5,058387097;-3,572;-2,836451613;-2,353225806;-1,875666667
-2,5;-2,081666667;-1,895333333;-1,788064516;-4,976451613;-9,482857143;-9,18516129;-7,505666667;-5,405483871;-4,066;-3,346451613;-2,867741935;-2,437
-3;-2,591666667;-2,376;-2,236451613;-4,058387097;-7,856428571;-8,330645161;-7,187666667;-5,637419355;-4,480333333;-3,799677419;-3,333225806;-2,937
-3,5;-3,062666667;-2,832333333;-2,665483871;-3,503548387;-6,358214286;-7,396774194;-6,811666667;-5,776451613;-4,829333333;-4,20516129;-3,758064516;-3,392666667
-4;-3,491333333;-3,252333333;-3,066774194;-3,250645161;-5,075357143;-6,436451613;-6,387;-5,816129032;-5,099;-4,550322581;-4,132580645;-3,797666667
-4,5;-3,826666667;-3,598;-3,407741935;-3,342580645;-4,293571429;-5,567419355;-5,909333333;-5,69516129;-5,215333333;-4,772258065;-4,405483871;-4,103
-5;-0,30;-0,41;-1,14;-2,77;-4,65;-6,05;-6,45;-6,02;-4,90;-3,45;-1,91;-0,82
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,469032258;-5,606333333;-15,19580645;-19,87709677;-19,01571429;-11,40903226;-5,102333333;1,872258065;6,397666667;11,06774194;8,264516129;5,960666667
-0,25;1,151666667;-0,115;-3,882903226;-11,49354839;-13,37214286;-8,313548387;-5,318333333;-1,85483871;-0,538666667;1,867741935;3,018387097;3,497666667
-0,5;0,71;0,003666667;-0,533548387;-9,220967742;-12,55178571;-8,372903226;-5,815;-2,578709677;-1,317333333;-0,766451613;0,100645161;1,998333333
-0,75;0,204666667;-0,098333333;-0,244193548;-7,446451613;-11,65214286;-8,269677419;-5,903333333;-2,911935484;-1,652666667;-1,092258065;-0,658709677;0,487333333
-1;-0,246333333;-0,28;-0,331935484;-5,898064516;-10,75678571;-8,129032258;-5,934;-3,192580645;-1,944333333;-1,376451613;-0,989032258;-0,436333333
-1,5;-0,831333333;-0,739666667;-0,711290323;-3,852580645;-9,02;-7,719677419;-5,860666667;-3,618064516;-2,424333333;-1,852903226;-1,48483871;-1,101
-2;-1,285333333;-1,146666667;-1,074516129;-2,701935484;-7,403928571;-7,146451613;-5,652666667;-3,889677419;-2,801;-2,239032258;-1,881612903;-1,564
-2,5;-1,674333333;-1,515333333;-1,415483871;-2,146774194;-5,945357143;-6,434516129;-5,352666667;-4,036774194;-3,09;-2,561935484;-2,216129032;-1,934666667
-3;-2,013333333;-1,848333333;-1,731935484;-1,983870968;-4,676428571;-5,627419355;-4,99;-4,080967742;-3,31;-2,832903226;-2,508387097;-2,251333333
-3,5;-2,315666667;-2,151666667;-2,025483871;-2,041290323;-3,611428571;-4,770645161;-4,582666667;-4,048709677;-3,47;-3,060645161;-2,763225806;-2,530333333
-4;-2,578;-2,421;-2,290967742;-2,202258065;-2,833214286;-3,936451613;-4,149;-3,943225806;-3,564;-3,235806452;-2,975806452;-2,767
-4,5;-2,763333333;-2,621333333;-2,497096774;-2,393548387;-2,556428571;-3,296451613;-3,710666667;-3,737096774;-3,541666667;-3,311290323;-3,102258065;-2,924666667
-5;0,27;0,14;-0,48;-1,77;-3,25;-4,35;-4,68;-4,37;-3,50;-2,33;-1,04;-0,14
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,469032258;-5,606333333;-15,19580645;-19,87709677;-19,01571429;-11,40903226;-5,102333333;1,872258065;6,397666667;11,06774194;8,264516129;5,960666667
-0,25;0,692666667;-0,070666667;-1,823225806;-6,522903226;-8,9075;-5,857741935;-3,865666667;-1,543225806;-0,619333333;0,733870968;1,639677419;1,795666667
-0,5;0,189333333;-0,057666667;-0,138709677;-3,936774194;-8,043214286;-5,870645161;-4,219333333;-2,092258065;-1,195666667;-0,767419355;-0,490967742;0,084333333
-0,75;-0,262333333;-0,257;-0,278709677;-2,759677419;-7,196071429;-5,729677419;-4,238666667;-2,310645161;-1,434333333;-1,000322581;-0,734516129;-0,474
-1;-0,532333333;-0,461;-0,441612903;-1,984516129;-6,370357143;-5,559032258;-4,214666667;-2,483548387;-1,632333333;-1,200322581;-0,930645161;-0,722
-1,5;-0,886666667;-0,784333333;-0,728387097;-1,237419355;-4,837857143;-5,110645161;-4,065666667;-2,717741935;-1,933666667;-1,520322581;-1,253870968;-1,061
-2;-1,163;-1,05;-0,97483871;-1,062903226;-3,541785714;-4,547096774;-3,819666667;-2,822580645;-2,135;-1,75516129;-1,50516129;-1,323333333
-2,5;-1,390333333;-1,277333333;-1,19516129;-1,16;-2,586071429;-3,908709677;-3,509;-2,825806452;-2,262333333;-1,924516129;-1,699677419;-1,533333333
-3;-1,577;-1,473666667;-1,390967742;-1,330322581;-2,01;-3,24516129;-3,154333333;-2,747419355;-2,327;-2,047741935;-1,850967742;-1,703333333
-3,5;-1,735;-1,643333333;-1,56516129;-1,501290323;-1,732142857;-2,607419355;-2,776;-2,613225806;-2,346666667;-2,133870968;-1,970322581;-1,843666667
-4;-1,860333333;-1,782666667;-1,712903226;-1,651290323;-1,653928571;-2,079032258;-2,401;-2,436451613;-2,318;-2,179677419;-2,054516129;-1,950666667
-4,5;-1,929333333;-1,867;-1,808387097;-1,754516129;-1,715714286;-1,836774194;-2,1;-2,228064516;-2,222666667;-2,156129032;-2,076774194;-2,000333333
-5;0,41;0,30;-0,15;-1,07;-2,11;-2,88;-3,12;-2,91;-2,31;-1,47;-0,54;0,12
