Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;2,259666667;-4,090333333;-13,47741935;-18,77967742;-18,71785714;-11,63290323;-5,890666667;0,983870968;6,913666667;13,33612903;10,45516129;7,879333333
-0,5;2,227333333;-1,335333333;-8,723548387;-14,51612903;-16,01214286;-10,89354839;-6,798;-1,583548387;2,803333333;8,627741935;7,879032258;6,632333333
-0,75;2,114666667;-0,019666667;-5,27;-11,32516129;-13,82535714;-10,35064516;-7,346333333;-2,828064516;0,174333333;5,117741935;5,875806452;5,549666667
-1;1,955333333;0,288;-3,225483871;-9,218064516;-12,23142857;-9,947741935;-7,509666667;-3,49;-0,967333333;2,987741935;4,534516129;4,704666667
-1,5;1,431333333;0,315666667;-0,614516129;-5,375806452;-9,162142857;-8,960967742;-7,405;-4,400322581;-2,275;-0,229032258;1,993870968;2,877333333
-2;0,707;0,153666667;-0,059677419;-2,361935484;-6,490357143;-7,707096774;-6,908666667;-4,85483871;-3,073333333;-1,651290323;-0,166451613;1,022333333
-2,5;-0,108333333;-0,150333333;-0,237419355;-0,972258065;-4,339285714;-6,326451613;-6,216;-4,977741935;-3,573;-2,407741935;-1,299354839;-0,492666667
-3;-0,825;-0,656;-0,610322581;-0,741935484;-2,795357143;-4,985483871;-5,444666667;-4,859677419;-3,840666667;-2,897741935;-1,988387097;-1,287
-3,5;-1,364666667;-1,109;-0,977741935;-0,929032258;-1,900714286;-3,832258065;-4,67;-4,578064516;-3,928333333;-3,201612903;-2,461612903;-1,835
-4;-1,782333333;-1,487333333;-1,301612903;-1,187096774;-1,536428571;-2,947096774;-3,957333333;-4,211612903;-3,886666667;-3,364193548;-2,775806452;-2,231
-4,5;-2,096666667;-1,790333333;-1,57483871;-1,426129032;-1,482142857;-2,354516129;-3,354666667;-3,826774194;-3,761666667;-3,423225806;-2,970967742;-2,509666667
-5;-2,324333333;-2,024666667;-1,796451613;-1,626774194;-1,563214286;-2,028709677;-2,894666667;-3,470967742;-3,59;-3,403870968;-3,072903226;-2,691666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,192666667;-3,639;-12,07741935;-16,96967742;-16,79535714;-10,56322581;-5,438333333;0,231612903;4,199;8,244516129;6,457096774;4,880333333
-0,5;1,034;-1,234;-7,81516129;-13,51064516;-14,70607143;-10,15935484;-6,423333333;-1,79;0,961;4,611290323;4,362903226;3,708666667
-0,75;0,834333333;-0,185;-4,713225806;-10,90903226;-13,03821429;-9,862903226;-7,041666667;-2,971935484;-0,824;1,961935484;2,797419355;2,755333333
-1;0,655666667;0,017333333;-2,922258065;-9,217741935;-11,805;-9,623225806;-7,276;-3,632903226;-1,564;0,470967742;1,784516129;2,062333333
-1,5;0,203666667;-0,041666667;-0,829032258;-6,230967742;-9,410357143;-8,961290323;-7,359666667;-4,587741935;-2,675666667;-1,333548387;-0,108709677;0,613
