Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,044333333;-6,566333333;-16,79;-22,30967742;-19,52142857;-15,80258065;-4,691;-0,122903226;5,575666667;13,51193548;10,00193548;5,601333333
-0,25;1,981666667;-0,665333333;-9,422258065;-19,39064516;-19,345;-16,43645161;-7,008333333;-1,949677419;-0,919666667;3,378064516;6,493870968;4,727666667
-0,5;1,399333333;0,050333333;-4,659677419;-17,24096774;-18,77928571;-16,29419355;-7,995;-2,864516129;-1,720666667;-0,883225806;2,958064516;3,377666667
-0,75;0,772666667;-0,017;-2,952580645;-15,57096774;-18;-15,83903226;-8,400666667;-3,442580645;-2,181;-1,389032258;0,552258065;1,873666667
-1;0,145;-0,147666667;-1,919354839;-13,98870968;-17,18285714;-15,34225806;-8,721666667;-3,969032258;-2,608333333;-1,830645161;-0,778709677;0,385333333
-1,5;-0,792666667;-0,753666667;-1,308387097;-11,11741935;-15,45928571;-14,25483871;-9,131333333;-4,866129032;-3,382333333;-2,606129032;-1,809354839;-1,067333333
-2;-1,543;-1,407666667;-1,477096774;-8,700322581;-13,65214286;-13,07741935;-9,278666667;-5,581935484;-4,066333333;-3,287419355;-2,583225806;-1,901333333
-2,5;-2,225;-2,029;-1,94516129;-6,813870968;-11,81857143;-11,85258065;-9,218;-6,144193548;-4,673;-3,898387097;-3,249354839;-2,622666667
-3;-2,859666667;-2,619333333;-2,472903226;-5,461935484;-10,00285714;-10,60193548;-8,994;-6,571612903;-5,208;-4,451935484;-3,847096774;-3,273
-3,5;-3,455;-3,183;-2,994193548;-4,534516129;-8,247857143;-9,349677419;-8,649666667;-6,890645161;-5,679333333;-4,955806452;-4,390645161;-3,871333333
-4;-4,003666667;-3,71;-3,489677419;-3,997419355;-6,665;-8,137419355;-8,199333333;-7,08483871;-6,068;-5,394516129;-4,872580645;-4,408
-4,5;-4,450666667;-4,155666667;-3,921290323;-3,970322581;-5,563928571;-7,08483871;-7,615333333;-7,056774194;-6,29;-5,701935484;-5,234516129;-4,826
-5;-4,797666667;-4,521;-4,286774194;-4,168064516;-4,961785714;-6,25483871;-7,002666667;-6,869354839;-6,365;-5,889677419;-5,488064516;-5,135
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,044333333;-6,566333333;-16,79;-22,30967742;-19,52142857;-15,80258065;-4,691;-0,122903226;5,575666667;13,51193548;10,00193548;5,601333333
-0,25;1,743333333;-0,559333333;-8,578064516;-18,22483871;-18,24607143;-15,49935484;-6,677;-1,906774194;-0,941333333;2,598709677;5,199032258;4,087333333
-0,5;1,145666667;0,027333333;-4,03516129;-16,16193548;-17,72285714;-15,36548387;-7,618666667;-2,792258065;-1,692333333;-0,92483871;1,609032258;2,707333333
-0,75;0,515333333;-0,057;-2,581290323;-14,56967742;-16,98285714;-14,93516129;-8,004333333;-3,343870968;-2,133333333;-1,394516129;-0,199354839;1,211
-1;-0,089333333;-0,231666667;-1,756774194;-13,06193548;-16,20857143;-14,46483871;-8,307;-3,842903226;-2,54;-1,812580645;-1,020645161;-0,134
-1,5;-0,923333333;-0,855333333;-1,300967742;-10,34225806;-14,57321429;-13,43580645;-8,686333333;-4,693225806;-3,278333333;-2,545806452;-1,887741935;-1,222
-2;-1,623;-1,475666667;-1,506451613;-8,075806452;-12,85964286;-12,32516129;-8,818;-5,369032258;-3,926666667;-3,190967742;-2,583225806;-1,982333333
-2,5;-2,259333333;-2,061;-1,963870968;-6,335806452;-11,12285714;-11,16580645;-8,749;-5,890967742;-4,499;-3,768709677;-3,194193548;-2,643
-3;-2,850666667;-2,615;-2,465806452;-5,115483871;-9,405714286;-9,983870968;-8,524333333;-6,28516129;-5,003;-4,292580645;-3,744193548;-3,240333333
-3,5;-3,405;-3,143666667;-2,959032258;-4,299032258;-7,756071429;-8,801935484;-8,187666667;-6,574516129;-5,443333333;-4,766129032;-4,248064516;-3,789666667
-4;-3,911333333;-3,636666667;-3,42516129;-3,841612903;-6,271428571;-7,660322581;-7,750666667;-6,74483871;-5,805333333;-5,178387097;-4,696129032;-4,281333333
-4,5;-4,325;-4,050333333;-3,829354839;-3,848064516;-5,261785714;-6,674516129;-7,191;-6,70516129;-6,006333333;-5,463548387;-5,032580645;-4,663
-5;-0,57;-0,65;-1,51;-3,28;-5,31;-6,85;-7,54;-6,96;-5,80;-4,38;-2,47;-1,10
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,044333333;-6,566333333;-16,79;-22,30967742;-19,52142857;-15,80258065;-4,691;-0,122903226;5,575666667;13,51193548;10,00193548;5,601333333
-0,25;1,521;-0,236666667;-5,192258065;-13,14516129;-13,78178571;-11,82483871;-5,276666667;-1,706774194;-0,895;2,036451613;4,167741935;3,481333333
