Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72354839;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;3,387;-5,601666667;-15,48741935;-21,40354839;-19,96428571;-16,79903226;-6,226333333;-0,940645161;5,753;16,58322581;13,68322581;8,083
-0,5;3,661666667;-4,366;-13,42129032;-19,44483871;-19,26464286;-16,70419355;-7,322333333;-1,740645161;3,966666667;14,33387097;13,20870968;8,179666667
-0,75;3,867666667;-3,247666667;-11,5616129;-17,67096774;-18,49607143;-16,42193548;-8,212666667;-2,513225806;2,46;12,22677419;12,56774194;8,135
-1;4,019333333;-2,24;-9,875483871;-16,03064516;-17,6675;-16,02612903;-8,938;-3,247741935;1,156333333;10,2616129;11,80096774;7,989
-1,5;4,164333333;-0,623;-7,065806452;-13,12193548;-15,84428571;-14,99483871;-9,901666667;-4,560322581;-0,903666667;6,82483871;9,969032258;7,440666667
-2;4,115333333;0,487333333;-4,902580645;-10,61967742;-13,90892857;-13,79096774;-10,33666667;-5,623225806;-2,426666667;3,998709677;7,955806452;6,648333333
-2,5;3,891333333;1,161333333;-3,277741935;-8,480967742;-11,98857143;-12,51419355;-10,35966667;-6,413225806;-3,553666667;1,716774194;5,95;5,695
-3;3,514;1,495333333;-2,094516129;-6,683225806;-10,17785714;-11,22709677;-10,08;-6,935483871;-4,380333333;-0,095806452;4,066774194;4,650666667
-3,5;3,019;1,574;-1,267096774;-5,208709677;-8,538928571;-9,972580645;-9,589666667;-7,21483871;-4,969666667;-1,509354839;2,377096774;3,571
-4;2,438;1,469666667;-0,72516129;-4,032580645;-7,103214286;-8,784516129;-8,964;-7,287096774;-5,37;-2,587741935;0,910322581;2,504333333
-4,5;1,809;1,234333333;-0,41;-3,123870968;-5,879285714;-7,686774194;-8,267333333;-7,190967742;-5,61;-3,387096774;-0,326451613;1,485333333
-5;1,163333333;0,911666667;-0,269032258;-2,447419355;-4,864285714;-6,693870968;-7,544;-6,968709677;-5,720666667;-3,956774194;-1,340645161;0,544333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72354839;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,997333333;-5,186666667;-13,95387097;-19,22290323;-17,92142857;-15,08225806;-5,617333333;-0,883225806;3,534;10,53935484;8,696774194;5,110333333
-0,5;2,127666667;-4,239333333;-12,2;-17,5416129;-17,35571429;-15,0483871;-6,642666667;-1,64;2,227666667;8,972903226;8,292580645;5,087333333
-0,75;2,203666667;-3,388333333;-10,63032258;-16,02548387;-16,72714286;-14,84741935;-7,483666667;-2,37;1,104666667;7,499032258;7,780645161;4,973333333
-1;2,240333333;-2,629666667;-9,214193548;-14,6283871;-16,04428571;-14,54451613;-8,179;-3,069354839;0,113333333;6,117096774;7,190967742;4,795
-1,5;2,202333333;-1,432666667;-6,873225806;-12,16258065;-14,52678571;-13,72032258;-9,130333333;-4,324193548;-1,501333333;3,678709677;5,822580645;4,277333333
-2;2,036666667;-0,637666667;-5,097741935;-10,05322581;-12,90571429;-12,73967742;-9,604;-5,353870968;-2,745333333;1,646129032;4,346129032;3,606
-2,5;1,760666667;-0,184333333;-3,787096774;-8,259354839;-11,29142857;-11,68903226;-9,707333333;-6,135483871;-3,709;-0,022903226;2,882258065;2,84
-3;1,389666667;0,003666667;-2,850967742;-6,758709677;-9,7675;-10,62548387;-9,537;-6,675483871;-4,446333333;-1,370967742;1,509032258;2,024
-3,5;0,948;0,002;-2,214516129;-5,535806452;-8,39;-9,584516129;-9,173666667;-6,996129032;-4,998666667;-2,442258065;0,275806452;1,193333333
-4;0,458333333;-0,137;-1,810322581;-4,566774194;-7,183571429;-8,596129032;-8,684;-7,127096774;-5,396;-3,276129032;-0,801612903;0,380666667
-4,5;-0,054333333;-0,367333333;-1,590322581;-3,825483871;-6,161428571;-7,681612903;-8,125333333;-7,103548387;-5,655666667;-3,910645161;-1,716451613;-0,388666667
-5;-0,569666667;-0,654666667;-1,509032258;-3,279032258;-5,313571429;-6,854516129;-7,538666667;-6,960967742;-5,802666667;-4,376129032;-2,472903226;-1,097
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72354839;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,856333333;-3,909666667;-10,63967742;-14,67709677;-13,685;-11,51645161;-4,28;-0,660967742;3,214333333;9,422580645;7,775483871;4,580333333
-0,5;1,993333333;-3,135;-9,267741935;-13,36741935;-13,23214286;-11,47290323;-5,049333333;-1,226451613;2,123333333;8,08516129;7,460322581;4,599666667
-0,75;2,086666667;-2,435;-8,035483871;-12,18354839;-12,73214286;-11,30258065;-5,677333333;-1,771612903;1,195333333;6,827419355;7,050322581;4,536666667
-1;2,147;-1,809333333;-6,922580645;-11,09322581;-12,19;-11,05290323;-6,193333333;-2,290967742;0,382333333;5,652580645;6,570322581;4,416333333
-1,5;2,172333333;-0,812;-5,076451613;-9,162258065;-10,99142857;-10,39032258;-6,89;-3,223548387;-0,922;3,587741935;5,440322581;4,031333333
-2;2,086666667;-0,14;-3,665483871;-7,506129032;-9,715357143;-9,607741935;-7,224666667;-3,983870968;-1,910666667;1,878387097;4,210322581;3,507666667
-2,5;1,901333333;0,256333333;-2,616129032;-6,093548387;-8,446428571;-8,773548387;-7,275;-4,556774194;-2,659666667;0,486774194;2,986451613;2,896
-3;1,630666667;0,436666667;-1,859677419;-4,910322581;-7,248214286;-7,930322581;-7,117666667;-4,94516129;-3,222;-0,628709677;1,840967742;2,236666667
-3,5;1,294;0,459333333;-1,337096774;-3,942580645;-6,165;-7,106129032;-6,813666667;-5,16516129;-3,635;-1,509032258;0,810645161;1,560666667
-4;0,912333333;0,37;-1,001612903;-3,173225806;-5,216428571;-6,326451613;-6,416;-5,242258065;-3,923666667;-2,185483871;-0,085483871;0,895
-4,5;0,506;0,202666667;-0,811612903;-2,580967742;-4,408928571;-5,602258065;-5,965666667;-5,203225806;-4,106666667;-2,694516129;-0,842903226;0,265333333
-5;0,093333333;-0,015666667;-0,734193548;-2,142580645;-3,74;-4,948709677;-5,496333333;-5,075483871;-4,201666667;-3,062580645;-1,468709677;-0,317333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72354839;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,421333333;-2,683;-7,350967742;-10,15064516;-9,465357143;-7,964516129;-2,956;-0,451290323;2,437333333;7,087419355;5,848064516;3,450666667
-0,5;1,533333333;-2,123666667;-6,388709677;-9,233870968;-9,143214286;-7,927096774;-3,481;-0,835806452;1,646;6,102903226;5,629354839;3,478333333
-0,75;1,612333333;-1,618333333;-5,521612903;-8,403548387;-8,786785714;-7,800322581;-3,909333333;-1,207419355;0,974666667;5,180645161;5,338387097;3,445333333
-1;1,668;-1,165;-4,739032258;-7,637096774;-8,404285714;-7,621935484;-4,259666667;-1,560322581;0,39;4,318709677;4,993870968;3,369333333
-1,5;1,709666667;-0,441;-3,435483871;-6,28;-7,556428571;-7,146774194;-4,727666667;-2,193225806;-0,541333333;2,808387097;4,177741935;3,109666667
-2;1,669;0,052333333;-2,435806452;-5,115806452;-6,656071429;-6,590645161;-4,945666667;-2,706774194;-1,238666667;1,562580645;3,286774194;2,743666667
-2,5;1,552666667;0,348333333;-1,688064516;-4,119354839;-5,762142857;-5,998709677;-4,968;-3,091290323;-1,760333333;0,551290323;2,399032258;2,311666667
-3;1,371666667;0,489666667;-1,145483871;-3,283548387;-4,917142857;-5,400645161;-4,847;-3,347741935;-2,148333333;-0,254516129;1,566129032;1,842
-3,5;1,141;0,518333333;-0,769032258;-2,598709677;-4,154642857;-4,817419355;-4,623;-3,489677419;-2,429666667;-0,886129032;0,819032258;1,357666667
-4;0,874333333;0,464333333;-0,524193548;-2,052258065;-3,485;-4,264193548;-4,336333333;-3,531935484;-2,621333333;-1,369354839;0,170322581;0,881333333
-4,5;0,589666667;0,353333333;-0,381612903;-1,631290323;-2,914285714;-3,752580645;-4,015;-3,49516129;-2,739;-1,73;-0,376774194;0,428333333
-5;0,297;0,204;-0,319677419;-1,318709677;-2,440357143;-3,290645161;-3,680333333;-3,396129032;-2,796;-1,988064516;-0,828709677;0,010333333
