Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10451613;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,896;-2,981666667;-11,51193548;-17,79225806;-18,53785714;-11,89064516;-8,218;-2,752903226;1,335666667;7,792580645;8,816129032;4,635666667
-0,5;1,258;-0,934;-8,513870968;-15,80612903;-17,26071429;-11,6683871;-8,505666667;-3,862903226;-1,004;3,017741935;5,627096774;3,283333333
-0,75;0,605333333;-0,154;-5,863225806;-13,87225806;-15,90392857;-11,44741935;-8,711;-4,73;-1,990666667;-0,17483871;2,452580645;1,853333333
-1;-0,02;-0,214333333;-3,927096774;-12,00806452;-14,50785714;-11,20612903;-8,832;-5,429354839;-2,792;-1,484193548;-0,035483871;0,419333333
-1,5;-1,138;-1,066;-2,175806452;-8,532580645;-11,74107143;-10,58290323;-8,859333333;-6,447419355;-4,131666667;-2,90516129;-1,947419355;-1,348666667
-2;-2,087333333;-1,891333333;-1,958064516;-5,749677419;-9,236428571;-9,680967742;-8,617666667;-7,000967742;-5,125666667;-3,962258065;-3,084193548;-2,454333333
-2,5;-2,864666667;-2,595666667;-2,429677419;-4,125483871;-7,203928571;-8,54516129;-8,140333333;-7,150322581;-5,751666667;-4,709354839;-3,909354839;-3,296666667
-3;-3,495666667;-3,190666667;-2,967419355;-3,530322581;-5,7225;-7,375483871;-7,535333333;-7,037741935;-6,079;-5,207419355;-4,504193548;-3,937
-3,5;-3,996666667;-3,683666667;-3,44;-3,511612903;-4,797142857;-6,341935484;-6,890666667;-6,768387097;-6,187333333;-5,508709677;-4,917419355;-4,415666667
-4;-4,384;-4,082666667;-3,835806452;-3,722258065;-4,345357143;-5,543548387;-6,276666667;-6,419354839;-6,138666667;-5,658709677;-5,185806452;-4,761333333
-4,5;-4,671;-4,396;-4,16;-3,988387097;-4,216428571;-5,014193548;-5,747;-6,052903226;-5,992333333;-5,694516129;-5,340322581;-4,995666667
-5;-4,874333333;-4,635666667;-4,420322581;-4,239354839;-4,263928571;-4,723548387;-5,335333333;-5,709354839;-5,795;-5,649677419;-5,406451613;-5,141666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10451613;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,933333333;-2,603666667;-10,63451613;-16,07774194;-16,71107143;-10,64903226;-7,476666667;-2,620645161;0,242666667;4,252903226;5,127419355;2,674
-0,5;0,434;-0,827;-8,342258065;-14,43387097;-15,67035714;-10,49806452;-7,807666667;-3,639677419;-1,23;0,75;2,52483871;1,530666667
-0,75;-0,059666667;-0,314;-6,366451613;-12,83129032;-14,50857143;-10,36516129;-8,031;-4,45;-2,075;-0,988064516;0,264516129;0,379
-1;-0,545333333;-0,588333333;-4,816774194;-11,27967742;-13,31;-10,21290323;-8,167666667;-5,106451613;-2,800666667;-1,775806452;-0,962258065;-0,544333333
-1,5;-1,502333333;-1,397333333;-2,960645161;-8,379032258;-10,93785714;-9,768064516;-8,239666667;-6,072903226;-4,029666667;-2,993548387;-2,231290323;-1,736333333
-2;-2,332333333;-2,133666667;-2,423548387;-6,005483871;-8,790357143;-9,050322581;-8,066333333;-6,614193548;-4,953333333;-3,937741935;-3,203870968;-2,671666667
-2,5;-3,021333333;-2,768666667;-2,671290323;-4,5;-7,041785714;-8,097741935;-7,678666667;-6,783548387;-5,54;-4,618064516;-3,928709677;-3,405333333
-3;-3,583;-3,304666667;-3,107096774;-3,834193548;-5,746428571;-7,095806452;-7,172333333;-6,711935484;-5,854666667;-5,078387097;-4,462580645;-3,971333333
-3,5;-4,030333333;-3,748666667;-3,52516129;-3,706774194;-4,9075;-6,197096774;-6,621666667;-6,491612903;-5,967333333;-5,362258065;-4,838387097;-4,4
-4;-4,376333333;-4,107666667;-3,882903226;-3,833870968;-4,4675;-5,495806452;-6,093333333;-6,195806452;-5,934333333;-5,506774194;-5,085806452;-4,711
-4,5;-4,636333333;-4,390666667;-4,176451613;-4,041935484;-4,309285714;-5,018064516;-5,633333333;-5,879032258;-5,813;-5,546774194;-5,23;-4,925
-5;-4,82;-4,606666667;-4,411612903;-4,255806452;-4,318928571;-4,74516129;-5,270666667;-5,580322581;-5,645;-5,510645161;-5,293225806;-5,056666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10451613;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,913333333;-1,805333333;-7,622903226;-12,05290323;-12,64321429;-8,039354839;-5,735666667;-2,088709677;0,200333333;3,676774194;4,512580645;2,383333333
-0,5;0,432;-0,459;-5,424516129;-10,57;-11,70464286;-7,853870968;-5,946333333;-2,892580645;-1,051333333;0,577419355;2,160322581;1,352666667
-0,75;-0,036666667;-0,203;-3,644193548;-9,153870968;-10,68357143;-7,68483871;-6,064666667;-3,499032258;-1,716666667;-0,87;0,153225806;0,312666667
-1;-0,476;-0,489333333;-2,531935484;-7,803548387;-9,633571429;-7,494193548;-6,109333333;-3,965483871;-2,268;-1,491612903;-0,857741935;-0,498666667
-1,5;-1,260666667;-1,161333333;-1,618387097;-5,336774194;-7,573214286;-6,989354839;-6,028;-4,594193548;-3,164;-2,407096774;-1,846451613;-1,462666667
-2;-1,905333333;-1,741666667;-1,686129032;-3,512903226;-5,756428571;-6,262903226;-5,749333333;-4,874193548;-3,786666667;-3,076451613;-2,553870968;-2,169
-2,5;-2,402;-2,208666667;-2,067741935;-2,678064516;-4,380357143;-5,386774194;-5,316666667;-4,862903226;-4,123;-3,510645161;-3,043870968;-2,68
-3;-2,777666667;-2,577666667;-2,42;-2,52;-3,503214286;-4,546451613;-4,819333333;-4,675483871;-4,236333333;-3,761612903;-3,368064516;-3,046666667
-3,5;-3,052333333;-2,861333333;-2,701290323;-2,633548387;-3,071428571;-3,882258065;-4,332;-4,401290323;-4,198333333;-3,872580645;-3,563225806;-3,291333333
-4;-3,241666667;-3,069333333;-2,920322581;-2,808064516;-2,94;-3,447419355;-3,909666667;-4,103548387;-4,067;-3,879032258;-3,656129032;-3,443666667
-4,5;-3,36;-3,214333333;-3,080967742;-2,966129032;-2,960357143;-3,217419355;-3,589;-3,826129032;-3,893666667;-3,817419355;-3,677419355;-3,520333333
-5;-3,422;-3,305333333;-3,192580645;-3,088064516;-3,032857143;-3,130645161;-3,375333333;-3,596129032;-3,714333333;-3,717096774;-3,64516129;-3,541333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10451613;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,668;-1,033;-4,808709677;-8,132258065;-8,632857143;-5,505806452;-3,993;-1,553225806;-0,021333333;2,528709677;3,252258065;1,706
-0,5;0,264;-0,217666667;-2,914193548;-6,917096774;-7,832857143;-5,348064516;-4,103666667;-2,146774194;-0,904666667;0,103225806;1,312258065;0,866666667
-0,75;-0,136;-0,218333333;-1,606129032;-5,750967742;-6,9825;-5,185483871;-4,143666667;-2,55483871;-1,381333333;-0,823548387;-0,213225806;0,036666667
-1;-0,505;-0,49;-1,065483871;-4,652903226;-6,129642857;-4,988064516;-4,121666667;-2,840322581;-1,761;-1,247419355;-0,827096774;-0,573666667
-1,5;-1,092666667;-1,003666667;-1,008064516;-2,780967742;-4,496785714;-4,466774194;-3,947;-3,165483871;-2,331333333;-1,860322581;-1,504193548;-1,250666667
-2;-1,543666667;-1,422666667;-1,334516129;-1,79;-3,15;-3,781612903;-3,630333333;-3,233225806;-2,672;-2,260645161;-1,954193548;-1,720666667
-2,5;-1,852666667;-1,728333333;-1,628064516;-1,646774194;-2,309285714;-3,065806452;-3,226666667;-3,104516129;-2,789;-2,476451613;-2,222903226;-2,018666667
-3;-2,053666667;-1,937666667;-1,840967742;-1,774516129;-1,970357143;-2,509032258;-2,824;-2,879354839;-2,753333333;-2,552258065;-2,362580645;-2,197333333
-3,5;-2,175333333;-2,075;-1,987741935;-1,913225806;-1,926428571;-2,190322581;-2,489;-2,633548387;-2,633;-2,535483871;-2,411935484;-2,290333333
-4;-2,235;-2,156;-2,082580645;-2,01483871;-1,975714286;-2,063548387;-2,261;-2,417096774;-2,483666667;-2,462580645;-2,398064516;-2,319333333
-4,5;-2,249666667;-2,193333333;-2,13483871;-2,078709677;-2,033571429;-2,039032258;-2,135666667;-2,256451613;-2,339333333;-2,366451613;-2,346774194;-2,304666667
-5;-2,234;-2,196666667;-2,15483871;-2,111290323;-2,072142857;-2,050645161;-2,081;-2,152580645;-2,224;-2,267419355;-2,278709677;-2,262666667
