Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,269354839;-5,811666667;-13,90516129;-18,79064516;-18,60142857;-11,46903226;-7,439;-0,740967742;3,767666667;9,180967742;8,640645161;4,153666667
-0,25;1,256666667;-0,396333333;-6,855483871;-16,60612903;-18,21321429;-11,68709677;-8,506666667;-3,676774194;-1,023666667;1,002580645;3,48;2,918333333
-0,5;0,62;-0,013333333;-2,756774194;-14,88548387;-17,32142857;-11,79677419;-8,84;-4,661612903;-1,878666667;-1,048709677;-0,308709677;1,371333333
-0,75;-0,038666667;-0,187333333;-1,859354839;-13,45548387;-16,36714286;-11,70935484;-8,897666667;-5,113225806;-2,371333333;-1,509032258;-0,93483871;-0,046666667
-1;-0,504666667;-0,482;-1,428064516;-12,0883871;-15,41785714;-11,57709677;-8,914333333;-5,490322581;-2,820333333;-1,921290323;-1,358387097;-0,728
-1,5;-1,223;-1,107333333;-1,304193548;-9,604193548;-13,56535714;-11,17129032;-8,842666667;-6,052580645;-3,604;-2,651935484;-2,083225806;-1,555
-2;-1,865;-1,691666667;-1,640322581;-7,552580645;-11,80035714;-10,58677419;-8,650666667;-6,415806452;-4,260333333;-3,293870968;-2,715483871;-2,231666667
-2,5;-2,452333333;-2,24;-2,113870968;-6,017741935;-10,13392857;-9,852903226;-8,366333333;-6,630967742;-4,806666667;-3,865483871;-3,287741935;-2,829
-3;-2,998666667;-2,759333333;-2,59483871;-4,956129032;-8,573214286;-9,012258065;-8,012;-6,738064516;-5,259;-4,376129032;-3,809677419;-3,372666667
-3,5;-3,509666667;-3,252333333;-3,061935484;-4,25;-7,126428571;-8,104516129;-7,608333333;-6,761612903;-5,631333333;-4,835483871;-4,291290323;-3,874
-4;-3,978;-3,711333333;-3,502258065;-3,861935484;-5,865;-7,179677419;-7,162666667;-6,704193548;-5,914;-5,225483871;-4,718387097;-4,324666667
-4,5;-4,357333333;-4,095666667;-3,879677419;-3,882258065;-5,043571429;-6,333548387;-6,674666667;-6,521612903;-6,027;-5,479032258;-5,033225806;-4,674
-5;-4,649;-4,406333333;-4,196129032;-4,071935484;-4,630357143;-5,663225806;-6,199;-6,26516129;-6,008666667;-5,613225806;-5,24483871;-4,931333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,269354839;-5,811666667;-13,90516129;-18,79064516;-18,60142857;-11,46903226;-7,439;-0,740967742;3,767666667;9,180967742;8,640645161;4,153666667
-0,25;1,024;-0,345666667;-6,251290323;-15,67967742;-17,1025;-10,97387097;-7,95;-3,52483871;-1,043666667;0,601290323;2,776451613;2,22
-0,5;0,344;-0,047333333;-2,39;-14,0116129;-16,26178571;-11,11096774;-8,281;-4,447419355;-1,857;-1,065483871;-0,542258065;0,519666667
-0,75;-0,260666667;-0,285333333;-1,681935484;-12,62774194;-15,36642857;-11,03677419;-8,343333333;-4,867741935;-2,324;-1,501612903;-0,990322581;-0,452666667
