Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642;-13,20096774;-17,78483871;-16,72607143;-8,553870968;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;3,082258065;-2,994333333;-10,86064516;-15,77419355;-15,26071429;-8,358387097;-3,519666667;3,364193548;7,715333333;14,08516129;12,86967742;7,766
-0,5;3,199032258;-0,582;-6,619354839;-11,85741935;-12,53428571;-7,785483871;-4,11;0,104516129;3,984;9,64483871;10,28903226;7,031
-0,75;3,163548387;0,463333333;-3,531612903;-8,900967742;-10,38642857;-7,291612903;-4,459;-1,181612903;1,399;6,352258065;8,212258065;6,368666667
-1;3,027741935;0,718;-1,832258065;-6,938387097;-8,852857143;-6,858387097;-4,516333333;-1,66516129;0,154333333;4,348387097;6,755483871;5,758666667
-1,5;2,533548387;0,917333333;-0,119354839;-3,366774194;-5,8925;-5,720322581;-4,239333333;-2,213870968;-1,037;1,087741935;3,971935484;4,266333333
-2;1,826129032;0,832333333;0,049032258;-0,840322581;-3,254642857;-4,268064516;-3,619666667;-2,36483871;-1,427;-0,587741935;1,498387097;2,611333333
-2,5;1,009677419;0,551333333;0,035483871;-0,068064516;-1,114285714;-2,705483871;-2,843333333;-2,245483871;-1,571666667;-1,044516129;-0,236129032;0,998
-3;0,162903226;0,157666667;-0,028064516;-0,077096774;-0,173214286;-1,291612903;-2,032;-1,947419355;-1,551666667;-1,197419355;-0,790322581;-0,267666667
-3,5;-0,422903226;-0,267;-0,222580645;-0,223548387;-0,23;-0,505806452;-1,294333333;-1,553225806;-1,416;-1,209354839;-0,969032258;-0,681
-4;-0,667419355;-0,525333333;-0,440322581;-0,395806452;-0,371428571;-0,387096774;-0,773333333;-1,156774194;-1,215333333;-1,140645161;-1,015806452;-0,844666667
-4,5;-0,790967742;-0,677;-0,589677419;-0,527741935;-0,486785714;-0,459677419;-0,552;-0,837096774;-1;-1,029354839;-0,995806452;-0,907666667
-5;-0,84516129;-0,758666667;-0,680322581;-0,615483871;-0,567857143;-0,530967742;-0,524;-0,648387097;-0,82;-0,919032258;-0,947096774;-0,915333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642;-13,20096774;-17,78483871;-16,72607143;-8,553870968;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,700645161;-2,792;-9,817096774;-14,07451613;-13,84928571;-7,497419355;-3,536;1,795483871;4,779;8,81483871;8,048387097;4,861666667
-0,5;1,627741935;-0,742666667;-6,001935484;-10,59709677;-11,53178571;-7,267096774;-4,230666667;-0,449032258;1,768666667;5,429677419;5,911612903;4,039666667
-0,75;1,462580645;0,052;-3,247419355;-7,985806452;-9,695;-7,08483871;-4,65;-1,55;-0,081;2,94;4,256129032;3,353333333
-1;1,281612903;0,165;-1,717419355;-6,255806452;-8,412857143;-6,857741935;-4,796;-2,080322581;-0,789;1,453870968;3,149032258;2,799
-1,5;0,796451613;0,138666667;-0,164193548;-3,153870968;-6,006428571;-6,140645161;-4,773333333;-2,782903226;-1,573666667;-0,584193548;1,045483871;1,545666667
-2;0,214193548;0,002666667;-0,093870968;-1,092903226;-3,9725;-5,148064516;-4,448666667;-3,120322581;-2,058;-1,33;-0,497741935;0,242333333
-2,5;-0,38483871;-0,322;-0,330322581;-0,52483871;-2,426428571;-4,061290323;-3,970333333;-3,197419355;-2,354;-1,755483871;-1,153870968;-0,649333333
-3;-0,837419355;-0,691;-0,622903226;-0,608064516;-1,471428571;-3,045806452;-3,425;-3,091935484;-2,495333333;-2,01483871;-1,549677419;-1,129
-3,5;-1,173870968;-0,993666667;-0,883870968;-0,81516129;-1,089285714;-2,237096774;-2,878;-2,870645161;-2,519;-2,16;-1,799032258;-1,451333333
-4;-1,421290323;-1,232;-1,101612903;-1,007096774;-1,04;-1,697741935;-2,384666667;-2,596774194;-2,460333333;-2,219677419;-1,95;-1,670666667
-4,5;-1,59516129;-1,412333333;-1,273225806;-1,165806452;-1,114285714;-1,412580645;-1,988;-2,322258065;-2,352;-2,221290323;-2,028709677;-1,810666667
-5;-1,709354839;-1,541333333;-1,401935484;-1,288709677;-1,211428571;-1,307096774;-1,713666667;-2,086129032;-2,224333333;-2,183548387;-2,056774194;-1,889666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642;-13,20096774;-17,78483871;-16,72607143;-8,553870968;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,561612903;-1,684666667;-7,311290323;-10,75;-10,41464286;-5,637741935;-2,599666667;1,630967742;4,189333333;7,760967742;7,198709677;4,331
-0,5;1,508387097;-0,194333333;-4,137741935;-7,801935484;-8,4;-5,257096774;-3,013333333;-0,31;1,605333333;4,792580645;5,31;3,645
-0,75;1,379032258;0,177333333;-1,865806452;-5,544516129;-6,801071429;-4,941612903;-3,245666667;-1,105483871;0,001666667;2,648064516;3,848064516;3,068666667
-1;1,227741935;0,208;-0,797096774;-4,063548387;-5,669642857;-4,648709677;-3,282;-1,450967742;-0,571;1,366774194;2,881612903;2,594333333
