Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876333333;-14,61225806;-19,51096774;-18,47428571;-12,16322581;-5,978666667;0,498709677;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,736;-3,474333333;-11,43645161;-17,2883871;-17,50857143;-11,75032258;-6,794333333;-2,180322581;2,655333333;10,36774194;10,04580645;5,372333333
-0,5;0,516;-1,194333333;-8,401290323;-15,19419355;-16,36178571;-11,33096774;-7,376666667;-3,192258065;-0,514;5,42516129;6,937741935;4,064666667
-0,75;0,248;-0,217333333;-5,647741935;-13,18387097;-15,08678571;-10,96967742;-7,791333333;-3,983870968;-1,706;1,199677419;3,876451613;2,678666667
-1;0,014333333;-0,145666667;-3,540967742;-11,25709677;-13,74178571;-10,62870968;-8,056666667;-4,630645161;-2,479;-0,972258065;0,990967742;1,231
-1,5;-0,848666667;-0,844666667;-1,75516129;-7,707419355;-11,0175;-9,890967742;-8,242333333;-5,605483871;-3,727333333;-2,53516129;-1,578387097;-1,002333333
-2;-1,786666667;-1,628666667;-1,642903226;-4,942580645;-8,491428571;-8,947419355;-8,034666667;-6,186129032;-4,636666667;-3,567741935;-2,719677419;-2,131333333
-2,5;-2,542666667;-2,303;-2,150322581;-3,465483871;-6,436785714;-7,797096774;-7,531666667;-6,393870968;-5,198333333;-4,272258065;-3,518064516;-2,947
-3;-3,144666667;-2,866;-2,664193548;-3,027096774;-4,985714286;-6,628709677;-6,892;-6,330645161;-5,481666667;-4,726129032;-4,077741935;-3,554333333
-3,5;-3,613666667;-3,327;-3,106451613;-3,097419355;-4,141785714;-5,613225806;-6,221333333;-6,092258065;-5,563666667;-4,99;-4,458387097;-3,998
-4;-3,966666667;-3,694;-3,471612903;-3,338387097;-3,781428571;-4,860322581;-5,600333333;-5,759677419;-5,503666667;-5,107741935;-4,69483871;-4,311
-4,5;-4,224666667;-3,977;-3,765483871;-3,600645161;-3,720714286;-4,39;-5,084333333;-5,402258065;-5,354;-5,119032258;-4,82;-4,515666667
-5;-4,400333333;-4,187333333;-3,995806452;-3,830645161;-3,803571429;-4,15483871;-4,701333333;-5,069354839;-5,161;-5,058387097;-4,863225806;-4,637
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876333333;-14,61225806;-19,51096774;-18,47428571;-12,16322581;-5,978666667;0,498709677;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,316;-3,047666667;-10,60193548;-15,71419355;-15,76571429;-10,37387097;-6,168666667;-2,086129032;1,107666667;5,684193548;5,92;3,217
-0,5;0,119333333;-1,038666667;-8,268709677;-14,00774194;-14,8325;-10,05354839;-6,731666667;-3,027741935;-0,946333333;1,827096774;3,395483871;2,072333333
-0,75;-0,054333333;-0,300333333;-6,200645161;-12,35483871;-13,79107143;-9,822258065;-7,14;-3,778064516;-1,819666667;-0,545483871;0,984516129;0,886
-1;-0,350333333;-0,447;-4,564516129;-10,77290323;-12,68107143;-9,610645161;-7,410333333;-4,395483871;-2,518;-1,477741935;-0,630967742;-0,202
-1,5;-1,281666667;-1,207333333;-2,667096774;-7,849354839;-10,4025;-9,130322581;-7,645;-5,337096774;-3,672333333;-2,688387097;-1,959354839;-1,504666667
-2;-2,097;-1,918666667;-2,152258065;-5,493548387;-8,270714286;-8,432580645;-7,531666667;-5,913225806;-4,528;-3,601612903;-2,909032258;-2,419
-2,5;-2,761333333;-2,528333333;-2,421612903;-4,046129032;-6,513571429;-7,509032258;-7,156;-6,142903226;-5,068666667;-4,246129032;-3,607096774;-3,122
-3;-3,297333333;-3,038666667;-2,852258065;-3,449354839;-5,233214286;-6,530967742;-6,646333333;-6,122580645;-5,356333333;-4,674516129;-4,110322581;-3,658333333
-3,5;-3,717;-3,457;-3,250645161;-3,368387097;-4,435357143;-5,66;-6,097;-5,940967742;-5,455666667;-4,932258065;-4,458709677;-4,056666667
-4;-4,038333333;-3,792;-3,585483871;-3,514193548;-4,041785714;-4,99;-5,574333333;-5,670322581;-5,423;-5,056451613;-4,682258065;-4,342
-4,5;-4,274666667;-4,051333333;-3,857096774;-3,723225806;-3,920714286;-4,550322581;-5,128333333;-5,370322581;-5,305666667;-5,082258065;-4,807096774;-4,534333333
-5;-4,44;-4,246;-4,070322581;-3,92483871;-3,951071429;-4,311290323;-4,788;-5,085483871;-5,146;-5,040322581;-4,856129032;-4,65
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876333333;-14,61225806;-19,51096774;-18,47428571;-12,16322581;-5,978666667;0,498709677;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,439333333;-2,113666667;-7,539032258;-11,82258065;-11,96178571;-7,951935484;-4,763333333;-1,66;1,017333333;5,07516129;5,292580645;2,825333333
-0,5;0,204666667;-0,585666667;-5,277419355;-10,26193548;-11,11107143;-7,641612903;-5,171333333;-2,412903226;-0,799666667;1,617096774;3,02483871;1,815333333
-0,75;-0,021333333;-0,169666667;-3,387096774;-8,765483871;-10,15607143;-7,382580645;-5,435333333;-2,975806452;-1,501666667;-0,482258065;0,858709677;0,770333333
-1;-0,308;-0,368333333;-2,19483871;-7,35;-9,1475;-7,129032258;-5,579333333;-3,413870968;-2,033333333;-1,242903226;-0,559677419;-0,184333333
-1,5;-1,078666667;-1,002666667;-1,353225806;-4,80516129;-7,1125;-6,548387097;-5,604666667;-4,032580645;-2,867;-2,156774194;-1,616451613;-1,262
-2;-1,71;-1,562666667;-1,493870968;-3,012580645;-5,273928571;-5,790967742;-5,346;-4,346451613;-3,432333333;-2,793548387;-2,308064516;-1,953
-2,5;-2,182333333;-2,006;-1,877096774;-2,299354839;-3,888928571;-4,898064516;-4,894666667;-4,37516129;-3,726333333;-3,193870968;-2,769354839;-2,437333333
-3;-2,529;-2,347333333;-2,204193548;-2,231290323;-3,052857143;-4,060645161;-4,377333333;-4,217096774;-3,815666667;-3,412903226;-3,062580645;-2,769666667
-3,5;-2,774666667;-2,602;-2,46;-2,376451613;-2,688214286;-3,42;-3,880333333;-3,95516129;-3,766333333;-3,495806452;-3,227741935;-2,987
-4;-2,936333333;-2,784666667;-2,652258065;-2,544516129;-2,61;-3,026129032;-3,464333333;-3,662580645;-3,632333333;-3,483548387;-3,297741935;-3,112333333
-4,5;-3,03;-2,904333333;-2,788387097;-2,685806452;-2,652142857;-2,837419355;-3,162;-3,391290323;-3,46;-3,407419355;-3,297741935;-3,167333333
-5;-3,071666667;-2,972666667;-2,876129032;-2,786451613;-2,725357143;-2,777419355;-2,972333333;-3,173225806;-3,286333333;-3,301290323;-3,251290323;-3,169666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876333333;-14,61225806;-19,51096774;-18,47428571;-12,16322581;-5,978666667;0,498709677;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,276;-1,241333333;-4,781612903;-7,898064516;-8,149285714;-5,444516129;-3,34;-1,286774194;0,547333333;3,534193548;3,768064516;2,042666667
-0,5;0,092666667;-0,266;-2,867096774;-6,596774194;-7,417857143;-5,178387097;-3,610666667;-1,82483871;-0,753666667;0,803548387;1,879354839;1,188
-0,75;-0,098;-0,177;-1,46483871;-5,37483871;-6,608214286;-4,943870968;-3,751;-2,196451613;-1,245666667;-0,602258065;0,22516129;0,319333333
-1;-0,372;-0,393;-0,873870968;-4,247419355;-5,771785714;-4,699677419;-3,791666667;-2,460967742;-1,607666667;-1,08516129;-0,65483871;-0,377333333
-1,5;-0,960333333;-0,888;-0,878709677;-2,397741935;-4,132142857;-4,126774194;-3,662;-2,788387097;-2,126;-1,693548387;-1,353870968;-1,107333333
-2;-1,404;-1,292333333;-1,212580645;-1,53;-2,772857143;-3,417741935;-3,335;-2,884516129;-2,421333333;-2,065806452;-1,789677419;-1,572333333
-2,5;-1,700333333;-1,585333333;-1,494516129;-1,478709677;-1,980714286;-2,701290323;-2,911333333;-2,780322581;-2,510666667;-2,251290323;-2,030967742;-1,851666667
-3;-1,880333333;-1,777666667;-1,691935484;-1,625806452;-1,730357143;-2,178064516;-2,502;-2,567419355;-2,463;-2,304516129;-2,147419355;-2,005333333
-3,5;-1,979333333;-1,895666667;-1,820967742;-1,755483871;-1,740357143;-1,912903226;-2,183;-2,331612903;-2,34;-2,272258065;-2,176129032;-2,076
-4;-2,020666667;-1,957;-1,897096774;-1,841612903;-1,803214286;-1,836129032;-1,985333333;-2,13;-2,195333333;-2,191935484;-2,148064516;-2,088333333
-4,5;-2,021333333;-1,978;-1,932580645;-1,889354839;-1,851071429;-1,837419355;-1,892;-1,989032258;-2,065;-2,096774194;-2,090322581;-2,062333333
-5;-1,995666667;-1,969666667;-1,939354839;-1,907419355;-1,8775;-1,853870968;-1,86;-1,906451613;-1,964333333;-2,004193548;-2,02;-2,015333333
