Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,533548387;-6,514;-13,84548387;-18,48612903;-17,50285714;-11,52387097;-5,674;0,076129032;5,673333333;11,01258065;9,448064516;4,683333333
-0,25;0,825666667;-0,574666667;-7,142258065;-16,19967742;-17,32678571;-11,31580645;-7,363333333;-2,990967742;-0,784333333;2,502580645;5,176774194;3,949666667
-0,5;0,499333333;0,015666667;-2,917741935;-14,35354839;-16,61178571;-11,26;-7,975333333;-3,830967742;-1,707;-0,864516129;1,498064516;2,691666667
-0,75;0,130333333;-0,085;-1,735483871;-12,84387097;-15,72107143;-11,12548387;-8,135;-4,242258065;-2,166;-1,316451613;-0,234193548;1,259
-1;-0,197666667;-0,281333333;-1,141612903;-11,4083871;-14,81928571;-10,96322581;-8,231;-4,59483871;-2,577;-1,716129032;-1,016129032;-0,055
-1,5;-0,881;-0,851666667;-1,006774194;-8,82483871;-13,01357143;-10,52516129;-8,253;-5,152903226;-3,289;-2,409677419;-1,808709677;-1,140333333
-2;-1,518666667;-1,406666667;-1,367741935;-6,747096774;-11,25285714;-9,935806452;-8,102;-5,550322581;-3,879;-3,01;-2,437741935;-1,861333333
-2,5;-2,102333333;-1,934;-1,837096774;-5,267419355;-9,568928571;-9,207741935;-7,829666667;-5,818709677;-4,369666667;-3,536774194;-2,985483871;-2,470333333
-3;-2,640333333;-2,432666667;-2,298387097;-4,300322581;-7,987142857;-8,371290323;-7,471;-5,982580645;-4,774;-4,002903226;-3,477419355;-3,011333333
-3,5;-3,141666667;-2,908;-2,741290323;-3,699677419;-6,523214286;-7,469677419;-7,052666667;-6,066451613;-5,107333333;-4,420322581;-3,922580645;-3,502666667
-4;-3,598;-3,348333333;-3,159677419;-3,404516129;-5,26;-6,549677419;-6,591333333;-6,061612903;-5,357666667;-4,769677419;-4,31483871;-3,937333333
-4,5;-3,960333333;-3,714;-3,516129032;-3,475483871;-4,477857143;-5,715483871;-6,091666667;-5,912580645;-5,454666667;-4,991612903;-4,597741935;-4,267
-5;-4,233;-4,005;-3,810645161;-3,680967742;-4,117142857;-5,07;-5,609666667;-5,67483871;-5,431666667;-5,099677419;-4,781612903;-4,499
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,533548387;-6,514;-13,84548387;-18,48612903;-17,50285714;-11,52387097;-5,674;0,076129032;5,673333333;11,01258065;9,448064516;4,683333333
-0,25;0,683;-0,514666667;-6,56483871;-15,23870968;-16,44785714;-10,74290323;-6,963;-2,887096774;-0,816666667;1,940645161;4,103225806;3,344666667
-0,5;0,345333333;-0,011;-2,565483871;-13,48967742;-15,74321429;-10,70354839;-7,564666667;-3,690322581;-1,681;-0,889354839;0,542258065;2,055
-0,75;-0,015333333;-0,146666667;-1,592903226;-12,06354839;-14,88642857;-10,57645161;-7,723333333;-4,079032258;-2,117666667;-1,318064516;-0,634516129;0,636666667
-1;-0,330333333;-0,380666667;-1,131612903;-10,70483871;-14,02035714;-10,42032258;-7,817666667;-4,412903226;-2,508666667;-1,698064516;-1,131935484;-0,392666667
-1,5;-0,985666667;-0,931;-1,054193548;-8,269677419;-12,29428571;-10,00225806;-7,842666667;-4,937096774;-3,186;-2,357096774;-1,828709677;-1,261666667
-2;-1,580666667;-1,455333333;-1,40516129;-6,327096774;-10,61535714;-9,435806452;-7,700666667;-5,308387097;-3,743;-2,922580645;-2,403548387;-1,913333333
-2,5;-2,120333333;-1,949333333;-1,848064516;-4,959354839;-9,017857143;-8,734193548;-7,438;-5,556774194;-4,204;-3,420322581;-2,911290323;-2,468
-3;-2,617666667;-2,416333333;-2,280967742;-4,076774194;-7,5225;-7,930322581;-7,092666667;-5,705806452;-4,582666667;-3,859677419;-3,368387097;-2,962
-3,5;-3,081666667;-2,857333333;-2,696774194;-3,540967742;-6,143928571;-7,062903226;-6,689;-5,776451613;-4,891666667;-4,246774194;-3,78483871;-3,41
-4;-3,501666667;-3,266;-3,086451613;-3,287096774;-4,963214286;-6,183225806;-6,242333333;-5,762580645;-5,120666667;-4,573870968;-4,148709677;-3,808
-4,5;-3,829333333;-3,602333333;-3,417096774;-3,366129032;-4,248571429;-5,394516129;-5,763;-5,613870968;-5,201666667;-4,776129032;-4,408709677;-4,105666667
-5;-0,44;-0,64;-1,42;-2,90;-4,55;-5,83;-6,25;-5,94;-5,02;-3,66;-2,07;-0,87
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,533548387;-6,514;-13,84548387;-18,48612903;-17,50285714;-11,52387097;-5,674;0,076129032;5,673333333;11,01258065;9,448064516;4,683333333
-0,25;0,665666667;-0,240666667;-3,826774194;-10,70645161;-12,37535714;-8,197096774;-5,404666667;-2,422580645;-0,808666667;1,447419355;3,202580645;2,751333333
-0,5;0,300333333;-0,022333333;-0,610322581;-8,639354839;-11,67357143;-8,133548387;-5,854;-3,046451613;-1,518;-0,850645161;-0,051290323;1,486666667
-0,75;-0,071333333;-0,159666667;-0,323870968;-7,084193548;-10,87107143;-7,983548387;-5,926666667;-3,312903226;-1,843;-1,18;-0,721612903;0,189
-1;-0,373;-0,375;-0,403870968;-5,70483871;-10,06964286;-7,806451613;-5,946333333;-3,533548387;-2,123;-1,466451613;-1,040645161;-0,517666667
-1,5;-0,891333333;-0,811333333;-0,775483871;-3,790967742;-8,500714286;-7,360645161;-5,853666667;-3,849677419;-2,582;-1,936774194;-1,532258065;-1,14
-2;-1,327;-1,200333333;-1,127419355;-2,699354839;-7,020714286;-6,787096774;-5,627666667;-4,034516129;-2,932;-2,31516129;-1,923548387;-1,596
-2,5;-1,704333333;-1,554666667;-1,458064516;-2,175483871;-5,678571429;-6,107096774;-5,309333333;-4,112903226;-3,192333333;-2,626451613;-2,254193548;-1,962666667
-3;-2,035;-1,875666667;-1,764516129;-2,019354839;-4,505714286;-5,351935484;-4,925666667;-4,106451613;-3,379666667;-2,882903226;-2,538064516;-2,273333333
-3,5;-2,331;-2,169;-2,047741935;-2,07;-3,524642857;-4,561935484;-4,501333333;-4,03483871;-3,508;-3,093548387;-2,786451613;-2,547666667
-4;-2,587;-2,431666667;-2,304193548;-2,22;-2,809285714;-3,801290323;-4,055666667;-3,899032258;-3,570666667;-3,253225806;-2,99;-2,778
-4,5;-2,765666667;-2,625666667;-2,504193548;-2,402903226;-2,555;-3,221612903;-3,625333333;-3,681612903;-3,525;-3,312258065;-3,106774194;-2,929
-5;0,14;-0,07;-0,72;-1,90;-3,20;-4,20;-4,54;-4,32;-3,61;-2,51;-1,19;-0,19
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,533548387;-6,514;-13,84548387;-18,48612903;-17,50285714;-11,52387097;-5,674;0,076129032;5,673333333;11,01258065;9,448064516;4,683333333
-0,25;0,302333333;-0,132333333;-1,868387097;-6,058064516;-8,253928571;-5,599677419;-3,948666667;-1,920322581;-0,810666667;0,419032258;1,815483871;1,34
-0,5;-0,083;-0,108666667;-0,176774194;-3,683548387;-7,4975;-5,563870968;-4,237;-2,381612903;-1,347333333;-0,838064516;-0,528387097;-0,145
-0,75;-0,384;-0,343;-0,332258065;-2,63483871;-6,7325;-5,414193548;-4,234333333;-2,55;-1,574666667;-1,072258065;-0,77;-0,532
-1;-0,601333333;-0,534333333;-0,498064516;-1,936451613;-5,981785714;-5,238709677;-4,194;-2,678387097;-1,759333333;-1,271935484;-0,968064516;-0,753666667
-1,5;-0,924333333;-0,832;-0,772903226;-1,248387097;-4,573928571;-4,801935484;-4,019666667;-2,836774194;-2,036333333;-1,584193548;-1,290967742;-1,086
-2;-1,189666667;-1,083;-1,009354839;-1,090645161;-3,378214286;-4,272580645;-3,757666667;-2,885483871;-2,216;-1,807096774;-1,537741935;-1,345666667
-2,5;-1,408;-1,301;-1,220967742;-1,186774194;-2,499642857;-3,683548387;-3,435666667;-2,847096774;-2,318;-1,966129032;-1,725806452;-1,551
-3;-1,589666667;-1,488666667;-1,409032258;-1,349032258;-1,975;-3,08;-3,077333333;-2,74;-2,36;-2,074516129;-1,87;-1,716333333
