Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61258065;-19,51225806;-18,47428571;-12,16322581;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;1,474333333;-5,638;-12,7616129;-17,9783871;-18,00714286;-11,90774194;-6,873333333;-0,727096774;6,377666667;13,83354839;12,37645161;6,923333333
-0,5;1,832666667;-4,457333333;-11,09290323;-16,51096774;-17,31;-11,78096774;-7,563333333;-1,782903226;4,937;12,17935484;11,54645161;7,155
-0,75;2,124333333;-3,397666667;-9,615806452;-15,12354839;-16,44785714;-11,71580645;-8,058;-2,670322581;3,640666667;10,53451613;10,72774194;7,255
-1;2,369333333;-2,464666667;-8,286451613;-13,80645161;-15,515;-11,64903226;-8,419333333;-3,432903226;2,456;8,953225806;9,909677419;7,247333333
-1,5;2,720333333;-0,997666667;-6,060967742;-11,39064516;-13,59;-11,3783871;-8,796;-4,612903226;0,425666667;6,119677419;8,247741935;6,908666667
-2;2,901333333;-0,001;-4,321290323;-9,260967742;-11,7375;-10,86354839;-8,848;-5,435806452;-1,196;3,759677419;6,57516129;6,245333333
-2,5;2,915333333;0,626;-2,99516129;-7,42;-10,02964286;-10,13451613;-8,666;-5,971935484;-2,448333333;1,833870968;4,947096774;5,374333333
-3;2,773;0,967333333;-2,008064516;-5,866774194;-8,4975;-9,263225806;-8,323333333;-6,272903226;-3,385666667;0,283548387;3,428709677;4,394
-3,5;2,492333333;1,097333333;-1,3;-4,588387097;-7,147142857;-8,327741935;-7,869666667;-6,38;-4,052666667;-0,946774194;2,057741935;3,383333333
-4;2,1;1,070333333;-0,817096774;-3,568064516;-5,978571429;-7,391935484;-7,344333333;-6,332258065;-4,497333333;-1,906129032;0,858387097;2,395666667
-4,5;1,632333333;0,930666667;-0,516129032;-2,774193548;-4,981785714;-6,496129032;-6,782333333;-6,167741935;-4,763666667;-2,633225806;-0,162258065;1,468
-5;1,119;0,709666667;-0,36;-2,180645161;-4,15;-5,672258065;-6,210333333;-5,919032258;-4,884;-3,165483871;-1,009032258;0,624333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61258065;-19,51225806;-18,47428571;-12,16322581;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,747;-5,177333333;-11,4983871;-16,14741935;-16,16285714;-10,69806452;-6,199;-1,01483871;3,942333333;8,782903226;7,867419355;4,36
-0,5;0,933333333;-4,253333333;-10,08612903;-14,89709677;-15,59107143;-10,62967742;-6,854333333;-1,923870968;2,867666667;7,610967742;7,245806452;4,436333333
-0,75;1,069333333;-3,431333333;-8,843225806;-13,71741935;-14,87178571;-10,61774194;-7,335333333;-2,702258065;1,888333333;6,444516129;6,631612903;4,427
-1;1,171666667;-2,712;-7,730967742;-12,5983871;-14,08714286;-10,60064516;-7,696;-3,379032258;0,984;5,320967742;6,017419355;4,348
-1,5;1,286333333;-1,605333333;-5,887419355;-10,55516129;-12,46321429;-10,44483871;-8,109;-4,450322581;-0,591333333;3,293548387;4,780322581;3,987
-2;1,294333333;-0,879;-4,468709677;-8,76;-10,90071429;-10,06935484;-8,23;-5,218387097;-1,874333333;1,583870968;3,541290323;3,421333333
-2,5;1,194666667;-0,450333333;-3,404516129;-7,216129032;-9,464642857;-9,496774194;-8,139333333;-5,740322581;-2,89;0,166129032;2,343548387;2,728333333
-3;0,997666667;-0,247333333;-2,629354839;-5,92;-8,177857143;-8,79483871;-7,902;-6,055483871;-3,668;-0,990645161;1,223870968;1,970666667
-3,5;0,714333333;-0,204666667;-2,085806452;-4,862258065;-7,046428571;-8,029677419;-7,562;-6,202258065;-4,239333333;-1,923870968;0,211935484;1,203
-4;0,365666667;-0,277666667;-1,727741935;-4,022258065;-6,069642857;-7,256774194;-7,153333333;-6,210967742;-4,635333333;-2,661290323;-0,67516129;0,459333333
-4,5;-0,027;-0,433666667;-1,516129032;-3,376451613;-5,2425;-6,517096774;-6,709;-6,114193548;-4,886333333;-3,230645161;-1,433870968;-0,237666667
-5;-0,44;-0,641666667;-1,420967742;-2,899032258;-4,553928571;-5,832580645;-6,248;-5,938387097;-5,016666667;-3,65516129;-2,068709677;-0,870666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61258065;-19,51225806;-18,47428571;-12,16322581;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,753666667;-3,916333333;-8,766774194;-12,32806452;-12,34214286;-8,16483871;-4,723333333;-0,660645161;3,575333333;7,856129032;7,032580645;3,916666667
-0,5;0,938666667;-3,166333333;-7,659354839;-11,3516129;-11,88857143;-8,097419355;-5,211666667;-1,365483871;2,684666667;6,864516129;6,519354839;4,016666667
-0,75;1,083666667;-2,497333333;-6,684193548;-10,4283871;-11,31964286;-8,07483871;-5,567333333;-1,96483871;1,880666667;5,874516129;6,013870968;4,042666667
-1;1,200333333;-1,909333333;-5,808387097;-9,551612903;-10,70357143;-8,046451613;-5,829666667;-2,483225806;1,140666667;4,925483871;5,508064516;4,005666667
-1,5;1,352666667;-0,997;-4,348387097;-7,949677419;-9,428928571;-7,898064516;-6,12;-3,29516129;-0,138333333;3,216451613;4,485483871;3,750333333
-2;1,409333333;-0,386;-3,218064516;-6,541290323;-8,201428571;-7,580645161;-6,186666667;-3,87;-1,170666667;1,782580645;3,456774194;3,311
-2,5;1,371666667;-0,015333333;-2,364516129;-5,326774194;-7,072857143;-7,117096774;-6,093333333;-4,254516129;-1,98;0,603870968;2,461290323;2,754666667
