Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,603870968;-6,501666667;-16,20451613;-21,08322581;-18,98107143;-12,12548387;-6,045;0,817096774;5,712666667;11,16580645;8,665483871;5,066666667
-0,25;0,920666667;-0,617333333;-8,792903226;-19,01290323;-18,985;-11,89419355;-7,962333333;-2,657419355;-0,663666667;2,669032258;4,71483871;4,156666667
-0,5;0,591666667;-0,016666667;-4,213225806;-17,27806452;-18,33607143;-11,86516129;-8,661666667;-3,632580645;-1,634666667;-0,850967742;1,28483871;2,765333333
-0,75;0,186333333;-0,113;-2,819032258;-15,75677419;-17,43857143;-11,78709677;-8,856666667;-4,142258065;-2,132666667;-1,33483871;-0,355483871;1,212
-1;-0,201333333;-0,311666667;-2,01;-14,28483871;-16,52107143;-11,67967742;-8,979666667;-4,588387097;-2,586;-1,765483871;-1,079677419;-0,146333333
-1,5;-0,955666667;-0,920333333;-1,471290323;-11,54354839;-14,67285714;-11,35580645;-9,040333333;-5,319032258;-3,386;-2,525806452;-1,918064516;-1,241666667
-2;-1,648333333;-1,526333333;-1,604516129;-9,159354839;-12,85178571;-10,86387097;-8,919;-5,868709677;-4,070333333;-3,195483871;-2,606451613;-2,014
-2,5;-2,286;-2,103666667;-2,02483871;-7,234193548;-11,09714286;-10,21096774;-8,670666667;-6,270322581;-4,656666667;-3,79483871;-3,218064516;-2,679666667
-3;-2,88;-2,655;-2,514516129;-5,790967742;-9,422142857;-9,428387097;-8,335666667;-6,552258065;-5,156333333;-4,335806452;-3,77483871;-3,280333333
-3,5;-3,438333333;-3,181;-3,002580645;-4,751612903;-7,841071429;-8,559354839;-7,942;-6,736451613;-5,584666667;-4,826129032;-4,284516129;-3,83
-4;-3,949666667;-3,673;-3,466129032;-4,096451613;-6,434285714;-7,643548387;-7,506;-6,816129032;-5,926333333;-5,249032258;-4,740322581;-4,324666667
-4,5;-4,366;-4,089;-3,869032258;-3,978709677;-5,451428571;-6,762903226;-7,016;-6,72;-6,098666667;-5,53483871;-5,082903226;-4,708
-5;-4,688666667;-4,428333333;-4,21;-4,121612903;-4,897857143;-6,030645161;-6,525666667;-6,507419355;-6,133666667;-5,701935484;-5,319354839;-4,995
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,603870968;-6,501666667;-16,20451613;-21,08322581;-18,98107143;-12,12548387;-6,045;0,817096774;5,712666667;11,16580645;8,665483871;5,066666667
-0,25;0,776666667;-0,527666667;-8,028387097;-17,86193548;-17,98571429;-11,24677419;-7,577666667;-2,564516129;-0,718;2,003548387;3,641290323;3,476333333
-0,5;0,420333333;-0,036333333;-3,682258065;-16,18225806;-17,36535714;-11,24774194;-8,244;-3,504516129;-1,619666667;-0,885806452;0,297741935;2,035
-0,75;0,008;-0,176666667;-2,530322581;-14,72967742;-16,51;-11,18322581;-8,424;-3,993548387;-2,095;-1,342580645;-0,731612903;0,509
-1;-0,367666667;-0,424;-1,883870968;-13,32870968;-15,63464286;-11,08967742;-8,534;-4,420645161;-2,526;-1,750322581;-1,206129032;-0,486
-1,5;-1,082;-1,017666667;-1,460967742;-10,73129032;-13,87071429;-10,78967742;-8,58;-5,113870968;-3,287333333;-2,471612903;-1,946129032;-1,379666667
-2;-1,726666667;-1,589333333;-1,629032258;-8,497419355;-12,13464286;-10,31935484;-8,457333333;-5,632580645;-3,934333333;-3,108064516;-2,576774194;-2,078666667
-2,5;-2,317333333;-2,131;-2,04;-6,721612903;-10,4625;-9,691935484;-8,216666667;-6,006451613;-4,485333333;-3,673870968;-3,144516129;-2,686
-3;-2,866333333;-2,646;-2,504516129;-5,417096774;-8,873214286;-8,937741935;-7,897333333;-6,263548387;-4,954666667;-4,183548387;-3,663870968;-3,234666667
-3,5;-3,381666667;-3,137666667;-2,963870968;-4,492258065;-7,381428571;-8,099354839;-7,523666667;-6,426774194;-5,354;-4,643548387;-4,141935484;-3,739
