Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;1,183666667;-3,933333333;-13,62580645;-19,88580645;-19,49607143;-12,52064516;-7,180666667;-0,65;4,732;12,22322581;10,22870968;6,567666667
-0,5;1,163;-1,722666667;-10,37935484;-17,59741935;-18,74785714;-12,33193548;-7,822333333;-1,713870968;1,889333333;8,867096774;8,367096774;5,891
-0,75;1,079;-0,335;-7,317741935;-15,38774194;-17,8425;-12,20645161;-8,333333333;-2,449354839;0,023;5,597096774;6,534516129;5,076333333
-1;0,949666667;0,128666667;-4,443870968;-13,27741935;-16,83714286;-12,10677419;-8,715333333;-3,111290323;-0,726333333;2,551290323;4,724193548;4,139
-1,5;0,585333333;0,141333333;-0,555483871;-9,416774194;-14,73357143;-11,86258065;-9,176666667;-4,239354839;-1,638333333;-0,417419355;1,190645161;2,031
-2;0,116333333;0,046;0,012903226;-6,384193548;-12,69535714;-11,45967742;-9,322333333;-5,123225806;-2,461666667;-1,166451613;-0,402903226;0,051666667
-2,5;-0,325666667;-0,278;-0,256451613;-4,685806452;-10,825;-10,88193548;-9,249;-5,792903226;-3,187666667;-1,813548387;-0,957419355;-0,515
-3;-0,690666667;-0,584333333;-0,52516129;-3,530967742;-9,170357143;-10,16;-9,016666667;-6,264193548;-3,809;-2,395806452;-1,476451613;-0,959
-3,5;-1,047666667;-0,886333333;-0,789677419;-2,763870968;-7,738214286;-9,354516129;-8,682333333;-6,568387097;-4,326666667;-2,913548387;-1,957741935;-1,382
-4;-1,39;-1,182;-1,050645161;-2,299354839;-6,532857143;-8,520322581;-8,281;-6,722903226;-4,738666667;-3,362258065;-2,395806452;-1,776666667
-4,5;-1,716333333;-1,467666667;-1,303548387;-2,050322581;-5,5425;-7,701935484;-7,841;-6,756129032;-5,054666667;-3,74483871;-2,788709677;-2,144
-5;-2,026;-1,742666667;-1,550322581;-1,952258065;-4,747857143;-6,932580645;-7,381333333;-6,69516129;-5,280333333;-4,064516129;-3,13516129;-2,479333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
