Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;1,801;-3,530666667;-16,18;-19,56709677;-18,33642857;-16,34548387;-8,140333333;-3,658387097;4,282333333;12,28677419;11,55774194;6,898333333
-0,5;1,324666667;-1,185666667;-12,14451613;-17,48129032;-17,12;-16,01935484;-8,587666667;-4,600322581;0,045333333;6,926129032;8,385483871;5,306666667
-0,75;0,838;-0,182333333;-8,444516129;-15,42258065;-15,96571429;-15,49741935;-8,966333333;-5,361612903;-1,957666667;2,139032258;5,161290323;3,609666667
-1;0,344333333;-0,073666667;-5,500967742;-13,42580645;-14,83035714;-14,83225806;-9,272333333;-5,99483871;-2,974;-0,722903226;1,919032258;1,858666667
-1,5;-0,770666667;-0,788;-2,606774194;-9,677419355;-12,54035714;-13,25709677;-9,665333333;-6,971935484;-4,537;-2,799677419;-1,542580645;-0,912
-2;-1,879333333;-1,705;-1,942580645;-6,572258065;-10,25607143;-11,53322581;-9,685666667;-7,589032258;-5,649333333;-4,120322581;-2,980967742;-2,261
-2,5;-2,790333333;-2,511;-2,366774194;-4,607741935;-8,167857143;-9,850645161;-9,310666667;-7,835483871;-6,337333333;-5,03483871;-4,005483871;-3,269333333
-3;-3,537666667;-3,200333333;-2,966451613;-3,792258065;-6,498571429;-8,351290323;-8,675333333;-7,798387097;-6,705;-5,643870968;-4,744193548;-4,046333333
-3,5;-4,138666667;-3,779;-3,511290323;-3,686129032;-5,367142857;-7,112903226;-7,920333333;-7,561612903;-6,837333333;-6,016774194;-5,262580645;-4,635333333
-4;-4,608666667;-4,256666667;-3,975806452;-3,888064516;-4,7575;-6,174193548;-7,166333333;-7,209032258;-6,801;-6,211290323;-5,604516129;-5,067333333
-4,5;-4,965666667;-4,636333333;-4,363225806;-4,182258065;-4,538928571;-5,535483871;-6,498666667;-6,804516129;-6,655666667;-6,272903226;-5,81;-5,367666667
-5;-5,226333333;-4,932666667;-4,677741935;-4,473225806;-4,5525;-5,163548387;-5,967333333;-6,407096774;-6,446;-6,236451613;-5,910322581;-5,562666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,667666667;-3,179;-14,94709677;-17,69612903;-16,4575;-14,70677419;-7,355333333;-3,386451613;1,867333333;7,041612903;6,908064516;4,049333333
-0,5;0,404666667;-1,094333333;-11,84580645;-16,02290323;-15,49785714;-14,49419355;-7,815666667;-4,278709677;-1,005333333;2,860645161;4,290645161;2,709666667
-0,75;0,143333333;-0,276333333;-9,081612903;-14,37483871;-14,59285714;-14,10419355;-8,219333333;-5,015806452;-2,189;-0,221290323;1,659354839;1,314333333
-1;-0,249;-0,404666667;-6,829032258;-12,77580645;-13,69607143;-13,57935484;-8,558333333;-5,636129032;-3,056;-1,543225806;-0,354193548;0,002
-1,5;-1,336333333;-1,265666667;-3,945806452;-9,764516129;-11,86214286;-12,29806452;-9,034666667;-6,607096774;-4,475666667;-3,06;-2,088387097;-1,564333333
-2;-2,297;-2,097333333;-2,793548387;-7,202580645;-9,989285714;-10,87709677;-9,16;-7,242580645;-5,515666667;-4,214516129;-3,276129032;-2,665
-2,5;-3,103666667;-2,826333333;-2,822903226;-5,403548387;-8,235714286;-9,478064516;-8,907;-7,534516129;-6,179;-5,041290323;-4,167741935;-3,537666667
-3;-3,769333333;-3,453333333;-3,25516129;-4,45483871;-6,789642857;-8,220322581;-8,403333333;-7,556451613;-6,552666667;-5,606129032;-4,827419355;-4,224
-3,5;-4,309666667;-3,979;-3,730322581;-4,149677419;-5,756071429;-7,164516129;-7,776;-7,391612903;-6,710333333;-5,965806452;-5,301290323;-4,752
