Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642333333;-13,20096774;-17,78516129;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;3,490322581;-3,59;-11,04096774;-16,34032258;-16,02928571;-8,85516129;-4,040666667;4,209032258;8,286333333;14,48129032;13,48451613;8,435666667
-0,5;3,947741935;-2,53;-9,181612903;-14,95774194;-15,21571429;-9,092903226;-4,718;2,901935484;7,055;12,86967742;12,84451613;8,665666667
-0,75;4,301612903;-1,543;-7,597096774;-13,63096774;-14,29964286;-9,263548387;-5,239;1,776451613;5,887333333;11,37677419;12,15548387;8,776666667
-1;4,578064516;-0,650333333;-6,200322581;-12,34709677;-13,3475;-9,361290323;-5,646333333;0,778709677;4,809666667;9,988709677;11,4316129;8,782333333
-1,5;4,928064516;0,786666667;-3,909032258;-9,915483871;-11,45214286;-9,285483871;-6,15;-0,86516129;2,980666667;7,556129032;9,897419355;8,468
-2;5,057419355;1,811;-2,163870968;-7,701935484;-9,664642857;-8,86516129;-6,322;-2,100967742;1,516;5,529354839;8,316774194;7,845333333
-2,5;5,00516129;2,484333333;-0,860645161;-5,751612903;-8,021785714;-8,176451613;-6,250666667;-2,973225806;0,342666667;3,848709677;6,778064516;7,036
-3;4,804193548;2,875333333;0,093548387;-4,091612903;-6,538928571;-7,317419355;-6,005;-3,530645161;-0,584666667;2,462903226;5,34483871;6,131
-3,5;4,48483871;3,045;0,771290323;-2,725806452;-5,214285714;-6,379032258;-5,634666667;-3,827419355;-1,296;1,340967742;4,05483871;5,2
-4;4,075483871;3,049666667;1,233225806;-1,635806452;-4,051785714;-5,432580645;-5,178333333;-3,917419355;-1,817333333;0,444516129;2,927741935;4,289
-4,5;3,606451613;2,932333333;1,520322581;-0,79483871;-3,048928571;-4,525806452;-4,669333333;-3,852903226;-2,173333333;-0,251935484;1,964516129;3,431
-5;3,10483871;2,730333333;1,672903226;-0,168387097;-2,202857143;-3,690322581;-4,133333333;-3,676774194;-2,387333333;-0,777096774;1,161612903;2,645666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642333333;-13,20096774;-17,78516129;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
