Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33032258;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;3,374516129;-4,411333333;-14,64903226;-21,03774194;-21,355;-12,83709677;-6,291333333;-0,536129032;5,657666667;13,32225806;13,68774194;7,395
-0,5;2,992258065;-1,420666667;-9,630645161;-16,49548387;-18,12214286;-12,47129032;-7,213;-2,431290323;1,462;8,291612903;10,10387097;6,376
-0,75;2,637096774;0,022;-5,932258065;-13,01290323;-15,58178571;-12,15645161;-7,825333333;-3,645806452;-0,810666667;4,499032258;7,309354839;5,445333333
-1;2,326774194;0,398666667;-3,738387097;-10,71580645;-13,8275;-11,80387097;-8,060333333;-4,319032258;-1,690666667;2,238709677;5,464193548;4,654666667
-1,5;1,570645161;0,443;-0,825483871;-6,561290323;-10,56607143;-10,74387097;-8,141666667;-5,244193548;-2,918333333;-0,798387097;2,126129032;2,850333333
-2;0,691935484;0,212;-0,077419355;-3,282903226;-7,777857143;-9,321290323;-7,820333333;-5,707096774;-3,755333333;-2,139677419;-0,413225806;0,945
-2,5;-0,227741935;-0,203333333;-0,29516129;-1,56;-5,504285714;-7,760967742;-7,248666667;-5,841290323;-4,3;-2,97;-1,653225806;-0,625333333
-3;-1,006451613;-0,794333333;-0,727741935;-1,078387097;-3,796428571;-6,248387097;-6,529333333;-5,738709677;-4,604333333;-3,527419355;-2,437419355;-1,532666667
-3,5;-1,622258065;-1,313333333;-1,152258065;-1,156451613;-2,689642857;-4,93;-5,751666667;-5,475483871;-4,720666667;-3,880645161;-2,986451613;-2,188333333
-4;-2,113870968;-1,753333333;-1,53;-1,409354839;-2,117142857;-3,889677419;-4,994;-5,12;-4,698333333;-4,077096774;-3,362258065;-2,669666667
-4,5;-2,497096774;-2,117333333;-1,856451613;-1,680322581;-1,919642857;-3,15516129;-4,322666667;-4,730322581;-4,580666667;-4,158064516;-3,603225806;-3,015
-5;-2,78;-2,403;-2,125483871;-1,921612903;-1,931785714;-2,704516129;-3,782666667;-4,351612903;-4,407;-4,151290323;-3,735806452;-3,248666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33032258;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;1,999354839;-3,912666667;-13,03709677;-19,01;-19,30321429;-11,72387097;-5,786;-0,757096774;3,232333333;8,290322581;8,535806452;4,610666667
-0,5;1,552903226;-1,342333333;-8,52516129;-15,29;-16,74285714;-11,61870968;-6,816666667;-2,50516129;0,149;4,357419355;5,710322581;3,572333333
-0,75;1,177419355;-0,201333333;-5,26516129;-12,45870968;-14,69857143;-11,48709677;-7,500333333;-3,693870968;-1,362;1,479354839;3,572903226;2,697333333
-1;0,890645161;0,05;-3,37516129;-10,6083871;-13,28178571;-11,28032258;-7,804666667;-4,369032258;-2,074666667;0,018064516;2,210645161;2,032
-1,5;0,255806452;-0,013333333;-1,081290323;-7,340322581;-10,6525;-10,54129032;-8,048333333;-5,341290323;-3,223333333;-1,702258065;-0,188387097;0,602333333
-2;-0,469354839;-0,461;-0,698709677;-4,83483871;-8,401071429;-9,450645161;-7,915666667;-5,885806452;-4,057333333;-2,720322581;-1,51;-0,690333333
