Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;1,169666667;-2,057666667;-9,816129032;-16,17935484;-17,11571429;-11,29548387;-7,099666667;-2,031290323;0,902333333;7,583225806;7,391290323;4,951
-0,5;0,763;-0,526333333;-6,82516129;-14,11483871;-16,02642857;-10,76612903;-7,67;-2,981290323;-1,078333333;2,932903226;4,596774194;3,485333333
-0,75;0,345333333;-0,103333333;-4,288064516;-12,17774194;-14,76714286;-10,35516129;-8,038333333;-3,76483871;-1,939666667;-0,135483871;1,848709677;1,955666667
-1;-0,088;-0,240333333;-2,684193548;-10,34645161;-13,4125;-10,00548387;-8,237666667;-4,421935484;-2,621666667;-1,41;-0,231935484;0,431333333
-1,5;-1,086;-1,022333333;-1,557419355;-6,997741935;-10,63392857;-9,323548387;-8,271;-5,434193548;-3,749333333;-2,697419355;-1,846774194;-1,308666667
-2;-1,961333333;-1,777333333;-1,711935484;-4,479354839;-8,090357143;-8,478064516;-7,927666667;-6,045483871;-4,581;-3,62516129;-2,853548387;-2,31
-2,5;-2,661;-2,414;-2,247096774;-3,258064516;-6,082857143;-7,422580645;-7,337666667;-6,261290323;-5,100333333;-4,260967742;-3,575483871;-3,049333333
-3;-3,218333333;-2,942333333;-2,738709677;-2,971612903;-4,726071429;-6,327741935;-6,661666667;-6,190967742;-5,365;-4,673225806;-4,081290323;-3,6
-3,5;-3,646666667;-3,371333333;-3,154516129;-3,100645161;-3,983928571;-5,379032258;-5,995666667;-5,942903226;-5,437;-4,908387097;-4,423225806;-4,002
-4;-3,968;-3,71;-3,495806452;-3,353225806;-3,697857143;-4,687741935;-5,398333333;-5,606774194;-5,374333333;-5,009354839;-4,634193548;-4,283
-4,5;-4,199333333;-3,968666667;-3,768387097;-3,60483871;-3,677857143;-4,268709677;-4,917333333;-5,253548387;-5,225;-5,011935484;-4,742258065;-4,466
-5;-4,357333333;-4,159666667;-3,979677419;-3,821290323;-3,775357143;-4,071935484;-4,570333333;-4,932258065;-5,037;-4,948709677;-4,77483871;-4,570333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,653;-1,791666667;-9,007741935;-14,69451613;-15,40857143;-10,14258065;-6,405;-1,941612903;0,023;4,188709677;4,26;2,879333333
-0,5;0,292;-0,453333333;-6,675483871;-13,00258065;-14,53785714;-9,709032258;-6,968333333;-2,83483871;-1,253;0,750322581;1,995483871;1,644
-0,75;-0,085333333;-0,246333333;-4,759354839;-11,3816129;-13,49821429;-9,391935484;-7,342333333;-3,573870968;-1,985333333;-0,926129032;0,064193548;0,412333333
-1;-0,522;-0,559666667;-3,462580645;-9,840645161;-12,3575;-9,134193548;-7,561333333;-4,192258065;-2,607;-1,661935484;-0,958709677;-0,540666667
-1,5;-1,415333333;-1,314;-2,169032258;-7,022903226;-9,986428571;-8,630645161;-7,661;-5,148064516;-3,650666667;-2,760967742;-2,087419355;-1,648666667
-2;-2,176666667;-1,991333333;-2,024516129;-4,829032258;-7,787857143;-7,960645161;-7,407333333;-5,735806452;-4,431;-3,592580645;-2,949354839;-2,491
-2,5;-2,793666667;-2,562666667;-2,413870968;-3,613225806;-6,035;-7,075806452;-6,926;-5,958709677;-4,925333333;-4,175806452;-3,584193548;-3,135
-3;-3,287333333;-3,037666667;-2,847741935;-3,213225806;-4,82;-6,135806452;-6,358;-5,920322581;-5,183333333;-4,558387097;-4,040322581;-3,623333333
-3,5;-3,670666667;-3,423666667;-3,223870968;-3,241612903;-4,12;-5,306451613;-5,787333333;-5,716774194;-5,262333333;-4,783870968;-4,351290323;-3,983
-4;-3,958333333;-3,728666667;-3,532580645;-3,426451613;-3,813928571;-4,688709677;-5,272;-5,430967742;-5,213666667;-4,884516129;-4,545806452;-4,236666667
-4,5;-4,166333333;-3,961666667;-3,778709677;-3,638064516;-3,755;-4,300967742;-4,849333333;-5,122903226;-5,089333333;-4,893870968;-4,648709677;-4,402333333
-5;-4,308;-4,132666667;-3,970967742;-3,829354839;-3,814285714;-4,105483871;-4,540666667;-4,843225806;-4,924;-4,841612903;-4,681935484;-4,498333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,574666667;-1,23;-6,403548387;-10,97;-11,57142857;-7,670645161;-4,892;-1,568709677;0,025666667;3,710967742;3,772903226;2,567333333
-0,5;0,256333333;-0,248;-4,197419355;-9,45;-10,74535714;-7,260967742;-5,292666667;-2,261290323;-1,048;0,627096774;1,740967742;1,462333333
-0,75;-0,074;-0,197;-2,534516129;-8,01483871;-9,796071429;-6,949354839;-5,528333333;-2,80516129;-1,621666667;-0,809354839;0,02516129;0,357
-1;-0,451;-0,471;-1,68516129;-6,664516129;-8,780714286;-6,677096774;-5,628666667;-3,241935484;-2,087;-1,388064516;-0,83483871;-0,484
-1,5;-1,18;-1,087;-1,239032258;-4,266451613;-6,724642857;-6,119032258;-5,541333333;-3,873548387;-2,831;-2,201612903;-1,709032258;-1,374
-2;-1,764;-1,613666667;-1,519032258;-2,683548387;-4,899642857;-5,416451613;-5,182666667;-4,19516129;-3,34;-2,770322581;-2,326451613;-2
-2,5;-2,195666667;-2,025666667;-1,895806452;-2,162580645;-3,583571429;-4,58;-4,677;-4,219677419;-3,602666667;-3,12516129;-2,739354839;-2,435333333
-3;-2,509666667;-2,337333333;-2,2;-2,179354839;-2,847142857;-3,798709677;-4,145;-4,049677419;-3,675;-3,313548387;-2,996451613;-2,732
-3,5;-2,728333333;-2,570333333;-2,434516129;-2,341290323;-2,563571429;-3,216129032;-3,664;-3,780967742;-3,617333333;-3,378387097;-3,138709677;-2,921333333
-4;-2,867666667;-2,730333333;-2,607741935;-2,503870968;-2,528214286;-2,875483871;-3,277333333;-3,491612903;-3,48;-3,352580645;-3,190967742;-3,026666667
-4,5;-2,945666667;-2,833333333;-2,727096774;-2,631612903;-2,586785714;-2,724516129;-3,007333333;-3,230967742;-3,311;-3,272903226;-3,18;-3,066666667
-5;-2,975;-2,888666667;-2,802258065;-2,719677419;-2,658928571;-2,686774194;-2,846666667;-3,029677419;-3,143666667;-3,166774194;-3,128709677;-3,059666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,393666667;-0,710666667;-3,990645161;-7,423225806;-7,949642857;-5,24516129;-3,482666667;-1,222258065;-0,174333333;2,394193548;2,664516129;1,817666667
-0,5;0,127333333;-0,154;-2,170645161;-6,151612903;-7,243571429;-4,919032258;-3,749666667;-1,739032258;-0,913666667;0,063548387;0,976129032;0,887
-0,75;-0,166666667;-0,237333333;-1,092580645;-4,953870968;-6,453571429;-4,659354839;-3,864;-2,112903226;-1,32;-0,802903226;-0,307096774;0,005666667
-1;-0,500666667;-0,49;-0,76;-3,868064516;-5,623214286;-4,417741935;-3,865666667;-2,388064516;-1,641;-1,187419355;-0,812580645;-0,583
-1,5;-1,042333333;-0,959;-0,921935484;-2,177419355;-3,983571429;-3,896129032;-3,650333333;-2,735806452;-2,112666667;-1,727419355;-1,41483871;-1,193333333
-2;-1,449666667;-1,338333333;-1,256129032;-1,478709677;-2,647857143;-3,253548387;-3,262666667;-2,838064516;-2,384666667;-2,060967742;-1,807096774;-1,608
-2,5;-1,717;-1,608666667;-1,519354839;-1,487419355;-1,913928571;-2,591290323;-2,818666667;-2,728387097;-2,465;-2,226129032;-2,023870968;-1,857333333
-3;-1,878666667;-1,783333333;-1,701612903;-1,63516129;-1,711071429;-2,111935484;-2,420333333;-2,510322581;-2,414;-2,268709677;-2,123870968;-1,994333333
-3,5;-1,964333333;-1,888;-1,818387097;-1,755806452;-1,732857143;-1,879354839;-2,123666667;-2,275483871;-2,291666667;-2,231612903;-2,14516129;-2,054
-4;-1,997333333;-1,940333333;-1,88516129;-1,833225806;-1,795;-1,818064516;-1,945;-2,083225806;-2,151666667;-2,151612903;-2,113225806;-2,059666667
-4,5;-1,993666667;-1,954666667;-1,914193548;-1,874516129;-1,838571429;-1,821935484;-1,866;-1,951935484;-2,025;-2,057096774;-2,054516129;-2,029666667
-5;-1,965333333;-1,942;-1,915806452;-1,887096774;-1,859642857;-1,836129032;-1,838666667;-1,877741935;-1,93;-1,968709677;-1,985483871;-1,981333333
