Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,591935484;-5,750666667;-14,36387097;-18,65290323;-18,80321429;-12,23483871;-6,004;0,184516129;4,328666667;10,23032258;9,101935484;4,684
-0,25;1,55516129;-0,349;-6,997419355;-16,33709677;-18,43357143;-12,05870968;-7,762666667;-3,067741935;-0,835;1,715483871;4,318064516;3,604333333
-0,5;0,946451613;0,039333333;-2,716774194;-14,48516129;-17,54642857;-12,01612903;-8,411333333;-4,002258065;-1,679333333;-0,941935484;0,529032258;2,185
-0,75;0,282258065;-0,081333333;-1,640967742;-12,9783871;-16,55464286;-11,86225806;-8,587666667;-4,450645161;-2,157;-1,392903226;-0,673548387;0,67
-1;-0,281612903;-0,313;-1,131290323;-11,54709677;-15,56142857;-11,67903226;-8,696333333;-4,834193548;-2,592;-1,79483871;-1,197096774;-0,417333333
-1,5;-1,03;-0,936;-1,065483871;-8,979677419;-13,60642857;-11,19387097;-8,736333333;-5,43483871;-3,354333333;-2,502580645;-1,946451613;-1,334
-2;-1,680322581;-1,521;-1,459354839;-6,925483871;-11,73607143;-10,55032258;-8,589333333;-5,86;-3,995666667;-3,124193548;-2,573225806;-2,037333333
-2,5;-2,270967742;-2,068;-1,948709677;-5,46;-9,973214286;-9,763870968;-8,31;-6,147419355;-4,532;-3,678064516;-3,132903226;-2,644666667
-3;-2,817419355;-2,584;-2,43;-4,493870968;-8,333928571;-8,873548387;-7,934333333;-6,325806452;-4,979333333;-4,171612903;-3,640967742;-3,190666667
-3,5;-3,330967742;-3,074;-2,891290323;-3,889677419;-6,825;-7,916451613;-7,496;-6,418709677;-5,352;-4,616129032;-4,105806452;-3,689333333
-4;-3,79483871;-3,529;-3,325806452;-3,589677419;-5,529642857;-6,94483871;-7,008666667;-6,420967742;-5,635666667;-4,993548387;-4,517741935;-4,134666667
-4,5;-4,167096774;-3,907333333;-3,698387097;-3,659677419;-4,724642857;-6,06516129;-6,479;-6,272258065;-5,754666667;-5,240967742;-4,820645161;-4,476666667
-5;-4,453870968;-4,211666667;-4,007741935;-3,872258065;-4,349285714;-5,381290323;-5,967666667;-6,026774194;-5,744333333;-5,369032258;-5,022258065;-4,724666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,591935484;-5,750666667;-14,36387097;-18,65290323;-18,80321429;-12,23483871;-6,004;0,184516129;4,328666667;10,23032258;9,101935484;4,684
-0,25;1,315483871;-0,333666667;-6,411612903;-15,34258065;-17,43357143;-11,31387097;-7,462666667;-2,963548387;-0,865;1,296451613;3,453870968;2,997333333
-0,5;0,694193548;0,004;-2,372903226;-13,5583871;-16,59178571;-11,28258065;-8,073333333;-3,852580645;-1,671;-0,96;-0,134516129;1,536
-0,75;0,039032258;-0,148666667;-1,489032258;-12,12645161;-15,64214286;-11,15129032;-8,229;-4,279354839;-2,126666667;-1,39;-0,848709677;0,106
-1;-0,437741935;-0,419;-1,101612903;-10,77;-14,69321429;-10,98645161;-8,319666667;-4,644516129;-2,540666667;-1,772903226;-1,260322581;-0,634666667
-1,5;-1,125483871;-1,014333333;-1,100967742;-8,350967742;-12,83071429;-10,54225806;-8,330333333;-5,212580645;-3,262666667;-2,448064516;-1,938064516;-1,432
-2;-1,731935484;-1,564;-1,49;-6,438387097;-11,05178571;-9,941935484;-8,170333333;-5,612580645;-3,867;-3,035806452;-2,521935484;-2,069666667
-2,5;-2,279032258;-2,077333333;-1,953870968;-5,096774194;-9,378571429;-9,203225806;-7,886;-5,876774194;-4,367666667;-3,558709677;-3,04483871;-2,624666667
-3;-2,786129032;-2,559;-2,406129032;-4,229354839;-7,830357143;-8,359032258;-7,515666667;-6,034516129;-4,784;-4,021935484;-3,521935484;-3,124666667
-3,5;-3,256451613;-3,016;-2,839677419;-3,701290323;-6,411785714;-7,453870968;-7,086;-6,110322581;-5,126666667;-4,437741935;-3,958387097;-3,583666667
-4;-3,686451613;-3,439333333;-3,246451613;-3,454516129;-5,203571429;-6,533225806;-6,613666667;-6,099032258;-5,385333333;-4,790322581;-4,343870968;-3,993
-4,5;-4,027419355;-3,788333333;-3,592580645;-3,541612903;-4,472857143;-5,707096774;-6,108;-5,945806452;-5,485333333;-5,015483871;-4,624193548;-4,307
-5;-0,77;-0,82;-1,51;-3,02;-4,71;-6,08;-6,57;-6,28;-5,31;-4,01;-2,47;-1,26
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,591935484;-5,750666667;-14,36387097;-18,65290323;-18,80321429;-12,23483871;-6,004;0,184516129;4,328666667;10,23032258;9,101935484;4,684
-0,25;1,116451613;-0,155333333;-3,802258065;-10,8783871;-13,17;-8,702258065;-5,730666667;-2,438709677;-0,832666667;0,863225806;2,761290323;2,431333333
-0,5;0,517096774;-0,012;-0,598709677;-8,831935484;-12,35107143;-8,663225806;-6,195333333;-3,137741935;-1,499;-0,903548387;-0,431935484;0,922666667
