Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;2,703548387;-4,927666667;-13,14548387;-18,18032258;-19,21071429;-12,64774194;-7,267;-0,616451613;4,818;12,51903226;11,95612903;6,808333333
-0,5;2,942903226;-3,824666667;-11,34774194;-16,71;-18,34714286;-12,5183871;-8,013666667;-1,751612903;3,628;10,79580645;11,14258065;6,916
-0,75;3,092580645;-2,827;-9,78;-15,31;-17,33;-12,44870968;-8,55;-2,714516129;2,524333333;9,170322581;10,30387097;6,901333333
-1;3,188064516;-1,941;-8,384516129;-13,98032258;-16,26035714;-12,36677419;-8,940666667;-3,55;1,502666667;7,639354839;9,449354839;6,795333333
-1,5;3,242258065;-0,563666667;-6,072258065;-11,54322581;-14,12678571;-12,04258065;-9,345666667;-4,861612903;-0,270666667;4,942903226;7,709354839;6,336666667
-2;3,156774194;0,340666667;-4,290645161;-9,399677419;-12,13892857;-11,46032258;-9,395333333;-5,779354839;-1,711666667;2,720645161;5,974516129;5,619333333
-2,5;2,949032258;0,86;-2,949354839;-7,550645161;-10,34428571;-10,66193548;-9,197333333;-6,373548387;-2,857333333;0,927741935;4,311612903;4,735
-3;2,631935484;1,088666667;-1,972903226;-5,992258065;-8,758928571;-9,727419355;-8,828;-6,702258065;-3,74;-0,499677419;2,779677419;3,767333333
-3,5;2,218387097;1,108666667;-1,291935484;-4,717419355;-7,375714286;-8,737741935;-8,342;-6,816129032;-4,389333333;-1,623870968;1,415806452;2,776666667
-4;1,735806452;0,982666667;-0,850645161;-3,703225806;-6,188571429;-7,75516129;-7,785666667;-6,763870968;-4,835666667;-2,495483871;0,237419355;1,811666667
-4,5;1,206774194;0,757;-0,597419355;-2,922580645;-5,187857143;-6,823870968;-7,193666667;-6,586129032;-5,106333333;-3,152258065;-0,754516129;0,906333333
-5;0,657419355;0,466333333;-0,492903226;-2,345483871;-4,358214286;-5,97483871;-6,594;-6,322903226;-5,236333333;-3,631935484;-1,567096774;0,084
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;1,590645161;-4,553;-11,84193548;-16,32741935;-17,23964286;-11,3616129;-6,556666667;-0,97;2,934666667;7,934193548;7,594193548;4,298333333
-0,5;1,690645161;-3,711333333;-10,31580645;-15,07322581;-16,51714286;-11,2883871;-7,259666667;-1,935806452;2,012;6,713548387;6,979032258;4,289
-0,75;1,728387097;-2,950666667;-8,992580645;-13,88032258;-15,65678571;-11,26870968;-7,777;-2,77;1,150666667;5,554516129;6,35;4,202
-1;1,728709677;-2,281333333;-7,821290323;-12,74935484;-14,75035714;-11,23870968;-8,162;-3,504193548;0,343333333;4,46;5,71;4,057333333
-1,5;1,640322581;-1,261666667;-5,901935484;-10,68612903;-12,93928571;-11,03290323;-8,596333333;-4,675483871;-1,076;2,512580645;4,41516129;3,609333333
-2;1,463870968;-0,618333333;-4,443870968;-8,877741935;-11,25142857;-10,59290323;-8,711333333;-5,517096774;-2,253;0,883870968;3,132580645;3,002
-2,5;1,211290323;-0,277;-3,36483871;-7,323870968;-9,734285714;-9,957741935;-8,603666667;-6,082903226;-3,206666667;-0,453548387;1,90516129;2,294666667
-3;0,892258065;-0,159333333;-2,593870968;-6,022903226;-8,396071429;-9,196451613;-8,34;-6,421290323;-3,956;-1,539677419;0,771935484;1,54
-3,5;0,518387097;-0,198666667;-2,071612903;-4,962903226;-7,234285714;-8,378709677;-7,967333333;-6,571290323;-4,519333333;-2,406774194;-0,239032258;0,779
-4;0,103870968;-0,346;-1,74516129;-4,125483871;-6,241071429;-7,563870968;-7,530666667;-6,573870968;-4,919;-3,092258065;-1,117096774;0,046333333
-4,5;-0,332580645;-0,562666667;-1,572258065;-3,489032258;-5,405714286;-6,789032258;-7,056333333;-6,464516129;-5,175666667;-3,62;-1,860322581;-0,64
-5;-0,774193548;-0,823333333;-1,51483871;-3,021935484;-4,714285714;-6,081612903;-6,569666667;-6,276451613;-5,310666667;-4,011290323;-2,47483871;-1,258333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;1,479354839;-3,435333333;-9,029032258;-12,46548387;-13,16571429;-8,672580645;-4,996;-0,609032258;2,680333333;7,103225806;6,790967742;3,856666667
-0,5;1,593225806;-2,743666667;-7,833870968;-11,48645161;-12,59642857;-8,601612903;-5,521333333;-1,361935484;1,932666667;6,069032258;6,286451613;3,883666667
-0,75;1,654193548;-2,119;-6,796451613;-10,55387097;-11,92178571;-8,573225806;-5,902666667;-2,007419355;1,233333333;5,089677419;5,766774194;3,841
-1;1,681290323;-1,568666667;-5,87516129;-9,669032258;-11,21214286;-8,535806452;-6,186333333;-2,572258065;0,583;4,167741935;5,240645161;3,748
-1,5;1,659032258;-0,719;-4,358387097;-8,051935484;-9,794642857;-8,348387097;-6,493666667;-3,466451613;-0,554;2,532580645;4,169354839;3,417333333
-2;1,557419355;-0,174;-3,199354839;-6,633548387;-8,472857143;-7,986451613;-6,557;-4,102580645;-1,485333333;1,175483871;3,10516129;2,945
-2,5;1,388387097;0,129;-2,333225806;-5,411935484;-7,2825;-7,471935484;-6,452;-4,521935484;-2,236666667;0,069677419;2,08483871;2,378666667
-3;1,155806452;0,249666667;-1,71;-4,38516129;-6,231428571;-6,86516129;-6,227;-4,763870968;-2,821333333;-0,819354839;1,145483871;1,768666667
-3,5;0,873870968;0,238333333;-1,281935484;-3,547096774;-5,318214286;-6,215806452;-5,921333333;-4,862258065;-3,255333333;-1,525806452;0,308064516;1,148666667
-4;0,554193548;0,139333333;-1,007419355;-2,882903226;-4,533928571;-5,570322581;-5,565;-4,846774194;-3,559666667;-2,077419355;-0,417741935;0,549666667
-4,5;0,209677419;-0,021333333;-0,856774194;-2,373548387;-3,873928571;-4,957419355;-5,182333333;-4,746129032;-3,748666667;-2,498064516;-1,030322581;-0,011
-5;-0,141612903;-0,217666667;-0,799677419;-1,999354839;-3,327857143;-4,398064516;-4,793;-4,584193548;-3,844666667;-2,807741935;-1,534193548;-0,521
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;1,135483871;-2,358;-6,239032258;-8,621935484;-9,107142857;-5,996774194;-3,451;-0,364193548;2,037;5,347419355;5,108709677;2,905333333
-0,5;1,229032258;-1,859;-5,400645161;-7,934193548;-8,706071429;-5,942258065;-3,809333333;-0,892580645;1,501666667;4,589354839;4,746129032;2,938666667
-0,75;1,284193548;-1,409333333;-4,670322581;-7,278709677;-8,231071429;-5,91483871;-4,067666667;-1,341612903;1,003333333;3,87483871;4,372580645;2,92
-1;1,315806452;-1,009333333;-4,021612903;-6,659032258;-7,731785714;-5,881612903;-4,257666667;-1,733548387;0,539;3,200322581;3,990967742;2,864
-1,5;1,320322581;-0,392;-2,95;-5,522258065;-6,735;-5,739354839;-4,458;-2,350645161;-0,268;2,009677419;3,218387097;2,643666667
-2;1,26483871;0,010666667;-2,127419355;-4,522258065;-5,805714286;-5,475483871;-4,491333333;-2,785483871;-0,926333333;1,02483871;2,447419355;2,312666667
-2,5;1,159354839;0,237;-1,509354839;-3,660322581;-4,968571429;-5,107741935;-4,406333333;-3,068709677;-1,452;0,227741935;1,711290323;1,912
-3;1,005806452;0,334;-1,061935484;-2,935806452;-4,227857143;-4,674193548;-4,239;-3,229354839;-1,86;-0,410322581;1,031290323;1,477666667
-3,5;0,811935484;0,337666667;-0,750645161;-2,343225806;-3,582142857;-4,214516129;-4,018;-3,288387097;-2,16;-0,915483871;0,425806452;1,034666667
-4;0,590645161;0,274666667;-0,550322581;-1,871612903;-3,028928571;-3,756451613;-3,761333333;-3,269354839;-2,368333333;-1,307741935;-0,097096774;0,604666667
-4,5;0,350645161;0,168666667;-0,436451613;-1,509032258;-2,561785714;-3,322580645;-3,486;-3,191290323;-2,496;-1,60483871;-0,538387097;0,202
-5;0,103548387;0,034333333;-0,390322581;-1,241290323;-2,175;-2,926451613;-3,207333333;-3,07;-2,557333333;-1,821612903;-0,899677419;-0,163333333
