Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;2,358387097;-3,354;-11,99225806;-17,47645161;-19,08107143;-12,57258065;-7,108666667;-1,335483871;3,098666667;10,63580645;10,70645161;6,025666667
-0,5;2,140322581;-1,314333333;-8,992580645;-15,28193548;-18,13785714;-12,34483871;-7,712333333;-2,185806452;0,826333333;7,238709677;8,641290323;5,324
-0,75;1,846451613;-0,092;-6,13483871;-13,15677419;-17,0825;-12,17354839;-8,185;-2,88;-0,365333333;3,964193548;6,579032258;4,504333333
-1;1,509354839;0,236666667;-3,458709677;-11,14064516;-15,96964286;-12,0183871;-8,531333333;-3,503548387;-0,865333333;1,393548387;4,536774194;3,585666667
-1,5;0,771290323;0,209333333;-0,262903226;-7,474193548;-13,74357143;-11,63774194;-8,934;-4,546129032;-1,726333333;-0,620967742;0,756774194;1,570666667
-2;0,027419355;0,031333333;-0,000967742;-4,831935484;-11,66357143;-11,10483871;-9,039333333;-5,329677419;-2,509333333;-1,287741935;-0,49;-0,093333333
-2,5;-0,383870968;-0,306333333;-0,273548387;-3,519677419;-9,799285714;-10,42258065;-8,939666667;-5,895806452;-3,199666667;-1,893548387;-1,025806452;-0,563666667
-3;-0,731612903;-0,602333333;-0,531935484;-2,667741935;-8,191428571;-9,628709677;-8,686666667;-6,265806452;-3,788666667;-2,433225806;-1,521290323;-0,987
-3,5;-1,069677419;-0,893666667;-0,785806452;-2,136129032;-6,828928571;-8,784193548;-8,335333333;-6,481612903;-4,274666667;-2,912903226;-1,976774194;-1,389333333
-4;-1,394516129;-1,175666667;-1,035483871;-1,846451613;-5,711071429;-7,935483871;-7,917666667;-6,563225806;-4,657;-3,326774194;-2,389354839;-1,765666667
-4,5;-1,704193548;-1,448333333;-1,278064516;-1,72516129;-4,816071429;-7,123548387;-7,461333333;-6,540645161;-4,941;-3,678064516;-2,756451613;-2,114333333
-5;-1,992580645;-1,708666667;-1,514516129;-1,715483871;-4,12;-6,373225806;-6,990666667;-6,435806452;-5,138;-3,968387097;-3,078387097;-2,431666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;1,381290323;-2,943666667;-10,71903226;-16,15193548;-17,2275;-11,33;-6,426333333;-1,342903226;1,640333333;6,414193548;6,580322581;3,673
-0,5;1,188064516;-1,075333333;-8,023870968;-14,71806452;-16,53571429;-11,20677419;-7,02;-2,126451613;0,093;3,699677419;4,948387097;3,036666667
-0,75;0,941612903;-0,068;-5,473870968;-13,34387097;-15,73892857;-11,13483871;-7,495666667;-2,773225806;-0,579333333;1,309677419;3,320967742;2,336333333
-1;0,669677419;0,126333333;-3,136451613;-12,04612903;-14,88535714;-11,07129032;-7,856333333;-3,358064516;-1,016333333;-0,062580645;1,716451613;1,586
-1,5;0,099354839;0,054;-0,907741935;-9,71;-13,15214286;-10,8816129;-8,316333333;-4,351612903;-1,839;-0,875806452;-0,255483871;0,103333333
-2;-0,323548387;-0,273;-0,692903226;-7,745483871;-11,50714286;-10,53806452;-8,505666667;-5,117741935;-2,589333333;-1,501290323;-0,801612903;-0,447333333
-2,5;-0,675806452;-0,576;-0,720645161;-6,148709677;-10,00535714;-10,04645161;-8,506333333;-5,686451613;-3,257666667;-2,075806452;-1,307741935;-0,875
-3;-1,02;-0,873;-0,87;-4,92;-8,678928571;-9,437741935;-8,36;-6,078387097;-3,829666667;-2,59516129;-1,778709677;-1,285
-3,5;-1,353225806;-1,165;-1,076129032;-4,00483871;-7,521785714;-8,762580645;-8,116666667;-6,33;-4,307666667;-3,057741935;-2,214193548;-1,672
