Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,148064516;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;2,787333333;-2,612;-11,69709677;-18,12387097;-19,09357143;-11,05967742;-5,769666667;0,264516129;5,997333333;12,59677419;10,88580645;7,477666667
-0,5;2,187666667;-0,707666667;-7,860967742;-15,5183871;-17,54821429;-10,7983871;-6,442666667;-1,793548387;1,847333333;7,928064516;8,080322581;5,921666667
-0,75;1,560666667;-0,053333333;-4,455483871;-12,99903226;-15,86785714;-10,55645161;-6,904666667;-2,741612903;-0,680333333;3,483225806;5,262580645;4,263333333
-1;0,906;-0,006666667;-1,976774194;-10,5816129;-14,12857143;-10,28290323;-7,2;-3,478709677;-1,675333333;0,183870968;2,45483871;2,530666667
-1,5;-0,430666667;-0,464;-0,632903226;-6,152258065;-10,67214286;-9,555806452;-7,421333333;-4,600322581;-2,958333333;-1,948064516;-1,074516129;-0,514666667
-2;-1,406666667;-1,257666667;-1,177096774;-3,217096774;-7,585714286;-8,481935484;-7,218666667;-5,285806452;-3,865666667;-2,946451613;-2,219354839;-1,709666667
-2,5;-2,124666667;-1,907666667;-1,761612903;-2,236451613;-5,227857143;-7,119032258;-6,700666667;-5,540645161;-4,415666667;-3,601935484;-2,961935484;-2,472
-3;-2,669;-2,425333333;-2,243870968;-2,232580645;-3,750714286;-5,748387097;-6,030333333;-5,482580645;-4,683333333;-4,013225806;-3,462258065;-3,017666667
-3,5;-3,079666667;-2,832666667;-2,639032258;-2,508064516;-3,082142857;-4,619354839;-5,324;-5,225806452;-4,742666667;-4,237096774;-3,785483871;-3,401666667
-4;-3,375;-3,145333333;-2,954516129;-2,800645161;-2,930714286;-3,861935484;-4,674;-4,868709677;-4,658;-4,32;-3,972580645;-3,657333333
-4,5;-3,578333333;-3,376;-3,199354839;-3,047419355;-3,007857143;-3,461612903;-4,151;-4,493548387;-4,485666667;-4,3;-4,057096774;-3,813
-5;-3,705333333;-3,537;-3,38;-3,240967742;-3,150714286;-3,317096774;-3,789;-4,158709677;-4,276;-4,21516129;-4,066774194;-3,890333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,148064516;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,621666667;-2,278;-10,70935484;-16,56806452;-17,12821429;-10,13032258;-5,364333333;-0,573870968;3,211;7,240322581;6,470322581;4,493333333
-0,5;1,083666667;-0,602666667;-7,515806452;-14,57032258;-15,90428571;-10,0383871;-6,039666667;-1,983225806;0,121666667;3,50516129;4,143225806;3,152666667
-0,75;0,537666667;-0,094;-4,772258065;-12,62870968;-14,58392857;-9,925806452;-6,527333333;-2,837096774;-1,222;0,426129032;1,823225806;1,761333333
-1;-0,01;-0,200666667;-2,933870968;-10,76032258;-13,20642857;-9,772580645;-6,865;-3,538387097;-1,969333333;-1,031290323;-0,063870968;0,378333333
-1,5;-1,015666667;-0,949;-1,55483871;-7,283870968;-10,44821429;-9,281935484;-7,201333333;-4,639677419;-3,157666667;-2,290967742;-1,635483871;-1,208333333
-2;-1,835;-1,666333333;-1,610967742;-4,580322581;-7,952857143;-8,456129032;-7,15;-5,348387097;-4,033666667;-3,195483871;-2,573870968;-2,129333333
-2,5;-2,483666667;-2,264;-2,110322581;-3,203548387;-5,972142857;-7,347419355;-6,795;-5,659354839;-4,592;-3,829354839;-3,25;-2,811
-3;-2,992666667;-2,753;-2,569677419;-2,829354839;-4,596071429;-6,191612903;-6,276333333;-5,677419355;-4,893666667;-4,249677419;-3,731935484;-3,322333333
-3,5;-3,388333333;-3,149333333;-2,954516129;-2,916129032;-3,815357143;-5,193870968;-5,696333333;-5,503225806;-5,000666667;-4,500322581;-4,060967742;-3,696333333
-4;-3,685;-3,459;-3,269032258;-3,141612903;-3,494285714;-4,468387097;-5,135;-5,225483871;-4,967666667;-4,616129032;-4,268387097;-3,958666667
-4,5;-3,895666667;-3,695;-3,517741935;-3,372258065;-3,45;-4,026129032;-4,657333333;-4,910967742;-4,846333333;-4,633870968;-4,379032258;-4,130666667
-5;-4,039;-3,866666667;-3,708387097;-3,568064516;-3,530357143;-3,813225806;-4,302;-4,613548387;-4,679666667;-4,583870968;-4,415806452;-4,229
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,148064516;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,435333333;-1,515333333;-7,591612903;-12,33967742;-13,0475;-7,562903226;-4,032333333;-0,412580645;2,889666667;6,488387097;5,729677419;3,979666667
-0,5;0,962;-0,304;-4,662903226;-10,46290323;-11,91357143;-7,39;-4,521333333;-1,570645161;0,120666667;3,138064516;3,667419355;2,790666667
-0,75;0,480666667;-0,060333333;-2,299032258;-8,666774194;-10,67535714;-7,225806452;-4,846666667;-2,209032258;-1,020666667;0,380322581;1,607741935;1,556666667
-1;-0,002;-0,169;-1,053870968;-6,961290323;-9,398928571;-7,019677419;-5,036;-2,708387097;-1,592333333;-0,871290323;-0,059354839;0,329666667
-1,5;-0,851333333;-0,786333333;-0,810322581;-3,944193548;-6,901071429;-6,43483871;-5,122666667;-3,442258065;-2,438333333;-1,826129032;-1,346451613;-1,017333333
-2;-1,485666667;-1,349;-1,257741935;-2,187096774;-4,745;-5,572580645;-4,901;-3,841290323;-3,004;-2,446774194;-2,023870968;-1,709666667
-2,5;-1,942333333;-1,783;-1,662580645;-1,778064516;-3,238928571;-4,53483871;-4,466333333;-3,916129032;-3,298666667;-2,827741935;-2,456129032;-2,168
-3;-2,263666667;-2,102;-1,973870968;-1,904193548;-2,469642857;-3,59;-3,944333333;-3,772903226;-3,389333333;-3,029354839;-2,72516129;-2,474333333
-3,5;-2,483666667;-2,334;-2,208387097;-2,106774194;-2,24;-2,925806452;-3,434333333;-3,514193548;-3,339;-3,101612903;-2,870645161;-2,666
-4;-2,622666667;-2,494;-2,379032258;-2,279677419;-2,259285714;-2,571290323;-3,016;-3,222580645;-3,205333333;-3,080967742;-2,923548387;-2,77
-4,5;-2,697333333;-2,592333333;-2,49516129;-2,405806452;-2,346071429;-2,442580645;-2,732333333;-2,959677419;-3,036333333;-3,000645161;-2,912903226;-2,808
-5;-2,723;-2,644333333;-2,566129032;-2,489677419;-2,426785714;-2,429677419;-2,573333333;-2,757419355;-2,869;-2,894193548;-2,860322581;-2,799
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,148064516;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,042666667;-0,892333333;-4,814193548;-8,189354839;-8,816428571;-5,228387097;-2,906666667;-0,500645161;1,893333333;4,59516129;4,157419355;2,874333333
-0,5;0,649333333;-0,147333333;-2,496774194;-6,580322581;-7,845;-5,048709677;-3,224333333;-1,293225806;-0,222666667;1,849677419;2,467419355;1,874666667
