Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,046451613;-5,336333333;-14,96677419;-19,69935484;-19,34964286;-10,76677419;-4,236666667;3,620322581;7,659333333;12,38258065;9,752903226;6,374666667
-0,25;2,068;-0,181666667;-6,999677419;-16,87741935;-18,71678571;-11,3016129;-6,554;-1,858387097;0,163;4,667096774;6,93516129;5,548666667
-0,5;1,610333333;0,118666667;-2,319677419;-14,52096774;-17,66821429;-11,47870968;-7,244;-2,79;-1,256333333;-0,246774194;4,177419355;4,265333333
-0,75;1,057;0,055;-0,990322581;-12,49387097;-16,545;-11,39709677;-7,439333333;-3,260322581;-1,708;-1;1,613870968;2,773666667
-1;0,491333333;-0,037333333;-0,339677419;-10,55451613;-15,4275;-11,26193548;-7,561333333;-3,670967742;-2,106666667;-1,413225806;-0,200645161;1,265666667
-1,5;-0,486333333;-0,477333333;-0,522580645;-7,300967742;-13,24964286;-10,81580645;-7,630333333;-4,333548387;-2,793666667;-2,082580645;-1,371935484;-0,713333333
-2;-1,152666667;-1,044;-1,011935484;-5,217741935;-11,1825;-10,14612903;-7,518666667;-4,819032258;-3,363;-2,644193548;-2,04516129;-1,471333333
-2,5;-1,739333333;-1,575333333;-1,488064516;-3,935483871;-9,252142857;-9,287741935;-7,280333333;-5,157096774;-3,840333333;-3,138709677;-2,598387097;-2,083666667
-3;-2,269;-2,069666667;-1,944193548;-3,217419355;-7,4725;-8,292258065;-6,947333333;-5,37516129;-4,238;-3,574516129;-3,079032258;-2,616
-3,5;-2,758;-2,534333333;-2,378064516;-2,873548387;-5,855714286;-7,212580645;-6,550666667;-5,497419355;-4,569;-3,960322581;-3,506129032;-3,095
-4;-3,196666667;-2,961666667;-2,781935484;-2,806451613;-4,505714286;-6,116451613;-6,096333333;-5,517419355;-4,818333333;-4,286774194;-3,874516129;-3,515666667
-4,5;-3,537666667;-3,308;-3,121935484;-3,004193548;-3,7625;-5,154516129;-5,577666667;-5,372258065;-4,913;-4,486774194;-4,132580645;-3,824666667
-5;-3,787;-3,578;-3,397096774;-3,251290323;-3,495714286;-4,454193548;-5,066;-5,124193548;-4,884;-4,58;-4,291612903;-4,032333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,046451613;-5,336333333;-14,96677419;-19,69935484;-19,34964286;-10,76677419;-4,236666667;3,620322581;7,659333333;12,38258065;9,752903226;6,374666667
-0,25;1,818333333;-0,148333333;-6,297096774;-15,87645161;-17,72071429;-10,70548387;-6,218;-1,834193548;-0,100333333;3,673548387;5,776451613;4,778
-0,5;1,352333333;0,09;-1,871935484;-13,57483871;-16,72678571;-10,88;-6,887333333;-2,717741935;-1,276333333;-0,611290323;2,917419355;3,500666667
