Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;2,995;-3,766666667;-13,1983871;-18,54612903;-18,84178571;-11,01;-4,91;3,016129032;8,876;15,01612903;12,50967742;8,47
-0,5;2,992666667;-0,935;-8,34483871;-14,21451613;-15,73821429;-10,27741935;-5,792666667;-0,439677419;4,871666667;10,28483871;9,953548387;7,476
-0,75;2,916;0,325666667;-4,857741935;-10,94516129;-13,27464286;-9,693225806;-6,288;-1,998709677;1,849333333;6,769032258;7,899032258;6,583
-1;2,774;0,632333333;-2,841935484;-8,77516129;-11,49857143;-9,213225806;-6,415666667;-2,63483871;0,287666667;4,607419355;6,449677419;5,824666667
-1,5;2,275333333;0,759;-0,438709677;-4,794193548;-8,076071429;-8,003870968;-6,244666667;-3,451290323;-1,438666667;1,054193548;3,655806452;4,101333333
-2;1,541;0,613;-0,006451613;-1,637741935;-5,059642857;-6,498387097;-5,674;-3,804516129;-2,193;-0,878387097;1,133548387;2,274666667
-2,5;0,678666667;0,299666667;-0,024516129;-0,239677419;-2,605;-4,886774194;-4,902666667;-3,830645161;-2,605;-1,609354839;-0,579032258;0,528333333
-3;-0,202666667;-0,116;-0,172258065;-0,218064516;-1,056428571;-3,383548387;-4,052;-3,619032258;-2,780333333;-2,015483871;-1,278064516;-0,633666667
-3,5;-0,771666667;-0,572;-0,493548387;-0,466129032;-0,6275;-2,182258065;-3,217;-3,26;-2,783666667;-2,233225806;-1,673548387;-1,162666667
-4;-1,147333333;-0,917333333;-0,781935484;-0,703870968;-0,682142857;-1,420967742;-2,474333333;-2,837741935;-2,674;-2,321612903;-1,908709677;-1,498333333
-4,5;-1,405;-1,175;-1,012903226;-0,904193548;-0,835357143;-1,080967742;-1,886666667;-2,421612903;-2,502666667;-2,322258065;-2,033870968;-1,71
-5;-1,574666667;-1,355333333;-1,18516129;-1,060967742;-0,974642857;-1,006129032;-1,501666667;-2,070645161;-2,309333333;-2,26483871;-2,079032258;-1,832666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,663666667;-3,373;-11,8616129;-16,68451613;-16,94321429;-9,953225806;-4,544666667;1,633548387;5,352333333;9,39483871;7,754193548;5,265333333
-0,5;1,487;-1,006333333;-7,531612903;-12,94935484;-14,50357143;-9,646129032;-5,527666667;-1,028064516;2,101333333;5,73;5,622580645;4,238333333
-0,75;1,282666667;-0,032;-4,368709677;-10,13;-12,5675;-9,397096774;-6,172;-2,290967742;-0,057666667;3,048387097;3,991612903;3,399333333
-1;1,095666667;0,139666667;-2,547096774;-8,283548387;-11,17178571;-9,143548387;-6,426333333;-2,943870968;-0,962;1,443870968;2,890967742;2,754
-1,5;0,609333333;0,089666667;-0,42516129;-4,998709677;-8,521428571;-8,382580645;-6,535333333;-3,87;-2,092;-0,785806452;0,782580645;1,354333333
-2;0,023333333;-0,098666667;-0,197419355;-2,587741935;-6,250714286;-7,320967742;-6,266333333;-4,382580645;-2,839;-1,753225806;-0,746129032;-0,043333333
