Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);4,387666667;-3,812333333;-12,21516129;-16,30290323;-17,68714286;-8,108709677;-1,053666667;5,183225806;5,843666667;11,63322581;11,06935484;7,278333333
-0,25;3,752;0,149333333;-4,177096774;-12,74903226;-15,79035714;-9,65483871;-4,305666667;-1,061935484;0,195;4,178064516;7,822903226;6,389333333
-0,5;3,009333333;0,341;-0,557096774;-9,657096774;-14,175;-10,12193548;-4,959;-1,900645161;-0,967;-0,327096774;4,775806452;5,036
-0,75;2,200666667;0,262;-0,124193548;-7,033225806;-12,79642857;-10,01096774;-5,157666667;-2,262903226;-1,300666667;-0,856129032;2,030322581;3,491
-1;1,385;0,157333333;-0,08516129;-4,719677419;-11,46642857;-9,809032258;-5,292333333;-2,569032258;-1,589666667;-1,146451613;0,092903226;1,929666667
-1,5;-0,176;-0,183666667;-0,273548387;-2,054516129;-8,986785714;-9,154516129;-5,394;-3,04516129;-2,062666667;-1,606451613;-1,108709677;-0,477333333
-2;-0,830333333;-0,699333333;-0,658709677;-1,21516129;-6,790714286;-8,236774194;-5,312;-3,368387097;-2,432;-1,971290323;-1,586774194;-1,120666667
-2,5;-1,280666667;-1,119333333;-1,031612903;-1,117419355;-4,948571429;-7,137419355;-5,087333333;-3,561290323;-2,717333333;-2,271612903;-1,940645161;-1,570333333
-3;-1,66;-1,489666667;-1,377419355;-1,326774194;-3,547142857;-5,928709677;-4,754;-3,648064516;-2,934666667;-2,523870968;-2,227096774;-1,925
-3,5;-1,986666667;-1,82;-1,695806452;-1,609032258;-2,603928571;-4,682258065;-4,340333333;-3,650967742;-3,094333333;-2,733548387;-2,468387097;-2,218
-4;-2,263;-2,106;-1,976451613;-1,876774194;-2,096071429;-3,521612903;-3,865666667;-3,568709677;-3,188;-2,891935484;-2,663548387;-2,460333333
-4,5;-2,45;-2,310333333;-2,189677419;-2,088064516;-2,07;-2,757096774;-3,354333333;-3,360322581;-3,163;-2,953225806;-2,771290323;-2,610666667
-5;-2,560333333;-2,445666667;-2,340322581;-2,246129032;-2,179642857;-2,411290323;-2,917333333;-3,097741935;-3,052666667;-2,934516129;-2,806774194;-2,686
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);4,387666667;-3,812333333;-12,21516129;-16,30290323;-17,68714286;-8,108709677;-1,053666667;5,183225806;5,843666667;11,63322581;11,06935484;7,278333333
-0,25;3,293333333;0,113666667;-3,824516129;-11,95290323;-14,89571429;-9,099354839;-4,172;-1,091612903;-0,012;3,202580645;6,545483871;5,583666667
-0,5;2,553666667;0,27;-0,423225806;-8,954516129;-13,38321429;-9,567096774;-4,773666667;-1,9;-0,987666667;-0,576774194;3,345483871;4,218
-0,75;1,756666667;0,188333333;-0,105483871;-6,477096774;-12,10178571;-9,476129032;-4,959;-2,249032258;-1,311333333;-0,90516129;0,968064516;2,693666667
-1;0,955333333;0,079333333;-0,110322581;-4,381935484;-10,86535714;-9,294193548;-5,081333333;-2,542903226;-1,590666667;-1,168387097;-0,42516129;1,163333333
