Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;5,962;-2,206;-10,51387097;-15,32612903;-16,87071429;-8,426451613;-1,392666667;5,178709677;6,897666667;14,25483871;14,28483871;9,817666667
-0,5;5,533333333;0,31;-6,007741935;-11,42193548;-13,35892857;-8,18483871;-2,591666667;1,266774194;4,161;9,888064516;11,49645161;8,876666667
-0,75;5,16;1,337333333;-2,761612903;-8,36;-10,67571429;-7,888064516;-3,265;-0,445806452;2,141333333;6,675483871;9,248709677;7,996666667
-1;4,844;1,746;-1,196451613;-6,328709677;-8,891071429;-7,457741935;-3,498333333;-0,989354839;0,915;4,773225806;7,694516129;7,241333333
-1,5;4,082666667;2,155;0,28483871;-2,711935484;-5,621071429;-6,108387097;-3,489666667;-1,520967742;-0,536666667;1,713548387;4,810967742;5,539333333
-2;3,187;2,113333333;0,573548387;-0,482580645;-2,828214286;-4,322258065;-3,001;-1,643548387;-0,903666667;-0,127741935;2,316774194;3,748666667
-2,5;2,228;1,782333333;0,674193548;0,053225806;-0,716071429;-2,413548387;-2,221;-1,475806452;-0,956666667;-0,600322581;0,372258065;2,046333333
-3;1,268333333;1,288666667;0,629032258;0,116451613;-0,043928571;-0,727741935;-1,288666667;-1,095483871;-0,82;-0,61516129;-0,383548387;0,54
-3,5;0,372;0,727666667;0,47516129;0,123225806;-0,008571429;-0,068387097;-0,394666667;-0,59;-0,555;-0,481290323;-0,399032258;-0,237666667
-4;-0,162666667;0,179333333;0,259032258;0,088709677;-0,005357143;-0,023548387;-0,059666667;-0,152903226;-0,242;-0,27483871;-0,274193548;-0,251333333
-4,5;-0,15;-0,118;0,026774194;0,027419355;-0,015;-0,023870968;-0,033;-0,049032258;-0,074333333;-0,103225806;-0,128709677;-0,145
-5;-0,083;-0,09;-0,083225806;-0,04483871;-0,04;-0,04;-0,034666667;-0,04;-0,041666667;-0,051612903;-0,062903226;-0,073666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
