Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;2,664333333;-2,509;-12,06741935;-19,24096774;-20,41785714;-12,51225806;-7,1;-2,250967742;1,228;8,208064516;10,49032258;6,061666667
-0,5;1,929333333;-0,719;-8,522258065;-16,90258065;-18,88035714;-12,36548387;-7,674;-3,299354839;-1,040333333;3,339677419;6,878709677;4,422666667
-0,75;1,161333333;-0,109;-5,43;-14,66741935;-17,26821429;-12,20064516;-8,125666667;-4,153870968;-1,979666667;0,015806452;3,302258065;2,712333333
-1;0,369;-0,111;-3,278709677;-12,52709677;-15,63642857;-11,98677419;-8,447333333;-4,872258065;-2,747333333;-1,412580645;0,36516129;0,965666667
-1,5;-0,989333333;-0,916666667;-1,690645161;-8,572580645;-12,44785714;-11,34806452;-8,779333333;-5,991290323;-4,039;-2,853870968;-1,87;-1,229333333
-2;-1,992666667;-1,784333333;-1,742580645;-5,493225806;-9,601785714;-10,33580645;-8,723666667;-6,694193548;-5,012;-3,912258065;-3,030645161;-2,379333333
-2,5;-2,796666667;-2,518;-2,330322581;-3,840967742;-7,326428571;-9,029032258;-8,333333333;-6,99;-5,642;-4,656451613;-3,86516129;-3,241333333
-3;-3,445333333;-3,132333333;-2,898709677;-3,327419355;-5,693214286;-7,680322581;-7,747666667;-6,989354839;-5,993333333;-5,157741935;-4,46516129;-3,894666667
-3,5;-3,957;-3,638666667;-3,386129032;-3,386451613;-4,701785714;-6,496774194;-7,079333333;-6,789677419;-6,13;-5,466129032;-4,88483871;-4,382333333
-4;-4,351333333;-4,044;-3,793225806;-3,646774194;-4,242857143;-5,593548387;-6,418666667;-6,475806452;-6,11;-5,625806452;-5,158387097;-4,733333333
-4,5;-4,645;-4,365666667;-4,125806452;-3,939354839;-4,1325;-5,003548387;-5,835333333;-6,114516129;-5,986;-5,671935484;-5,318064516;-4,972666667
-5;-4,853333333;-4,611;-4,390967742;-4,203225806;-4,201071429;-4,685483871;-5,377;-5,760967742;-5,803666667;-5,636774194;-5,389354839;-5,122666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,522;-2,153;-11,13935484;-17,43516129;-18,23214286;-11,17677419;-6,51;-2,16;0,199333333;4,547741935;6,13516129;3,542666667
-0,5;0,876666667;-0,600666667;-8,346451613;-15,52516129;-16,95821429;-11,1116129;-7,088666667;-3,123225806;-1,269;0,948064516;3,207096774;2,179
-0,75;0,228333333;-0,179333333;-5,993870968;-13,69322581;-15,63178571;-11,04;-7,527666667;-3,930967742;-2,083666667;-0,92;0,605806452;0,783
-1;-0,385;-0,443666667;-4,337419355;-11,93903226;-14,27535714;-10,92129032;-7,843666667;-4,614193548;-2,784666667;-1,731612903;-0,862903226;-0,376
-1,5;-1,419;-1,303;-2,601935484;-8,681612903;-11,60821429;-10,47903226;-8,195666667;-5,693870968;-3,978666667;-2,965806452;-2,19;-1,67
-2;-2,285333333;-2,074666667;-2,23;-6,040967742;-9,218214286;-9,68483871;-8,199666667;-6,385483871;-4,888666667;-3,917741935;-3,178387097;-2,635333333
-2,5;-2,998;-2,733333333;-2,588387097;-4,418387097;-7,287142857;-8,598387097;-7,901333333;-6,697741935;-5,486666667;-4,605483871;-3,918709677;-3,388666667
-3;-3,575;-3,287333333;-3,072903226;-3,745806452;-5,864285714;-7,453225806;-7,426;-6,731290323;-5,827666667;-5,076129032;-4,463548387;-3,969333333
-3,5;-4,034666667;-3,746666667;-3,513548387;-3,649677419;-4,948928571;-6,432258065;-6,865;-6,579032258;-5,971666667;-5,372580645;-4,851612903;-4,408333333
-4;-4,395;-4,116666667;-3,88516129;-3,808064516;-4,472142857;-5,637419355;-6,300333333;-6,317419355;-5,973333333;-5,531612903;-5,108709677;-4,729666667
-4,5;-4,661333333;-4,41;-4,190645161;-4,040645161;-4,308571429;-5,099677419;-5,796333333;-6,010645161;-5,877333333;-5,586129032;-5,262580645;-4,955
-5;-4,853;-4,634;-4,43483871;-4,268387097;-4,322857143;-4,793548387;-5,391;-5,703548387;-5,724666667;-5,564193548;-5,33483871;-5,092333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,346;-1,498;-7,936451613;-13,08967742;-13,90571429;-8,471935484;-5,017;-1,741290323;0,158666667;3,997741935;5,426451613;3,147333333
-0,5;0,776;-0,339333333;-5,294516129;-11,37870968;-12,78357143;-8,36483871;-5,446;-2,508709677;-1,065666667;0,791935484;2,797096774;1,925333333
-0,75;0,204333333;-0,134;-3,231612903;-9,743870968;-11,58714286;-8,243548387;-5,732;-3,11516129;-1,708333333;-0,811935484;0,482580645;0,673333333
-1;-0,335666667;-0,375;-2,088064516;-8,191612903;-10,3775;-8,073225806;-5,911333333;-3,607419355;-2,242666667;-1,456774194;-0,769032258;-0,348333333
-1,5;-1,192666667;-1,087;-1,376129032;-5,381290323;-8,038214286;-7,540645161;-6,026333333;-4,338064516;-3,114666667;-2,38483871;-1,810967742;-1,405666667
-2;-1,866666667;-1,697;-1,602258065;-3,384516129;-5,999642857;-6,716774194;-5,866;-4,741612903;-3,733333333;-3,057741935;-2,535483871;-2,140333333
-2,5;-2,381;-2,181333333;-2,033870968;-2,560322581;-4,465714286;-5,704516129;-5,484;-4,83516129;-4,083666667;-3,499032258;-3,035806452;-2,668333333
-3;-2,77;-2,564;-2,400322581;-2,455483871;-3,502857143;-4,737096774;-4,991;-4,716451613;-4,224333333;-3,758709677;-3,367741935;-3,042
-3,5;-3,053666667;-2,858;-2,693870968;-2,606774194;-3,045357143;-3,978064516;-4,477;-4,477096774;-4,212;-3,880645161;-3,571612903;-3,297333333
-4;-3,250666667;-3,075;-2,921290323;-2,800967742;-2,919285714;-3,487419355;-4,017666667;-4,188064516;-4,103;-3,899032258;-3,672580645;-3,456
-4,5;-3,375666667;-3,226666667;-3,089677419;-2,969677419;-2,952142857;-3,232903226;-3,658666667;-3,902903226;-3,941;-3,847419355;-3,700322581;-3,539333333
-5;-3,443;-3,323333333;-3,207419355;-3,100322581;-3,036071429;-3,138064516;-3,418666667;-3,659354839;-3,768;-3,75483871;-3,67483871;-3,566333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
