Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,256774194;-5,124333333;-14,97935484;-20,55419355;-20,55857143;-11,93580645;-6,074666667;-0,317741935;3,865666667;9,511935484;10,08806452;5,394
-0,25;1,863;-0,221333333;-7,07516129;-18,1316129;-19,96535714;-12,54645161;-7,583333333;-3,041935484;-1,037666667;1,231935484;4,429032258;4,018333333
-0,5;1,182666667;0,053666667;-2,640967742;-16,0983871;-18,91321429;-12,80129032;-8,198666667;-3,928064516;-1,854333333;-1,026774194;0,239032258;2,359666667
-0,75;0,431;-0,064666667;-1,561612903;-14,42774194;-17,83714286;-12,74483871;-8,405333333;-4,397096774;-2,330333333;-1,49;-0,810645161;0,660333333
-1;-0,239666667;-0,289333333;-1,062258065;-12,8383871;-16,76964286;-12,62806452;-8,548;-4,80483871;-2,764666667;-1,906129032;-1,3;-0,476666667
-1,5;-1,053;-0,944;-1,052580645;-9,978387097;-14,69357143;-12,20290323;-8,678;-5,466129032;-3,531;-2,64;-2,059032258;-1,422
-2;-1,741;-1,563;-1,49516129;-7,68;-12,71571429;-11,54967742;-8,635333333;-5,95516129;-4,183333333;-3,287419355;-2,705806452;-2,151666667
-2,5;-2,363333333;-2,142333333;-2,015806452;-6,026451613;-10,84821429;-10,70935484;-8,464666667;-6,30483871;-4,734333333;-3,863548387;-3,288387097;-2,783333333
-3;-2,941;-2,689666667;-2,524193548;-4,913225806;-9,097857143;-9,738064516;-8,195666667;-6,542903226;-5,202;-4,38;-3,820967742;-3,354
-3,5;-3,480666667;-3,210333333;-3,014516129;-4,190322581;-7,4725;-8,686451613;-7,856666667;-6,692258065;-5,598;-4,846129032;-4,309677419;-3,876333333
-4;-3,974;-3,693333333;-3,47483871;-3,80516129;-6,053571429;-7,61483871;-7,452333333;-6,745483871;-5,908666667;-5,24483871;-4,745806452;-4,344333333
-4,5;-4,373666667;-4,097;-3,871935484;-3,849677419;-5,131071429;-6,635483871;-6,961666667;-6,635806452;-6,056333333;-5,513870968;-5,070322581;-4,708
-5;-4,679666667;-4,424333333;-4,204516129;-4,066129032;-4,667857143;-5,861612903;-6,453666667;-6,418064516;-6,073333333;-5,663548387;-5,291935484;-4,975
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,256774194;-5,124333333;-14,97935484;-20,55419355;-20,55857143;-11,93580645;-6,074666667;-0,317741935;3,865666667;9,511935484;10,08806452;5,394
-0,25;1,583333333;-0,222666667;-6,457096774;-17,02967742;-18,77821429;-11,91225806;-7,137666667;-2,930967742;-1,062333333;0,81;3,54516129;3,305333333
-0,5;0,879;0,015333333;-2,279032258;-15,09032258;-17,77142857;-12,16419355;-7,733;-3,77;-1,84;-1,049032258;-0,347096774;1,598
-0,75;0,126666667;-0,134666667;-1,416451613;-13,50774194;-16,74892857;-12,10870968;-7,934666667;-4,210645161;-2,291333333;-1,489032258;-0,939677419;0,038666667
-1;-0,430333333;-0,409666667;-1,053548387;-12,00516129;-15,7375;-11,99225806;-8,076;-4,595483871;-2,702;-1,882580645;-1,346451613;-0,707666667
-1,5;-1,165333333;-1,036333333;-1,107096774;-9,312258065;-13,77678571;-11,57935484;-8,206333333;-5,215806452;-3,426333333;-2,579677419;-2,040967742;-1,526
-2;-1,802666667;-1,618666667;-1,536451613;-7,173225806;-11,91571429;-10,94612903;-8,171;-5,673548387;-4,036;-3,190645161;-2,646774194;-2,183666667
-2,5;-2,380666667;-2,160666667;-2,028709677;-5,651935484;-10,16392857;-10,13580645;-8,012333333;-6,000645161;-4,552666667;-3,732580645;-3,194516129;-2,760666667
-3;-2,912333333;-2,671;-2,507419355;-4,64;-8,528928571;-9,200967742;-7,757666667;-6,220645161;-4,987;-4,218709677;-3,694193548;-3,282333333
-3,5;-3,41;-3,155333333;-2,966129032;-3,996451613;-7,013571429;-8,193225806;-7,435;-6,355483871;-5,353;-4,65483871;-4,15483871;-3,763666667
-4;-3,866;-3,604666667;-3,397419355;-3,669032258;-5,698571429;-7,17;-7,048;-6,399677419;-5,637666667;-5,029032258;-4,563225806;-4,195666667
-4,5;-4,23;-3,977;-3,767419355;-3,729677419;-4,861428571;-6,247741935;-6,58;-6,29;-5,768;-5,275806452;-4,865483871;-4,53
-5;-0,877;-0,857;-1,510967742;-3,077741935;-4,977142857;-6,483548387;-6,956666667;-6,557419355;-5,584666667;-4,307741935;-2,78;-1,476
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,256774194;-5,124333333;-14,97935484;-20,55419355;-20,55857143;-11,93580645;-6,074666667;-0,317741935;3,865666667;9,511935484;10,08806452;5,394
-0,25;1,337;-0,100666667;-3,677741935;-11,97548387;-14,10571429;-8,989354839;-5,606333333;-2,450967742;-0,977666667;0,467741935;2,881935484;2,639666667
