Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;2,977333333;-2,750333333;-12,3683871;-19,24419355;-20,70857143;-12,61032258;-7,103666667;-1,41516129;2,34;9,909354839;11,70774194;6,847333333
-0,5;2,661666667;-0,859333333;-9,150322581;-16,7816129;-19,55857143;-12,66806452;-7,667;-2,206451613;0,299666667;6,495806452;9,330645161;5,982
-0,75;2,299;0,099;-6,086774194;-14,39612903;-18,32142857;-12,71419355;-8,117;-2,894516129;-0,593;3,215483871;6,98483871;5,010666667
-1;1,888333333;0,266666667;-3,278709677;-12,12935484;-17,05642857;-12,71032258;-8,457666667;-3,519354839;-1,065;0,899032258;4,683225806;3,953
-1,5;0,979333333;0,234;-0,189032258;-7,986129032;-14,60321429;-12,49258065;-8,891333333;-4,576129032;-1,935333333;-0,72;0,60516129;1,687333333
-2;0,057666667;0,057333333;0,009354839;-5,012580645;-12,36321429;-11,99258065;-9,062;-5,389032258;-2,721666667;-1,408387097;-0,566451613;-0,114
-2,5;-0,396666667;-0,305;-0,273548387;-3,621935484;-10,38071429;-11,2716129;-9,037666667;-5,98516129;-3,412333333;-2,03483871;-1,123225806;-0,607333333
-3;-0,764;-0,619666667;-0,54516129;-2,724193548;-8,674285714;-10,40258065;-8,860333333;-6,387096774;-3,998;-2,593225806;-1,638709677;-1,054333333
-3,5;-1,121333333;-0,928;-0,814193548;-2,168064516;-7,228214286;-9,469032258;-8,571333333;-6,631612903;-4,482;-3,083870968;-2,110967742;-1,477333333
-4;-1,462333333;-1,227;-1,077741935;-1,874193548;-6,037857143;-8,531290323;-8,202;-6,739354839;-4,861666667;-3,509032258;-2,535806452;-1,872
-4,5;-1,787333333;-1,515666667;-1,334193548;-1,756774194;-5,083928571;-7,633548387;-7,780333333;-6,738709677;-5,145333333;-3,868709677;-2,91483871;-2,235666667
-5;-2,093333333;-1,791666667;-1,582258065;-1,758709677;-4,336785714;-6,809032258;-7,327666667;-6,652580645;-5,341666667;-4,16516129;-3,246451613;-2,569
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,837;-2,451333333;-11,03806452;-17,73290323;-18,70107143;-11,37193548;-6,415333333;-1,455806452;1,186;5,878387097;7,185483871;4,178666667
-0,5;1,545;-0,747666667;-8,11;-16,1083871;-17,83964286;-11,5116129;-6,978333333;-2,152903226;-0,155666667;3,202903226;5,320967742;3,421
-0,75;1,225;0,038;-5,333548387;-14,55645161;-16,89892857;-11,63935484;-7,439666667;-2,798387097;-0,740333333;0,979032258;3,482258065;2,608333333
-1;0,878666667;0,134666667;-2,902903226;-13,09516129;-15,92464286;-11,72064516;-7,802666667;-3,389354839;-1,186666667;-0,203225806;1,690967742;1,754
-1,5;0,143666667;0,072666667;-0,693548387;-10,46129032;-14,015;-11,68709677;-8,301;-4,400322581;-2,028333333;-0,960645161;-0,310322581;0,101
-2;-0,333333333;-0,274333333;-0,568387097;-8,253548387;-12,24928571;-11,38580645;-8,558333333;-5,196129032;-2,787666667;-1,612903226;-0,877741935;-0,48
-2,5;-0,705;-0,595;-0,665806452;-6,473870968;-10,655;-10,87193548;-8,633666667;-5,799032258;-3,461;-2,211290323;-1,406774194;-0,931333333
-3;-1,068333333;-0,911;-0,86483871;-5,122580645;-9,247857143;-10,20387097;-8,561;-6,224516129;-4,036;-2,75;-1,897741935;-1,363333333
-3,5;-1,420333333;-1,219;-1,10483871;-4,129677419;-8,016071429;-9,455806452;-8,381;-6,506451613;-4,517666667;-3,229677419;-2,349354839;-1,770333333
-4;-1,758;-1,517333333;-1,359354839;-3,447419355;-6,96;-8,680967742;-8,116666667;-6,66;-4,903;-3,648064516;-2,76;-2,152666667
-4,5;-2,075666667;-1,804333333;-1,614193548;-3,00483871;-6,070357143;-7,920645161;-7,792;-6,710322581;-5,199;-4,005806452;-3,129032258;-2,505333333
-5;-2,376;-2,079;-1,863225806;-2,742580645;-5,337142857;-7,205806452;-7,430333333;-6,676451613;-5,414666667;-4,305806452;-3,454516129;-2,827
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,641;-1,699666667;-8,178387097;-13,24258065;-14,23535714;-8,661612903;-4,882666667;-1,061290323;1,020666667;5,162903226;6,348387097;3,692666667
-0,5;1,372666667;-0,393333333;-5,647419355;-11,6883871;-13,5125;-8,735483871;-5,291666667;-1,590967742;-0,114666667;2,733548387;4,642580645;2,995666667
-0,75;1,079666667;0,090666667;-3,215483871;-10,20580645;-12,73035714;-8,8;-5,622666667;-2,072903226;-0,544666667;0,761290323;2,960322581;2,250666667
-1;0,763666667;0,131666667;-1,3;-8,820645161;-11,92464286;-8,828064516;-5,878666667;-2,513548387;-0,866;-0,18483871;1,336129032;1,467333333
-1,5;0,095333333;0,056333333;0,016129032;-6,385806452;-10,35642857;-8,741612903;-6,216333333;-3,262258065;-1,471333333;-0,718387097;-0,260322581;0,030333333
-2;-0,258666667;-0,211333333;-0,187419355;-4,739354839;-8,913571429;-8,456129032;-6,374;-3,842258065;-2,021333333;-1,183548387;-0,660645161;-0,376666667
-2,5;-0,523666667;-0,438333333;-0,388064516;-3,56516129;-7,625;-8,012903226;-6,395;-4,275483871;-2,507333333;-1,609677419;-1,034516129;-0,695333333
-3;-0,781666667;-0,663;-0,586129032;-2,755483871;-6,502857143;-7,461290323;-6,306333333;-4,57483871;-2,925;-1,992580645;-1,380967742;-0,999
-3,5;-1,03;-0,880666667;-0,78;-2,212580645;-5,535;-6,855806452;-6,139333333;-4,763548387;-3,271333333;-2,334193548;-1,700322581;-1,286666667
-4;-1,267666667;-1,092;-0,969354839;-1,880322581;-4,723214286;-6,238709677;-5,912;-4,859354839;-3,548666667;-2,629677419;-1,990322581;-1,556333333
-4,5;-1,493;-1,294;-1,152903226;-1,699354839;-4,056071429;-5,643225806;-5,645666667;-4,876774194;-3,757333333;-2,882580645;-2,248709677;-1,803333333
-5;-1,705;-1,487666667;-1,329032258;-1,625483871;-3,521071429;-5,087741935;-5,353333333;-4,83483871;-3,906;-3,093870968;-2,478064516;-2,029
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,7;-12,59709677;-6,412333333;-0,057096774;5,419;13,31741935;14,12258065;7,552
-0,25;1,211333333;-0,964666667;-5,387096774;-8,936129032;-9,816071429;-5,980645161;-3,369333333;-0,782258065;0,628666667;3,616451613;4,609677419;2,688666667
-0,5;0,973333333;-0,09;-3,338709677;-7,639677419;-9,278571429;-6,012903226;-3,641666667;-1,122903226;-0,160666667;1,64516129;3,189032258;2,091
