Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,210645161;-5,41;-15,8116129;-21,69483871;-21,69964286;-12,59709677;-6,412333333;-0,057096774;5,419333333;13,31741935;14,12258065;7,552
-0,25;2,995666667;-3,676666667;-13,35645161;-19,4316129;-20,22535714;-12,41354839;-6,827666667;-1,110322581;3,415;11,12096774;12,46967742;7,019333333
-0,5;2,571333333;-1,081666667;-8,636129032;-15,10612903;-17,24821429;-12,00129032;-7,618;-2,783548387;0,163333333;6,28;8,853225806;5,764
-0,75;2,203;0,077333333;-5,155806452;-11,82645161;-14,865;-11,65;-8,101333333;-3,916451613;-1,403666667;2,712580645;6,074516129;4,694666667
-1;1,889;0,323333333;-3,124193548;-9,691612903;-13,21;-11,30354839;-8,255;-4,550967742;-2,105333333;0,837419355;4,275806452;3,862333333
-1,5;1,135;0,29;-0,610645161;-5,926451613;-10,13892857;-10,31032258;-8,205666667;-5,422258065;-3,202333333;-1,429677419;1,058387097;2,055
-2;0,285666667;0,041333333;-0,140967742;-3,123225806;-7,531071429;-8,990322581;-7,810666667;-5,845483871;-3,968;-2,513548387;-0,987096774;0,236333333
-2,5;-0,579333333;-0,478;-0,502258065;-1,713225806;-5,425;-7,546451613;-7,207333333;-5,95;-4,466;-3,246451613;-2,01516129;-1,027
-3;-1,291;-1,050666667;-0,948064516;-1,30483871;-3,8625;-6,152580645;-6,491666667;-5,827419355;-4,741666667;-3,741612903;-2,724516129;-1,84
-3,5;-1,871666667;-1,551333333;-1,365483871;-1,375806452;-2,857142857;-4,939032258;-5,741333333;-5,553870968;-4,840333333;-4,055483871;-3,222903226;-2,446666667
-4;-2,338333333;-1,975333333;-1,737096774;-1,611935484;-2,327142857;-3,983548387;-5,025333333;-5,196774194;-4,808333333;-4,227419355;-3,564516129;-2,896666667
-4,5;-2,702;-2,327333333;-2,055483871;-1,872258065;-2,135714286;-3,308064516;-4,397333333;-4,814516129;-4,688333333;-4,294193548;-3,78;-3,22
-5;-2,971;-2,601;-2,320322581;-2,109354839;-2,138928571;-2,891290323;-3,895;-4,448387097;-4,518666667;-4,283225806;-3,896129032;-3,436666667
