Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;2,051;-2,746;-12,16322581;-18,5783871;-18,96178571;-11,76064516;-6,499333333;-0,978387097;4,185666667;10,80645161;8,86516129;6,813333333
-0,5;1,537;-0,798666667;-8,511935484;-16,25387097;-17,66821429;-11,43129032;-7,185666667;-2,36;0,448666667;6,074516129;6,212903226;5,139333333
-0,75;0,995333333;-0,105666667;-5,273870968;-14,01451613;-16,22607143;-11,13967742;-7,685;-3,270967742;-1,270666667;1,829677419;3,583548387;3,393666667
-1;0,426333333;-0,072666667;-2,93516129;-11,85387097;-14,7025;-10,85741935;-8,012666667;-4,023870968;-2,127333333;-0,647096774;1,005806452;1,608666667
-1,5;-0,754333333;-0,74;-1,313225806;-7,839032258;-11,6175;-10,20225806;-8,276333333;-5,20483871;-3,443;-2,340967742;-1,462580645;-0,938666667
-2;-1,717333333;-1,548;-1,484193548;-4,751935484;-8,7975;-9,270322581;-8,099333333;-5,963548387;-4,408;-3,393548387;-2,595483871;-2,062666667
-2,5;-2,474666667;-2,232666667;-2,069677419;-3,24;-6,536071429;-8,059677419;-7,608333333;-6,289677419;-5,022666667;-4,118387097;-3,398709677;-2,866
-3;-3,073;-2,798666667;-2,597419355;-2,861612903;-4,953214286;-6,791612903;-6,966666667;-6,294516129;-5,356666667;-4,598064516;-3,968064516;-3,468666667
-3,5;-3,539666667;-3,260333333;-3,040967742;-2,985483871;-4,0475;-5,680322581;-6,283;-6,086774194;-5,477333333;-4,885806452;-4,359032258;-3,913333333
-4;-3,895333333;-3,627333333;-3,408064516;-3,258064516;-3,678928571;-4,853548387;-5,635333333;-5,763548387;-5,445666667;-5,024516129;-4,607096774;-4,230333333
-4,5;-4,151;-3,91;-3,702580645;-3,533548387;-3,629285714;-4,340322581;-5,088333333;-5,399032258;-5,313333333;-5,051612903;-4,742903226;-4,440333333
-5;-4,33;-4,121;-3,933225806;-3,769354839;-3,726071429;-4,088387097;-4,677333333;-5,056129032;-5,126333333;-5,002580645;-4,797096774;-4,567333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,182666667;-2,429;-11,15290323;-16,82677419;-17,02464286;-10,63967742;-5,903333333;-1,180322581;1,974333333;6,140967742;5,20516129;3,988333333
-0,5;0,726333333;-0,690333333;-8,262903226;-14,96290323;-15,97607143;-10,44612903;-6,593;-2,322580645;-0,555666667;2,420967742;3,057096774;2,577333333
-0,75;0,259333333;-0,159;-5,797096774;-13,16870968;-14,79142857;-10,27096774;-7,106;-3,177096774;-1,558666667;-0,240967742;0,949354839;1,136333333
-1;-0,251;-0,358333333;-4,031290323;-11,43903226;-13,53821429;-10,09322581;-7,457666667;-3,895483871;-2,282;-1,328064516;-0,556129032;-0,125666667
-1,5;-1,244666667;-1,156333333;-2,278387097;-8,200967742;-10,99142857;-9,632580645;-7,797666667;-5,038709677;-3,483;-2,570645161;-1,877741935;-1,468
-2;-2,070666667;-1,887333333;-1,968387097;-5,56516129;-8,647857143;-8,897096774;-7,733666667;-5,793548387;-4,391333333;-3,506129032;-2,837096774;-2,380666667
-2,5;-2,740666667;-2,506666667;-2,359354839;-3,981935484;-6,736071429;-7,888709677;-7,370666667;-6,146774194;-4,989666667;-4,176129032;-3,550967742;-3,086
-3;-3,280333333;-3,024;-2,828709677;-3,372580645;-5,342142857;-6,808387097;-6,857666667;-6,199677419;-5,329333333;-4,634193548;-4,073225806;-3,63
-3,5;-3,707333333;-3,449333333;-3,240645161;-3,317741935;-4,472857143;-5,842903226;-6,285666667;-6,051290323;-5,472666667;-4,920322581;-4,439354839;-4,039666667
-4;-4,035;-3,789333333;-3,582903226;-3,49;-4,043571429;-5,099354839;-5,732;-5,789677419;-5,469666667;-5,069032258;-4,681612903;-4,338
-4,5;-4,279;-4,055333333;-3,859677419;-3,71516129;-3,914285714;-4,609677419;-5,247;-5,482903226;-5,371;-5,112903226;-4,821612903;-4,540333333
-5;-4,450333333;-4,256333333;-4,079354839;-3,927741935;-3,948928571;-4,342258065;-4,873;-5,184193548;-5,219;-5,08483871;-4,883225806;-4,666666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,064;-1,663;-8,01;-12,76064516;-12,90714286;-7,993225806;-4,586;-0,979354839;1,718;5,319677419;4,643548387;3,540666667
-0,5;0,653666667;-0,372666667;-5,300322581;-11,08064516;-11,93857143;-7,776774194;-5,078333333;-1,912580645;-0,504333333;2,00483871;2,696129032;2,274666667
-0,75;0,233333333;-0,114333333;-3,106451613;-9,442580645;-10,87142857;-7,579032258;-5,403333333;-2,559677419;-1,311333333;-0,28483871;0,795483871;0,983666667
-1;-0,219666667;-0,305;-1,864516129;-7,874193548;-9,750714286;-7,369677419;-5,596333333;-3,07516129;-1,864666667;-1,143548387;-0,520645161;-0,134666667
-1,5;-1,049666667;-0,965333333;-1,178387097;-5,014516129;-7,506428571;-6,84;-5,678;-3,85;-2,737666667;-2,076774194;-1,566129032;-1,239333333
-2;-1,691;-1,539666667;-1,448709677;-3,012580645;-5,508571429;-6,076451613;-5,452;-4,289677419;-3,347666667;-2,731290323;-2,263548387;-1,93
-2,5;-2,167333333;-1,991333333;-1,859677419;-2,260322581;-4,008571429;-5,127096774;-5,016666667;-4,396774194;-3,684666667;-3,152580645;-2,735483871;-2,414
-3;-2,519;-2,337666667;-2,194193548;-2,204193548;-3,098214286;-4,214193548;-4,500666667;-4,275483871;-3,81;-3,393225806;-3,042580645;-2,754666667
-3,5;-2,77;-2,600666667;-2,455806452;-2,363548387;-2,696071429;-3,509354839;-3,988;-4,028064516;-3,789;-3,497096774;-3,221935484;-2,980333333
-4;-2,937666667;-2,786666667;-2,653225806;-2,542258065;-2,609285714;-3,070967742;-3,545333333;-3,73483871;-3,671666667;-3,5;-3,303870968;-3,114666667
