Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07142857;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;2,549666667;-4,723666667;-13,73870968;-19,40129032;-19,52821429;-11,99419355;-6,371333333;1,188709677;7,751666667;13,75548387;10,94774194;8,398666667
-0,5;2,912333333;-3,572;-11,73064516;-17,88774194;-18,73035714;-12,01483871;-7,206;-0,127741935;6,460666667;12,08258065;10,34258065;8,356333333
-0,75;3,206666667;-2,542333333;-9,996129032;-16,44032258;-17,74428571;-12,06612903;-7,827;-1,226451613;5,161333333;10,51258065;9,724516129;8,215666667
-1;3,442;-1,638;-8,454516129;-15,03967742;-16,68321429;-12,09064516;-8,296666667;-2,179354839;3,910333333;9,038387097;9,084516129;7,997666667
-1,5;3,725666667;-0,247333333;-5,918064516;-12,39967742;-14,52535714;-11,93645161;-8,833333333;-3,696451613;1,678333333;6,411290323;7,732580645;7,335
-2;3,788333333;0,682;-3,987419355;-10,00451613;-12,48607143;-11,46096774;-8,977666667;-4,803225806;-0,150333333;4,180645161;6,313548387;6,457333333
-2,5;3,659333333;1,249;-2,55516129;-7,901935484;-10,62714286;-10,71129032;-8,848;-5,567419355;-1,595;2,31483871;4,886774194;5,460666667
-3;3,372666667;1,538333333;-1,52483871;-6,118064516;-8,961071429;-9,781290323;-8,531;-6,036129032;-2,703666667;0,776129032;3,512580645;4,425333333
-3,5;2,964666667;1,615;-0,810967742;-4,656774194;-7,487857143;-8,766451613;-8,085666667;-6,261935484;-3,521;-0,471612903;2,24;3,405333333
-4;2,469333333;1,537;-0,34516129;-3,497096774;-6,205714286;-7,740645161;-7,556333333;-6,29483871;-4,095333333;-1,466774194;1,098387097;2,434333333
-4,5;1,923666667;1,347333333;-0,072903226;-2,607419355;-5,108928571;-6,759032258;-6,978333333;-6,178709677;-4,463;-2,238387097;0,105806452;1,536666667
-5;1,355;1,079666667;0,047741935;-1,952258065;-4,189285714;-5,852580645;-6,378;-5,955806452;-4,667;-2,82;-0,732258065;0,724666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07142857;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,496666667;-4,372;-12,37967742;-17,42580645;-17,52928571;-10,7783871;-5,791;0,423548387;4,839;8,732903226;6,948709677;5,322
-0,5;1,675;-3,486;-10,66967742;-16,13741935;-16,87214286;-10,84580645;-6,572333333;-0,659032258;3,863666667;7,548709677;6,470967742;5,218666667
-0,75;1,806333333;-2,7;-9,204516129;-14,90903226;-16,04285714;-10,93967742;-7,163;-1,58483871;2,887;6,433548387;5,985806452;5,051666667
-1;1,898333333;-2,019666667;-7,909354839;-13,72096774;-15,14785714;-11,00967742;-7,619;-2,401290323;1,944;5,380967742;5,486129032;4,836333333
-1,5;1,961666667;-0,997;-5,798709677;-11,48612903;-13,32428571;-10,96548387;-8,170666667;-3,729677419;0,245;3,48516129;4,445806452;4,263
-2;1,884;-0,351;-4,220645161;-9,462580645;-11,60321429;-10,63064516;-8,373666667;-4,724193548;-1,173666667;1,856774194;3,37;3,555
-2,5;1,684;0,011666667;-3,072258065;-7,693548387;-10,03607143;-10,04645161;-8,333333333;-5,433225806;-2,317333333;0,477419355;2,298387097;2,776666667
-3;1,387;0,159333333;-2,265806452;-6,198387097;-8,635357143;-9,295806452;-8,123666667;-5,893225806;-3,212;-0,67516129;1,271290323;1,982666667
-3,5;1,017666667;0,151;-1,724193548;-4,981935484;-7,401428571;-8,463548387;-7,794666667;-6,143225806;-3,889;-1,622580645;0,318709677;1,203333333
-4;0,597333333;0,032666667;-1,385483871;-4,023548387;-6,328571429;-7,618387097;-7,386666667;-6,223548387;-4,377666667;-2,387741935;-0,533225806;0,468666667
-4,5;0,150333333;-0,164333333;-1,202580645;-3,296129032;-5,415714286;-6,803548387;-6,93;-6,172258065;-4,705666667;-2,988709677;-1,277096774;-0,210333333
-5;-0,302333333;-0,409333333;-1,138064516;-2,766129032;-4,651428571;-6,051935484;-6,451333333;-6,022258065;-4,899333333;-3,449677419;-1,907419355;-0,823333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07142857;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,394333333;-3,295333333;-9,437741935;-13,30290323;-13,38535714;-8,226774194;-4,399;0,527741935;4,366;7,812258065;6,216774194;4,767
-0,5;1,577666667;-2,572333333;-8,102580645;-12,29677419;-12,86428571;-8,262903226;-4,983333333;-0,328709677;3,564333333;6,809032258;5,832258065;4,708666667
-0,75;1,721;-1,925666667;-6,952903226;-11,33451613;-12,21321429;-8,317419355;-5,423333333;-1,05483871;2,758666667;5,864516129;5,440645161;4,594333333
-1;1,829333333;-1,365;-5,935483871;-10,40419355;-11,50928571;-8,353548387;-5,759666667;-1,688709677;1,982333333;4,976774194;5,035483871;4,436333333
-1,5;1,940333333;-0,511666667;-4,27;-8,653870968;-10,07964286;-8,289354839;-6,158;-2,712258065;0,591;3,384516129;4,188064516;3,995333333
-2;1,923666667;0,044;-3,013548387;-7,066774194;-8,728214286;-8,002258065;-6,288333333;-3,469677419;-0,561;2,02483871;3,307096774;3,430333333
-2,5;1,801333333;0,369333333;-2,091290323;-5,675806452;-7,498928571;-7,527096774;-6,231;-4,001935484;-1,481333333;0,879354839;2,423870968;2,802333333
-3;1,588666667;0,518333333;-1,436129032;-4,499677419;-6,395714286;-6,924516129;-6,043666667;-4,339354839;-2,193666667;-0,070967742;1,576451613;2,154666667
-3,5;1,309;0,54;-0,989677419;-3,538387097;-5,423928571;-6,261935484;-5,77;-4,512903226;-2,727666667;-0,848387097;0,791612903;1,518333333
-4;0,983333333;0,465666667;-0,703225806;-2,778709677;-4,578571429;-5,591612903;-5,435;-4,555483871;-3,106666667;-1,47;0,088387097;0,915666667
-4,5;0,629666667;0,325;-0,542580645;-2,198387097;-3,856428571;-4,945806452;-5,066333333;-4,499032258;-3,356;-1,956774194;-0,525806452;0,358666667
-5;0,268;0,141333333;-0,476451613;-1,773870968;-3,251428571;-4,350322581;-4,677666667;-4,367096774;-3,498;-2,325806452;-1,042580645;-0,144666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07142857;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,069666667;-2,262333333;-6,521290323;-9,200322581;-9,26;-5,687419355;-3,032666667;0,45;3,298666667;5,877741935;4,678064516;3,587666667
-0,5;1,217333333;-1,739;-5,584193548;-8,492580645;-8,888928571;-5,705483871;-3,431666667;-0,153870968;2,720666667;5,141935484;4,404516129;3,558
-0,75;1,334;-1,274666667;-4,776774194;-7,817419355;-8,430357143;-5,735806452;-3,73;-0,662580645;2,139666667;4,451612903;4,12516129;3,485333333
-1;1,425666667;-0,868;-4,059677419;-7,164516129;-7,934642857;-5,754193548;-3,957333333;-1,105806452;1,580666667;3,803225806;3,837419355;3,379333333
-1,5;1,529666667;-0,245666667;-2,883225806;-5,933225806;-6,928571429;-5,69483871;-4,221;-1,816129032;0,579666667;2,645483871;3,231290323;3,072666667
-2;1,539;0,166;-1,991612903;-4,816774194;-5,976785714;-5,482258065;-4,299666667;-2,337741935;-0,243;1,657741935;2,596774194;2,674333333
