Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;2,332666667;-3,188;-12,54322581;-18,34322581;-19,22678571;-11,82903226;-6,168;0,184516129;6,018;12,17548387;9,895806452;7,547333333
-0,5;2,172666667;-1,151;-9,324516129;-15,77451613;-18,18821429;-11,67387097;-6,807666667;-1,134193548;3,057;9,063225806;8,208064516;6,712
-0,75;1,964333333;-0,017666667;-6,28483871;-13,27709677;-17,01857143;-11,55387097;-7,321333333;-1,816451613;0,723;6,077096774;6,518709677;5,780666667
-1;1,701333333;0,22;-3,46516129;-10,86903226;-15,77857143;-11,43548387;-7,706666667;-2,403870968;-0,390666667;3,252903226;4,833548387;4,750666667
-1,5;1,047666667;0,207;-0,228064516;-6,358064516;-13,29857143;-11,11129032;-8,171666667;-3,417741935;-1,228333333;-0,181612903;1,525483871;2,487
-2;0,294;0,115;0,063225806;-2,95516129;-11,00321429;-10,60096774;-8,317;-4,227096774;-1,947666667;-0,884193548;-0,271612903;0,262333333
-2,5;-0,224333333;-0,170666667;-0,153225806;-1,913225806;-8,980714286;-9,916129032;-8,238;-4,85;-2,584333333;-1,431290323;-0,735483871;-0,378333333
-3;-0,526333333;-0,427333333;-0,375483871;-1,41516129;-7,271785714;-9,099032258;-7,997;-5,293548387;-3,127666667;-1,922580645;-1,168387097;-0,747
-3,5;-0,821666667;-0,680333333;-0,596129032;-1,164516129;-5,863928571;-8,221290323;-7,658;-5,581612903;-3,580333333;-2,363225806;-1,57;-1,096333333
-4;-1,104333333;-0,925666667;-0,812258065;-1,087419355;-4,745;-7,338387097;-7,252666667;-5,729032258;-3,941333333;-2,745806452;-1,936129032;-1,425
-4,5;-1,375;-1,163666667;-1,023225806;-1,116774194;-3,881785714;-6,496451613;-6,808666667;-5,762258065;-4,215;-3,072903226;-2,26516129;-1,73
-5;-1,63;-1,391666667;-1,227419355;-1,209677419;-3,238571429;-5,72483871;-6,35;-5,702258065;-4,409333333;-3,344193548;-2,555806452;-2,009333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,325666667;-2,829;-11,19903226;-17,00419355;-17,45535714;-10,7016129;-5,659333333;-0,258709677;3,287666667;7,42483871;6,051290323;4,678333333
-0,5;1,170666667;-0,993333333;-8,226129032;-15,30129032;-16,77321429;-10,68064516;-6,308333333;-1,211935484;1,088;4,957419355;4,701290323;3,915333333
-0,75;0,982666667;-0,018;-5,409032258;-13,67387097;-15,96714286;-10,69;-6,833333333;-1,849032258;-0,196666667;2,562258065;3,362258065;3,093666667
-1;0,763666667;0,130666667;-2,816129032;-12,14322581;-15,08428571;-10,69677419;-7,238333333;-2,430645161;-0,688333333;0,630967742;2,040967742;2,221333333
-1,5;0,267666667;0,104333333;-0,179677419;-9,408709677;-13,27107143;-10,61774194;-7,779333333;-3,445483871;-1,466333333;-0,617419355;-0,077741935;0,397333333
-2;-0,207;-0,175;-0,185483871;-7,183870968;-11,53964286;-10,35354839;-8,028333333;-4,268709677;-2,174666667;-1,202258065;-0,621290323;-0,333666667
-2,5;-0,534666667;-0,455;-0,414193548;-5,47;-9,958214286;-9,907096774;-8,072;-4,917419355;-2,810333333;-1,746451613;-1,086774194;-0,728
-3;-0,855666667;-0,731666667;-0,65516129;-4,232903226;-8,557857143;-9,310645161;-7,963666667;-5,394516129;-3,360333333;-2,240322581;-1,52483871;-1,106666667
-3,5;-1,167666667;-1,002666667;-0,895483871;-3,359032258;-7,338571429;-8,630967742;-7,752666667;-5,72516129;-3,828666667;-2,684516129;-1,930967742;-1,465
-4;-1,468;-1,267;-1,130322581;-2,782258065;-6,301785714;-7,913548387;-7,467666667;-5,924193548;-4,206666667;-3,075483871;-2,302903226;-1,802
-4,5;-1,750333333;-1,52;-1,359032258;-2,424516129;-5,434642857;-7,203225806;-7,133666667;-6,010645161;-4,506333333;-3,413870968;-2,640322581;-2,115
-5;-2,018333333;-1,762666667;-1,579677419;-2,228387097;-4,725357143;-6,529354839;-6,770333333;-6,005806452;-4,726666667;-3,699677419;-2,939677419;-2,403666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,176129032;-5,918333333;-16,04;-20,98193548;-20,07107143;-12,04129032;-5,331333333;2,741612903;8,955666667;15,49483871;11,56967742;8,345333333
-0,25;1,308;-1,976333333;-8,294193548;-12,63096774;-13,27214286;-8,146451613;-4,308333333;-0,177419355;2,868666667;6,55516129;5,35516129;4,116666667
