Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54774194;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;2,855;-3,475;-13,87258065;-20,84870968;-19,34464286;-16,39064516;-6,289;-1,396451613;2,217666667;12,82129032;11,08064516;6,503666667
-0,5;2,106333333;-1,187666667;-10,18870968;-18,18741935;-18,13357143;-15,95193548;-7,278333333;-2,419032258;-0,883666667;6,928064516;8,046774194;5,020666667
-0,75;1,357333333;-0,217;-6,817419355;-15,66709677;-16,89964286;-15,37096774;-8,040666667;-3,34;-2,020666667;1,861290323;4,917096774;3,424
-1;0,601666667;-0,058333333;-4,169677419;-13,30645161;-15,62571429;-14,68096774;-8,618333333;-4,170645161;-2,778666667;-0,879354839;1,759354839;1,757666667
-1,5;-0,750666667;-0,744666667;-1,897096774;-9,052258065;-12,99035714;-13,09258065;-9,341333333;-5,589032258;-4,042333333;-2,731612903;-1,523870968;-0,912666667
-2;-1,824333333;-1,645333333;-1,689677419;-5,765806452;-10,35142857;-11,37451613;-9,499333333;-6,596451613;-5,02;-3,901935484;-2,873225806;-2,196666667
-2,5;-2,693666667;-2,421333333;-2,251612903;-3,949354839;-7,981071429;-9,677741935;-9,145;-7,133225806;-5,693333333;-4,713548387;-3,820322581;-3,144333333
-3;-3,397;-3,077;-2,849032258;-3,357096774;-6,144285714;-8,138064516;-8,482;-7,288064516;-6,107666667;-5,259032258;-4,497741935;-3,868
-3,5;-3,958;-3,626666667;-3,369032258;-3,397419355;-4,969285714;-6,850967742;-7,689;-7,167741935;-6,307666667;-5,606129032;-4,971612903;-4,413333333
-4;-4,396;-4,069;-3,808064516;-3,668064516;-4,393571429;-5,87483871;-6,899666667;-6,875483871;-6,340666667;-5,797741935;-5,28516129;-4,811666667
-4,5;-4,725333333;-4,424333333;-4,170322581;-3,979677419;-4,229285714;-5,220645161;-6,206;-6,497419355;-6,249;-5,869354839;-5,473870968;-5,086666667
-5;-4,963666667;-4,698;-4,463870968;-4,265483871;-4,282142857;-4,85483871;-5,661333333;-6,10483871;-6,081;-5,852903226;-5,567096774;-5,265
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54774194;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,587666667;-3,007333333;-12,84741935;-18,8583871;-17,45142857;-14,76903226;-5,750333333;-1,356451613;0,761666667;7,28;6,565806452;3,863
-0,5;0,991666667;-0,995666667;-9,986129032;-16,69;-16,49214286;-14,45967742;-6,712;-2,348709677;-1,236;2,713870968;4,077096774;2,589666667
-0,75;0,394666667;-0,237;-7,439032258;-14,6483871;-15,50071429;-14,01322581;-7,459;-3,238387097;-2,091666667;-0,333548387;1,549032258;1,255333333
-1;-0,205666667;-0,346333333;-5,447096774;-12,74483871;-14,46857143;-13,46451613;-8,033666667;-4,042903226;-2,791666667;-1,543870968;-0,380645161;-0,013
-1,5;-1,294333333;-1,208666667;-3,134516129;-9,307419355;-12,29821429;-12,1816129;-8,785666667;-5,415806452;-3,993;-2,928064516;-2,017419355;-1,524
