Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;3,147;-4,038;-14,25709677;-20,59741935;-19,7275;-16,65516129;-5,977666667;-0,78;3,642333333;14,45290323;12,33516129;7,283
-0,5;2,834333333;-1,671333333;-10,94387097;-17,78096774;-18,81321429;-16,46516129;-6,868;-1,423870968;0,889333333;10,23645161;10,49451613;6,550333333
-0,75;2,490333333;-0,193666667;-7,75516129;-15,12096774;-17,86357143;-16,14741935;-7,626666667;-2,053548387;-0,605333333;6,226774194;8,503548387;5,677666667
-1;2,116;0,242666667;-4,720322581;-12,63451613;-16,88107143;-15,72225806;-8,246333333;-2,658064516;-1,150333333;2,814193548;6,395483871;4,691
-1,5;1,285333333;0,262333333;-0,646129032;-8,160322581;-14,8525;-14,68419355;-9,132;-3,771935484;-1,993666667;-0,468387097;2,068387097;2,530333333
-2;0,387;0,154333333;0,068709677;-4,600967742;-12,8125;-13,50967742;-9,607666667;-4,726451613;-2,746333333;-1,265806452;-0,299032258;0,364666667
-2,5;-0,254333333;-0,187;-0,171612903;-3,097419355;-10,85964286;-12,28774194;-9,758333333;-5,502903226;-3,408;-1,936129032;-0,910645161;-0,437333333
-3;-0,631333333;-0,506333333;-0,448387097;-2,273548387;-9,083928571;-11,07451613;-9,645666667;-6,085483871;-3,971666667;-2,527741935;-1,46516129;-0,898
-3,5;-0,998666667;-0,820666667;-0,721935484;-1,799354839;-7,527142857;-9,909032258;-9,351;-6,494193548;-4,445666667;-3,048709677;-1,975483871;-1,336666667
-4;-1,352333333;-1,127666667;-0,99;-1,580967742;-6,222857143;-8,819354839;-8,924666667;-6,735806452;-4,828;-3,493870968;-2,432903226;-1,749666667
-4,5;-1,690666667;-1,425;-1,251935484;-1,530645161;-5,169285714;-7,824193548;-8,417;-6,837096774;-5,124333333;-3,87;-2,841290323;-2,134
-5;-2,006666667;-1,709333333;-1,506451613;-1,58516129;-4,346428571;-6,932580645;-7,867666667;-6,822258065;-5,338333333;-4,179354839;-3,198064516;-2,483
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54806452;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,910333333;-3,475333333;-12,74193548;-18,96548387;-17,85357143;-15,00451613;-5,417;-0,749032258;1,908333333;8,822258065;7,560322581;4,484666667
-0,5;1,615;-1,347666667;-9,688064516;-17,00548387;-17,23571429;-14,93709677;-6,28;-1,375806452;0,004;5,596451613;6,04483871;3,816
-0,75;1,315;-0,153666667;-6,739354839;-15,18290323;-16,58321429;-14,7516129;-7,024666667;-1,989677419;-0,795666667;2,57;4,444516129;3,063
-1;1,001333333;0,131333333;-3,970645161;-13,51322581;-15,88964286;-14,47;-7,645333333;-2,579677419;-1,239333333;0,506451613;2,788709677;2,247
-1,5;0,344333333;0,114333333;-0,764193548;-10,59258065;-14,40928571;-13,72709677;-8,564666667;-3,673548387;-2,058666667;-0,829354839;0,020645161;0,534
-2;-0,215666667;-0,181;-0,45516129;-8,221935484;-12,85785714;-12,84483871;-9,108666667;-4,621935484;-2,796333333;-1,525483871;-0,700645161;-0,35
-2,5;-0,601666667;-0,510666667;-0,572580645;-6,360967742;-11,31821429;-11,89806452;-9,353;-5,403870968;-3,455;-2,162258065;-1,269354839;-0,817666667
-3;-0,979333333;-0,835666667;-0,788709677;-4,98;-9,858571429;-10,93451613;-9,351333333;-6,008709677;-4,026;-2,731290323;-1,796451613;-1,267666667
-3,5;-1,346666667;-1,155;-1,044193548;-3,987741935;-8,528214286;-9,99;-9,174333333;-6,446774194;-4,512666667;-3,238064516;-2,284516129;-1,695
-4;-1,699666667;-1,465;-1,310645161;-3,318709677;-7,359285714;-9,086774194;-8,867;-6,730967742;-4,914333333;-3,678387097;-2,726129032;-2,096
