Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54741935;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;3,13;-4,975666667;-15,0816129;-21,00387097;-19,34928571;-16,16096774;-5,741666667;-0,860645161;5,218666667;15,99451613;12,82225806;7,42
-0,5;2,823333333;-1,763666667;-10,11709677;-16,14709677;-16,85928571;-15,07709677;-7,154;-2,28483871;0,892333333;9,885806452;10,04612903;6,352333333
-0,75;2,513333333;-0,182333333;-6,429677419;-12,53225806;-14,90464286;-14,11096774;-8,087;-3,36;-1,333333333;5,363548387;7,723548387;5,378333333
-1;2,251333333;0,268;-4,183870968;-10,24258065;-13,49964286;-13,29677419;-8,487666667;-4,016774194;-2,149666667;2,718709677;6,007741935;4,578666667
-1,5;1,575;0,367;-1,039032258;-6,251290323;-10,67678571;-11,49419355;-8,751333333;-5,040645161;-3,243;-0,78;2,639032258;2,816
-2;0,737333333;0,177666667;-0,098387097;-3,181935484;-8,011785714;-9,641290323;-8,454666667;-5,656451613;-3,973333333;-2,263225806;-0,137741935;1,001
-2,5;-0,176666667;-0,193666667;-0,295483871;-1,518387097;-5,709285714;-7,881612903;-7,812333333;-5,921612903;-4,454;-3,12483871;-1,578709677;-0,560333333
-3;-0,979666667;-0,781333333;-0,728387097;-1,068387097;-3,931428571;-6,302580645;-6,980666667;-5,907741935;-4,730666667;-3,689032258;-2,454193548;-1,497333333
-3,5;-1,614666667;-1,312666667;-1,157419355;-1,164516129;-2,767857143;-4,973225806;-6,087;-5,688064516;-4,842666667;-4,035806452;-3,056129032;-2,185333333
-4;-2,123666667;-1,765;-1,542903226;-1,42516129;-2,161785714;-3,937741935;-5,231666667;-5,340967742;-4,827;-4,224193548;-3,460967742;-2,699
-4,5;-2,523666667;-2,140666667;-1,876774194;-1,701612903;-1,953571429;-3,207096774;-4,486333333;-4,939677419;-4,718666667;-4,298064516;-3,719354839;-3,073
-5;-2,821333333;-2,440666667;-2,15483871;-1,949677419;-1,963214286;-2,757419355;-3,899333333;-4,539354839;-4,551;-4,288064516;-3,857419355;-3,326333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54741935;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,742666667;-4,367333333;-13,59129032;-18,99806452;-17,43964286;-14,6283871;-5,234;-0,852580645;3,041333333;9,981935484;7,98516129;4,626333333
-0,5;1,424333333;-1,589666667;-9,171935484;-15,01193548;-15,54071429;-13,89806452;-6,693666667;-2,287096774;-0,213333333;5,374516129;5,684516129;3,585333333
-0,75;1,084666667;-0,327666667;-5,867096774;-12,06612903;-14,055;-13,19645161;-7,682333333;-3,373225806;-1,709666667;2,017741935;3,842903226;2,706333333
-1;0,836666667;-0,013333333;-3,904516129;-10,22612903;-12,97357143;-12,58064516;-8,142;-4,045806452;-2,382666667;0,284516129;2,558064516;2,048666667
-1,5;0,271666667;-0,027666667;-1,369354839;-7,100967742;-10,75964286;-11,18483871;-8,561666667;-5,116774194;-3,437666667;-1,729677419;0,117096774;0,657333333
-2;-0,419666667;-0,445333333;-0,799354839;-4,756774194;-8,630714286;-9,720967742;-8,458;-5,809354839;-4,200333333;-2,808709677;-1,381612903;-0,63
-2,5;-1,156333333;-1,015666667;-1,015806452;-3,222258065;-6,7525;-8,310322581;-8,024;-6,172903226;-4,737;-3,572580645;-2,359677419;-1,548333333
-3;-1,798333333;-1,550666667;-1,422580645;-2,443225806;-5,231071429;-7,017096774;-7,398666667;-6,269677419;-5,083;-4,112258065;-3,088387097;-2,284
-3,5;-2,348;-2,030333333;-1,830645161;-2,200645161;-4,131428571;-5,901612903;-6,690333333;-6,164516129;-5,269333333;-4,47516129;-3,622258065;-2,871333333
-4;-2,802;-2,447333333;-2,200967742;-2,241935484;-3,429642857;-4,991935484;-5,99;-5,927419355;-5,327;-4,699354839;-4,002580645;-3,330333333
-4,5;-3,169333333;-2,798333333;-2,523225806;-2,408709677;-3,048928571;-4,308064516;-5,357333333;-5,619354839;-5,289666667;-4,816451613;-4,258064516;-3,676333333
-5;-3,451666667;-3,082;-2,79516129;-2,609032258;-2,898928571;-3,840645161;-4,833333333;-5,293870968;-5,183333333;-4,850322581;-4,412580645;-3,92
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54741935;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,596;-3,209;-10,19741935;-14,35935484;-13,24178571;-11,09870968;-3,964333333;-0,637096774;2,681333333;8,918709677;7,102903226;4,105
-0,5;1,300333333;-0,960666667;-6,525806452;-10,94806452;-11,55464286;-10,37354839;-4,996333333;-1,705806452;-0,122333333;4,816451613;5,074516129;3,205666667
-0,75;1,014333333;-0,086333333;-3,808064516;-8,403225806;-10,22928571;-9,711290323;-5,684;-2,511935484;-1,308;1,835806452;3,461612903;2,449333333
-1;0,799;0,06;-2,223870968;-6,816129032;-9,270714286;-9,154193548;-5,978;-3,002258065;-1,802666667;0,322580645;2,338387097;1,882
-1,5;0,309333333;0,004333333;-0,448709677;-4,161290323;-7,344285714;-7,923870968;-6,171333333;-3,753548387;-2,548333333;-1,341935484;0,188709677;0,672333333
-2;-0,271333333;-0,291333333;-0,360322581;-2,337741935;-5,547142857;-6,666129032;-5,961666667;-4,192580645;-3,061666667;-2,113870968;-1,063225806;-0,452333333
-2,5;-0,862333333;-0,743666667;-0,703225806;-1,463548387;-4,041428571;-5,482580645;-5,511333333;-4,367096774;-3,398;-2,621935484;-1,781612903;-1,173666667
-3;-1,349;-1,156333333;-1,047741935;-1,246129032;-2,934285714;-4,439032258;-4,938333333;-4,336774194;-3,587333333;-2,956451613;-2,28;-1,712333333
-3,5;-1,747;-1,511;-1,357741935;-1,336451613;-2,249642857;-3,588709677;-4,331666667;-4,162580645;-3,654666667;-3,160967742;-2,621290323;-2,117333333
-4;-2,058666667;-1,806666667;-1,625806452;-1,519354839;-1,9225;-2,95;-3,767333333;-3,909354839;-3,63;-3,268064516;-2,846129032;-2,417333333
-4,5;-2,298333333;-2,045333333;-1,850967742;-1,709032258;-1,828214286;-2,517741935;-3,290333333;-3,627419355;-3,543666667;-3,303548387;-2,982258065;-2,627
-5;-2,471333333;-2,228666667;-2,03;-1,873870968;-1,854285714;-2,268709677;-2,929;-3,361290323;-3,421666667;-3,28483871;-3,049677419;-2,762666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,048;-6,919333333;-17,72258065;-23,54741935;-20,60607143;-16,67870968;-4,949;-0,124516129;7,81;18,91677419;14,00258065;7,841666667
-0,25;1,17;-1,985333333;-6,957741935;-9,766774194;-9,0325;-7,607096774;-2,719333333;-0,438064516;1,886;6,566129032;5,292580645;3,050333333
-0,5;0,919333333;-0,362333333;-4,143225806;-7,127419355;-7,651428571;-6,960645161;-3,383;-1,172258065;-0,223;3,286774194;3,638709677;2,305
-0,75;0,679333333;0,040333333;-2,051935484;-5,159677419;-6,575;-6,394516129;-3,818;-1,723870968;-0,97;0,981290323;2,337096774;1,688
-1;0,505333333;0,05;-0,976774194;-3,93483871;-5,805357143;-5,930322581;-3,979333333;-2,049354839;-1,292666667;-0,080322581;1,451290323;1,235
-1,5;0,117666667;-0,036333333;-0,143870968;-1,940967742;-4,288928571;-4,931935484;-4,007666667;-2,512903226;-1,759;-1,091935484;-0,166451613;0,28
-2;-0,344;-0,32;-0,329354839;-0,91;-2,952142857;-3,954193548;-3,748;-2,733870968;-2,052;-1,53516129;-0,930645161;-0,512666667
-2,5;-0,752333333;-0,647666667;-0,597096774;-0,700645161;-1,946071429;-3,078064516;-3,335666667;-2,763870968;-2,215333333;-1,801290323;-1,352903226;-0,978
-3;-1,066666667;-0,927333333;-0,840322581;-0,807096774;-1,361071429;-2,360322581;-2,866333333;-2,657419355;-2,274;-1,955806452;-1,618387097;-1,3
-3,5;-1,303333333;-1,153666667;-1,046774194;-0,973548387;-1,148571429;-1,841612903;-2,413333333;-2,465806452;-2,253666667;-2,026129032;-1,778387097;-1,52
