Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67677419;-19,83354839;-19,63428571;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;2,258666667;-5,009;-12,75580645;-18,38258065;-18,96214286;-12,07903226;-8,420666667;-1,792258065;4,021333333;11,12677419;11,26322581;6,065333333
-0,5;2,450333333;-3,954666667;-11,0316129;-16,95225806;-18,10035714;-12,12903226;-8,857;-2,914516129;2,832333333;9,508387097;10,40580645;6,152
-0,75;2,577;-3,014666667;-9,531935484;-15,57967742;-17,11357143;-12,18354839;-9,156;-3,847096774;1,728333333;7,988387097;9,531612903;6,118666667
-1;2,656666667;-2,185;-8,197419355;-14,26548387;-16,09071429;-12,1916129;-9,361666667;-4,634193548;0,705666667;6,554516129;8,645483871;6,004
-1,5;2,678333333;-0,901666667;-6,019032258;-11,83258065;-14,07714286;-11,97709677;-9,536333333;-5,811935484;-1,052666667;4,009677419;6,868709677;5,538666667
-2;2,561;-0,069;-4,368064516;-9,676129032;-12,20928571;-11,46516129;-9,480333333;-6,576129032;-2,462333333;1,899032258;5,127741935;4,833
-2,5;2,328;0,398;-3,142580645;-7,817419355;-10,51357143;-10,72677419;-9,252666667;-7,028387097;-3,560333333;0,189032258;3,484193548;3,970666667
-3;1,994666667;0,590333333;-2,260967742;-6,26483871;-8,999285714;-9,849677419;-8,894666667;-7,236129032;-4,392333333;-1,17516129;1,986774194;3,026666667
-3,5;1,575666667;0,584333333;-1,653548387;-5,007096774;-7,667857143;-8,913870968;-8,443666667;-7,259032258;-4,989;-2,247741935;0,668064516;2,063333333
-4;1,096;0,439;-1,268387097;-4,020645161;-6,5175;-7,981612903;-7,931333333;-7,141290323;-5,383666667;-3,078709677;-0,461612903;1,127666667
-4,5;0,575666667;0,201333333;-1,056129032;-3,272258065;-5,541071429;-7,095806452;-7,384333333;-6,925483871;-5,610666667;-3,701935484;-1,40516129;0,252
-5;0,041333333;-0,096;-0,979032258;-2,726774194;-4,7325;-6,283548387;-6,828666667;-6,640967742;-5,701666667;-4,153870968;-2,175483871;-0,545
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67677419;-19,83354839;-19,63428571;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,292333333;-4,609;-11,48516129;-16,50193548;-17,01107143;-10,84677419;-7,569;-1,836774194;2,417666667;7,035806452;7,145806452;3,818333333
-0,5;1,365;-3,791666667;-10,01580645;-15,27645161;-16,285;-10,93096774;-7,992;-2,81516129;1,489666667;5,879677419;6,501612903;3,795666667
-0,75;1,388666667;-3,068;-8,742903226;-14,10387097;-15,44642857;-11,01741935;-8,295;-3,643225806;0,619;4,787096774;5,845806452;3,694
-1;1,379666667;-2,436666667;-7,620645161;-12,97967742;-14,57571429;-11,06225806;-8,513333333;-4,351935484;-0,192;3,752580645;5,18483871;3,543666667
-1,5;1,270666667;-1,48;-5,803225806;-10,90677419;-12,86214286;-10,94645161;-8,736666667;-5,430967742;-1,613333333;1,895483871;3,864193548;3,089
-2;1,073666667;-0,883;-4,447419355;-9,074193548;-11,27178571;-10,56225806;-8,750666667;-6,15516129;-2,777333333;0,334516129;2,574516129;2,488
-2,5;0,803666667;-0,577333333;-3,459354839;-7,501935484;-9,833571429;-9,970322581;-8,609666667;-6,603225806;-3,706666667;-0,952258065;1,356129032;1,791333333
-3;0,473333333;-0,485333333;-2,762903226;-6,195806452;-8,552857143;-9,250322581;-8,35;-6,838709677;-4,423333333;-1,998709677;0,244516129;1,052
-3,5;0,094666667;-0,543666667;-2,298064516;-5,142258065;-7,428571429;-8,475806452;-8,003;-6,907741935;-4,950666667;-2,837096774;-0,738387097;0,307333333
-4;-0,319333333;-0,705;-2,013870968;-4,322903226;-6,4575;-7,697741935;-7,598666667;-6,850645161;-5,314666667;-3,495806452;-1,585806452;-0,409333333
-4,5;-0,749666667;-0,931;-1,870645161;-3,707096774;-5,639642857;-6,956774194;-7,157666667;-6,703548387;-5,536;-4,000967742;-2,300322581;-1,077
-5;-1,182333333;-1,195666667;-1,833548387;-3,262258065;-4,961071429;-6,277419355;-6,704333333;-6,491935484;-5,642333333;-4,372903226;-2,887096774;-1,68
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67677419;-19,83354839;-19,63428571;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,219666667;-3,483;-8,758709677;-12,60064516;-12,99357143;-8,280645161;-5,776;-1,329354839;2,223666667;6,307419355;6,394193548;3,431
-0,5;1,308333333;-2,817333333;-7,611935484;-11,64483871;-12,4225;-8,332258065;-6,089;-2,08483871;1,472333333;5,330967742;5,864193548;3,446666667
-0,75;1,356333333;-2,226;-6,61483871;-10,73032258;-11,76714286;-8,385483871;-6,307666667;-2,719354839;0,771;4,410967742;5,323548387;3,391666667
-1;1,375333333;-1,706333333;-5,732903226;-9,852903226;-11,08607143;-8,405806452;-6,463;-3,258709677;0,118666667;3,542903226;4,778064516;3,292
-1,5;1,334333333;-0,912666667;-4,299677419;-8,233548387;-9,745357143;-8,291612903;-6,61;-4,073870968;-1,016;1,990967742;3,683225806;2,960333333
-2;1,214666667;-0,408333333;-3,221935484;-6,799677419;-8,502142857;-7,972258065;-6,6;-4,613548387;-1,933333333;0,696129032;2,614516129;2,492333333
-2,5;1,03;-0,136;-2,431290323;-5,566129032;-7,376428571;-7,496774194;-6,469333333;-4,939677419;-2,659;-0,363225806;1,604193548;1,937666667
-3;0,788333333;-0,038666667;-1,867741935;-4,539032258;-6,370357143;-6,923870968;-6,249666667;-5,103225806;-3,214666667;-1,216129032;0,682580645;1,340333333
-3,5;0,502333333;-0,065;-1,484516129;-3,709032258;-5,487857143;-6,310322581;-5,966;-5,138387097;-3,618;-1,894193548;-0,128387097;0,736
-4;0,182666667;-0,176;-1,246129032;-3,060967742;-4,725357143;-5,695806452;-5,636333333;-5,078387097;-3,891;-2,422580645;-0,826774194;0,152666667
-4,5;-0,155;-0,342666667;-1,120645161;-2,570645161;-4,08;-5,110322581;-5,282;-4,948387097;-4,053;-2,824193548;-1,411935484;-0,394
-5;-0,498333333;-0,545;-1,080645161;-2,216129032;-3,545357143;-4,572903226;-4,919;-4,770645161;-4,123666667;-3,117419355;-1,890967742;-0,888666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67677419;-19,83354839;-19,63428571;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,940666667;-2,393666667;-6,052258065;-8,716129032;-8,988214286;-5,727096774;-3,992333333;-0,889677419;1,695666667;4,749677419;4,810967742;2,585666667
-0,5;1,017;-1,915;-5,247741935;-8,046774194;-8,586785714;-5,755806452;-4,205333333;-1,414516129;1,157666667;4,037419355;4,43;2,611666667
-0,75;1,062333333;-1,489;-4,547419355;-7,404516129;-8,125357143;-5,786451613;-4,350666667;-1,853870968;0,657333333;3,366774194;4,039677419;2,585333333
-1;1,087;-1,114;-3,927419355;-6,789032258;-7,646785714;-5,795483871;-4,451;-2,226129032;0,193333333;2,733870968;3,645483871;2,524333333
-1,5;1,077666667;-0,537666667;-2,915806452;-5,651935484;-6,705714286;-5,704193548;-4,543333333;-2,783548387;-0,609;1,607096774;2,855806452;2,3
-2;1,009666667;-0,165333333;-2,150967742;-4,643870968;-5,8325;-5,471612903;-4,526;-3,148709677;-1,254666667;0,668709677;2,082580645;1,975
-2,5;0,891;0,039;-1,586774194;-3,775806452;-5,038571429;-5,130322581;-4,424333333;-3,367741935;-1,761666667;-0,093225806;1,353225806;1,582666667
-3;0,730333333;0,119333333;-1,181935484;-3,052258065;-4,331071429;-4,723870968;-4,263;-3,472580645;-2,147;-0,704516129;0,687741935;1,158333333
-3,5;0,535;0,110333333;-0,905483871;-2,465806452;-3,709285714;-4,288064516;-4,056333333;-3,487419355;-2,425;-1,188064516;0,100967742;0,727666667
-4;0,314666667;0,039333333;-0,730322581;-2,006451613;-3,171071429;-3,851612903;-3,818333333;-3,437096774;-2,611333333;-1,562580645;-0,400645161;0,308666667
-4,5;0,078333333;-0,071333333;-0,634516129;-1,658064516;-2,714285714;-3,437096774;-3,565;-3,338709677;-2,718;-1,84483871;-0,820645161;-0,081666667
-5;-0,163;-0,209666667;-0,599354839;-1,403870968;-2,336428571;-3,058064516;-3,304666667;-3,208387097;-2,761666667;-2,049032258;-1,163225806;-0,435666667
