Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,973;-3,420333333;-11,63096774;-17,83354839;-18,8925;-11,99419355;-8,304666667;-2,020645161;2,315666667;9,49;10,07741935;5,284333333
-0,5;1,765;-1,363333333;-8,72483871;-15,85935484;-18,00035714;-11,94935484;-8,657;-2,902258065;0,281;6,161290323;7,986451613;4,605333333
-0,75;1,507333333;-0,152333333;-5,946451613;-13,95612903;-17,01392857;-11,92290323;-8,917;-3,642580645;-0,634;2,992258065;5,904516129;3,824
-1;1,211;0,179666667;-3,342903226;-12,15548387;-15,9825;-11,87774194;-9,092333333;-4,293870968;-1,139;0,738064516;3,85;2,957666667
-1,5;0,553;0,166666667;-0,228709677;-8,922258065;-13,93892857;-11,65387097;-9,262;-5,344193548;-2,067;-0,789354839;0,280322581;1,081333333
-2;-0,104666667;-0,08;-0,084193548;-6,488064516;-12,03214286;-11,22322581;-9,246333333;-6,091935484;-2,900666667;-1,504516129;-0,639354839;-0,232
-2,5;-0,490333333;-0,407333333;-0,367419355;-4,864516129;-10,30928571;-10,62032258;-9,095333333;-6,597419355;-3,631666667;-2,151935484;-1,211290323;-0,704666667
-3;-0,865;-0,726;-0,645483871;-3,741290323;-8,7975;-9,895483871;-8,838333333;-6,896451613;-4,244333333;-2,730967742;-1,740322581;-1,16
-3,5;-1,229333333;-1,038333333;-0,919677419;-2,982903226;-7,49;-9,107741935;-8,506;-7,041935484;-4,744;-3,241290323;-2,225806452;-1,590333333
-4;-1,579333333;-1,342333333;-1,188064516;-2,517419355;-6,388571429;-8,307419355;-8,120666667;-7,064193548;-5,128333333;-3,68;-2,663870968;-1,992
-4,5;-1,909;-1,635666667;-1,45;-2,260322581;-5,483928571;-7,531935484;-7,701666667;-6,990645161;-5,409333333;-4,050967742;-3,053548387;-2,363666667
-5;-2,220333333;-1,915333333;-1,702580645;-2,152903226;-4,756785714;-6,808064516;-7,266;-6,848709677;-5,596333333;-4,35483871;-3,395483871;-2,700333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,182333333;-2,949;-10,49903226;-16,42064516;-17,02678571;-10,79967742;-7,477333333;-1,953548387;1,193666667;5,523548387;6,131935484;3,244333333
-0,5;0,99;-1,084666667;-7,988387097;-15,11322581;-16,35;-10,82806452;-7,840333333;-2,731935484;-0,17;2,941612903;4,479354839;2,633666667
-0,75;0,769;-0,083;-5,626774194;-13,84903226;-15,58857143;-10,87322581;-8,120333333;-3,416774194;-0,765;0,800645161;2,84;1,957666667
-1;0,529333333;0,111666667;-3,490967742;-12,64354839;-14,78035714;-10,89806452;-8,323333333;-4,024516129;-1,233666667;-0,270645161;1,251612903;1,240333333
-1,5;-0,009333333;-0,019666667;-1,592258065;-10,43032258;-13,16321429;-10,82354839;-8,563666667;-5,018709677;-2,111666667;-1,016129032;-0,369032258;-0,063333333
-2;-0,406333333;-0,350333333;-1,182903226;-8,511290323;-11,63642857;-10,55483871;-8,634;-5,74483871;-2,901;-1,675483871;-0,932580645;-0,558333333
-2,5;-0,777;-0,668666667;-1,05483871;-6,900967742;-10,23821429;-10,12;-8,577666667;-6,25516129;-3,595;-2,280322581;-1,463870968;-1,003
-3;-1,139;-0,982333333;-1,108064516;-5,616451613;-8,988571429;-9,558387097;-8,42;-6,580645161;-4,181666667;-2,825483871;-1,956451613;-1,430333333
-3,5;-1,489;-1,288333333;-1,261612903;-4,62483871;-7,882857143;-8,926129032;-8,186666667;-6,765483871;-4,666333333;-3,308709677;-2,410967742;-1,835333333
-4;-1,823333333;-1,585333333;-1,469677419;-3,900645161;-6,925357143;-8,265806452;-7,898333333;-6,834516129;-5,05;-3,730322581;-2,822903226;-2,214666667
-4,5;-2,141333333;-1,870333333;-1,700322581;-3,398387097;-6,111071429;-7,613870968;-7,568666667;-6,812580645;-5,334666667;-4,087741935;-3,192903226;-2,565666667
-5;-2,44;-2,143;-1,936129032;-3,074516129;-5,430714286;-6,991290323;-7,216333333;-6,72483871;-5,535666667;-4,387419355;-3,517741935;-2,886333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,096666667;-2,076666667;-7,640645161;-12,35806452;-12,97107143;-8,231935484;-5,700666667;-1,44516129;0,987333333;4,873870968;5,397741935;2,879
-0,5;0,906333333;-0,596;-5,37516129;-11,16806452;-12,405;-8,226129032;-5,957333333;-2,033225806;-0,141666667;2,506129032;3,888709677;2,317333333
-0,75;0,694333333;0,045;-3,210967742;-10,02612903;-11,775;-8,23516129;-6,153666667;-2,550322581;-0,576666667;0,603225806;2,391612903;1,699333333
-1;0,465666667;0,110666667;-1,418709677;-8,953225806;-11,11214286;-8,227096774;-6,291333333;-3,006451613;-0,915;-0,236774194;0,952258065;1,047333333
-1,5;-0,023666667;-0,017666667;-0,246129032;-7,039354839;-9,791785714;-8,121935484;-6,440666667;-3,748709677;-1,551666667;-0,767741935;-0,305806452;-0,077
-2;-0,316;-0,265333333;-0,314516129;-5,473548387;-8,552857143;-7,869677419;-6,463333333;-4,281935484;-2,126333333;-1,242258065;-0,707741935;-0,431333333
-2,5;-0,582;-0,495;-0,465483871;-4,248387097;-7,426785714;-7,497741935;-6,389666667;-4,649354839;-2,633666667;-1,678387097;-1,087419355;-0,75
-3;-0,842;-0,720666667;-0,648709677;-3,349354839;-6,431428571;-7,033870968;-6,241666667;-4,875806452;-3,061333333;-2,069032258;-1,440322581;-1,056
-3,5;-1,091666667;-0,940666667;-0,839032258;-2,711612903;-5,561428571;-6,523225806;-6,038666667;-4,996774194;-3,414666667;-2,417419355;-1,765483871;-1,346
-4;-1,331333333;-1,153;-1,028709677;-2,289677419;-4,819285714;-5,997419355;-5,796666667;-5,029677419;-3,691;-2,718387097;-2,059677419;-1,616666667
-4,5;-1,557333333;-1,357333333;-1,213225806;-2,029032258;-4,198571429;-5,482903226;-5,527666667;-4,997419355;-3,894666667;-2,973870968;-2,321290323;-1,866333333
-5;-1,769;-1,551;-1,390967742;-1,886774194;-3,693571429;-4,998709677;-5,245;-4,91483871;-4,034;-3,186451613;-2,552903226;-2,094666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83322581;-19,63392857;-12,10419355;-7,852666667;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;0,862333333;-1,221;-5,06;-8,358709677;-8,947142857;-5,682580645;-3,935333333;-0,963548387;0,734;3,497419355;3,953548387;2,085666667
-0,5;0,683333333;-0,192666667;-3,226451613;-7,339677419;-8,523928571;-5,661935484;-4,102333333;-1,380645161;-0,118;1,577096774;2,706774194;1,601
-0,75;0,493666667;0,091;-1,464193548;-6,365483871;-8,054285714;-5,651612903;-4,226666667;-1,732903226;-0,394666667;0,180645161;1,465483871;1,079333333
-1;0,293666667;0,103333333;-0,327419355;-5,458064516;-7,565357143;-5,631290323;-4,314;-2,041612903;-0,616333333;-0,22516129;0,330645161;0,537666667
-1,5;-0,086;-0,068;-0,06;-3,95516129;-6,596071429;-5,527096774;-4,396333333;-2,541290323;-1,038333333;-0,552580645;-0,270322581;-0,137666667
-2;-0,264666667;-0,224333333;-0,199032258;-2,967096774;-5,693571429;-5,327741935;-4,392;-2,899354839;-1,419333333;-0,858709677;-0,524193548;-0,349333333
-2,5;-0,436666667;-0,372666667;-0,330645161;-2,251290323;-4,881428571;-5,045483871;-4,324666667;-3,140967742;-1,756666667;-1,139354839;-0,767096774;-0,553666667
-3;-0,603;-0,518;-0,46;-1,763225806;-4,170714286;-4,704516129;-4,206333333;-3,285483871;-2,042666667;-1,390967742;-0,992580645;-0,748666667
-3,5;-0,762666667;-0,659666667;-0,586451613;-1,440322581;-3,5575;-4,335806452;-4,052333333;-3,357419355;-2,277;-1,615806452;-1,197419355;-0,931666667
-4;-0,916;-0,795666667;-0,709677419;-1,246129032;-3,045357143;-3,960967742;-3,872666667;-3,370645161;-2,458666667;-1,811935484;-1,387096774;-1,103
-4,5;-1,059333333;-0,925666667;-0,828387097;-1,145483871;-2,625357143;-3,597741935;-3,677;-3,338387097;-2,590666667;-1,976451613;-1,552258065;-1,261
-5;-1,194333333;-1,049666667;-0,942258065;-1,106451613;-2,289285714;-3,259677419;-3,474666667;-3,273548387;-2,68;-2,113225806;-1,7;-1,405666667
