Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83290323;-19,63285714;-12,10419355;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,978;-4,349333333;-12,38;-17,9016129;-18,40857143;-11,81967742;-8,074;-1,712258065;3,281666667;10,56419355;10,62387097;5,419666667
-0,5;1,69;-1,566333333;-8,097419355;-14,12548387;-15,96464286;-11,30032258;-8,448666667;-3,516451613;0,056666667;5,692258065;7,427419355;4,438333333
-0,75;1,378;-0,224666667;-4,971612903;-11,24806452;-13,97821429;-10,9083871;-8,63;-4,679032258;-1,503;2,230967742;4,982580645;3,565
-1;1,126333333;0,107;-3,120645161;-9,389677419;-12,56107143;-10,58225806;-8,622333333;-5,289354839;-2,248;0,452903226;3,392580645;2,862333333
-1,5;0,534666667;0,092333333;-0,748387097;-6,14483871;-9,889285714;-9,710967742;-8,360666667;-6,052903226;-3,419;-1,648064516;0,515483871;1,306666667
-2;-0,132;-0,206;-0,377096774;-3,732258065;-7,583928571;-8,588387097;-7,863333333;-6,343870968;-4,230333333;-2,715806452;-1,225483871;-0,24
-2,5;-0,885666667;-0,774666667;-0,753548387;-2,330322581;-5,7;-7,361290323;-7,226666667;-6,330967742;-4,749666667;-3,454516129;-2,215806452;-1,289
-3;-1,544666667;-1,312333333;-1,191612903;-1,784193548;-4,271785714;-6,162580645;-6,526666667;-6,122258065;-5,031333333;-3,961935484;-2,925806452;-2,061666667
-3,5;-2,099;-1,788333333;-1,597419355;-1,725483871;-3,309285714;-5,104193548;-5,822;-5,794193548;-5,123666667;-4,28483871;-3,431935484;-2,655333333
-4;-2,553666667;-2,199333333;-1,96;-1,884193548;-2,753928571;-4,253225806;-5,162333333;-5,411612903;-5,080333333;-4,466451613;-3,780322581;-3,104333333
-4,5;-2,912333333;-2,541;-2,273225806;-2,107419355;-2,503928571;-3,631612903;-4,586666667;-5,020967742;-4,949666667;-4,537419355;-4,003225806;-3,43
-5;-3,183;-2,816;-2,534516129;-2,33;-2,449642857;-3,230967742;-4,127333333;-4,659677419;-4,768666667;-4,528387097;-4,12516129;-3,652
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,930645161;-6,133333333;-14,67612903;-19,83290323;-19,63285714;-12,10419355;-7,852333333;-0,51;5,28;12,85322581;12,09709677;5,815
-0,25;1,106666667;-3,874;-11,22032258;-16,10774194;-16,6175;-10,63935484;-7,256333333;-1,750322581;2,016;6,472903226;6,639032258;3,366666667
-0,5;0,818;-1,374666667;-7,554516129;-13,07580645;-14,61928571;-10,32903226;-7,708;-3,367741935;-0,492333333;2,770645161;4,123225806;2,422333333
-0,75;0,52;-0,287;-4,88483871;-10,81354839;-12,995;-10,1083871;-7,981;-4,470967742;-1,698;0,31;2,234193548;1,631
-1;0,300333333;-0,057333333;-3,368387097;-9,35;-11,835;-9,899677419;-8,047333333;-5,062903226;-2,385666667;-0,779032258;1,040967742;1,050333333
-1,5;-0,206;-0,290333333;-1,603548387;-6,780967742;-9,643928571;-9,277741935;-7,945666667;-5,837096774;-3,494333333;-2,094193548;-0,823225806;-0,156
-2;-0,894;-0,834666667;-1,199677419;-4,808064516;-7,749285714;-8,408387097;-7,615666667;-6,185483871;-4,282;-2,991935484;-1,883870968;-1,15
-2,5;-1,534333333;-1,362333333;-1,363870968;-3,486774194;-6,184642857;-7,420967742;-7,146333333;-6,254193548;-4,806333333;-3,658387097;-2,677419355;-1,933333333
-3;-2,102;-1,846333333;-1,707419355;-2,769677419;-4,960357143;-6,432580645;-6,603666667;-6,141290323;-5,113333333;-4,138387097;-3,278709677;-2,569333333
