Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,934516129;-4,642333333;-13,20096774;-17,78483871;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;2,958709677;-2,047333333;-9,398064516;-14,96774194;-15,25714286;-8,649032258;-4,578666667;0,987419355;5,399333333;11,70548387;11,29290323;6,856
-0,5;2,398387097;-0,493333333;-5,898064516;-12,31322581;-13,7;-8,457096774;-5,065666667;-1,198387097;1,643;7,394516129;8,423548387;5,492
-0,75;1,771290323;-0,045;-2,892580645;-9,759677419;-12,08428571;-8,193870968;-5,380333333;-2,074516129;-0,598;3,288387097;5,555483871;4,033666667
-1;1,095806452;-0,01;-0,953548387;-7,312580645;-10,45071429;-7,867096774;-5,546666667;-2,667419355;-1,379;0,217096774;2,716774194;2,493666667
-1,5;-0,291935484;-0,345;-0,39483871;-3,173225806;-7,258571429;-7,013225806;-5,537333333;-3,497096774;-2,322;-1,604516129;-0,88483871;-0,35
-2;-1,153225806;-1,024333333;-0,951935484;-1,482903226;-4,511428571;-5,853870968;-5,171;-3,921612903;-2,941666667;-2,323548387;-1,807741935;-1,404
-2,5;-1,715483871;-1,541666667;-1,420967742;-1,393870968;-2,710714286;-4,52;-4,577333333;-3,969032258;-3,256666667;-2,737741935;-2,317096774;-1,972
-3;-2,092258065;-1,912333333;-1,778709677;-1,678709677;-2,009642857;-3,358709677;-3,909;-3,767096774;-3,34;-2,948387097;-2,611612903;-2,326666667
-3,5;-2,342580645;-2,175666667;-2,041612903;-1,932580645;-1,943214286;-2,616129032;-3,287333333;-3,440322581;-3,265333333;-3,011935484;-2,76516129;-2,54
-4;-2,494516129;-2,352;-2,230322581;-2,12516129;-2,060357143;-2,292580645;-2,806666667;-3,090645161;-3,099;-2,97483871;-2,813870968;-2,65
-4,5;-2,573548387;-2,460333333;-2,357096774;-2,262903226;-2,188214286;-2,22483871;-2,508;-2,787741935;-2,899666667;-2,876129032;-2,792580645;-2,686
-5;-2,597096774;-2,513666667;-2,431612903;-2,352903226;-2,284642857;-2,255483871;-2,369333333;-2,570322581;-2,71;-2,75;-2,727741935;-2,67
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,934516129;-4,642333333;-13,20096774;-17,78483871;-16,72607143;-8,554193548;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,744193548;-1,901666667;-8,550322581;-13,94483871;-13,87392857;-7,866129032;-4,316;-0,070322581;2,513;6,747741935;6,715806452;4,061
-0,5;1,220322581;-0,480333333;-5,506129032;-11,9783871;-12,70892857;-7,817096774;-4,813;-1,514193548;-0,078666667;3,216774194;4,352580645;2,885333333
-0,75;0,660967742;-0,085;-2,952580645;-10,05516129;-11,49107143;-7,723225806;-5,163333333;-2,272258065;-1,081666667;0,341935484;1,99483871;1,665333333
-1;0,091612903;-0,153666667;-1,437419355;-8,208387097;-10,23714286;-7,571935484;-5,387333333;-2,847096774;-1,655;-0,937741935;0,060967742;0,421333333
-1,5;-0,86;-0,789;-0,882258065;-4,858387097;-7,747857143;-7,071290323;-5,542;-3,686451613;-2,558333333;-1,936451613;-1,40483871;-1,030333333
-2;-1,547741935;-1,396333333;-1,301612903;-2,690322581;-5,526428571;-6,247419355;-5,371;-4,161935484;-3,196333333;-2,603870968;-2,142258065;-1,788333333
