Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,986129032;-4,448666667;-12,50677419;-16,84741935;-15,84642857;-8,125483871;-3,233333333;4,048387097;6,775;11,56322581;10,03483871;5,812333333
-0,25;2,275806452;-0,142666667;-4,912580645;-13,6116129;-15,14642857;-8,832258065;-5,312;-1,547741935;-0,071333333;4,018387097;6,932580645;5,098
-0,5;1,801612903;0,082;-0,991612903;-10,87774194;-14,12428571;-9,072903226;-5,821333333;-2,409354839;-1,128666667;-0,475483871;4,010322581;3,957333333
-0,75;1,206774194;0,037666667;-0,29;-8,568387097;-13,05285714;-9,008709677;-5,928666667;-2,776451613;-1,485666667;-0,947096774;1,433225806;2,578666667
-1;0,600645161;-0,032333333;-0,142258065;-6,421935484;-11,99107143;-8,887096774;-5,979;-3,08516129;-1,796666667;-1,256451613;-0,238709677;1,181
-1,5;-0,423548387;-0,388666667;-0,421290323;-3,663870968;-9,933214286;-8,46516129;-5,936;-3,552580645;-2,309333333;-1,759677419;-1,220322581;-0,642
-2;-0,978709677;-0,863333333;-0,819354839;-2,376451613;-8,018928571;-7,823548387;-5,751333333;-3,857096774;-2,714333333;-2,164193548;-1,726774194;-1,255333333
-2,5;-1,437741935;-1,283666667;-1,198387097;-1,819354839;-6,295;-7,003548387;-5,466;-4,029354839;-3,031333333;-2,502258065;-2,116451613;-1,721666667
-3;-1,834516129;-1,663666667;-1,552903226;-1,717741935;-4,805;-6,059354839;-5,106333333;-4,093870968;-3,272;-2,787741935;-2,439354839;-2,102666667
-3,5;-2,186451613;-2,008333333;-1,881612903;-1,852580645;-3,576071429;-5,048387097;-4,696333333;-4,077419355;-3,451333333;-3,03;-2,716451613;-2,432
-4;-2,490967742;-2,315333333;-2,178709677;-2,076774194;-2,708214286;-4,057096774;-4,246;-3,980967742;-3,561666667;-3,215806452;-2,94483871;-2,707666667
-4,5;-2,704193548;-2,543;-2,410645161;-2,300967742;-2,433214286;-3,300967742;-3,771333333;-3,768387097;-3,546333333;-3,298709677;-3,080322581;-2,886666667
-5;-2,839677419;-2,702666667;-2,581612903;-2,475483871;-2,449285714;-2,863548387;-3,348333333;-3,503870968;-3,441666667;-3,294516129;-3,137419355;-2,985333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,986129032;-4,448666667;-12,50677419;-16,84741935;-15,84642857;-8,125483871;-3,233333333;4,048387097;6,775;11,56322581;10,03483871;5,812333333
-0,25;1,998709677;-0,134;-4,36516129;-12,73612903;-14,2025;-8,387096774;-5,093333333;-1,539677419;-0,196333333;3,278064516;5,805806452;4,417
-0,5;1,51;0,055;-0,700322581;-10,08935484;-13,22464286;-8,611290323;-5,583666667;-2,37;-1,136;-0,623548387;2,767741935;3,28
-0,75;0,917419355;0,004;-0,206129032;-7,892580645;-12,21642857;-8,545806452;-5,685666667;-2,722903226;-1,481333333;-0,973870968;0,596451613;1,939
-1;0,316451613;-0,081666667;-0,176774194;-5,92483871;-11,22107143;-8,42483871;-5,733333333;-3,015483871;-1,778333333;-1,262903226;-0,582580645;0,589
-1,5;-0,557096774;-0,493666667;-0,499677419;-3,497419355;-9,297142857;-8,013870968;-5,691666667;-3,459032258;-2,270333333;-1,74;-1,288387097;-0,772
-2;-1,059677419;-0,935666667;-0,880967742;-2,312903226;-7,511428571;-7,398709677;-5,510666667;-3,741935484;-2,655666667;-2,125806452;-1,740967742;-1,321
-2,5;-1,482580645;-1,328666667;-1,239032258;-1,802258065;-5,907142857;-6,618387097;-5,231333333;-3,898064516;-2,952;-2,446774194;-2,096774194;-1,745333333
-3;-1,849032258;-1,683666667;-1,572580645;-1,715483871;-4,528928571;-5,723225806;-4,881666667;-3,950645161;-3,177;-2,716451613;-2,396129032;-2,096666667
-3,5;-2,172258065;-2,003;-1,880645161;-1,847096774;-3,401785714;-4,771290323;-4,483;-3,923225806;-3,343;-2,944193548;-2,652258065;-2,396
-4;-2,45;-2,286666667;-2,157419355;-2,059677419;-2,616071429;-3,84516129;-4,049;-3,820645161;-3,439333333;-3,116451613;-2,863225806;-2,648
-4,5;-2,643870968;-2,496;-2,372580645;-2,267419355;-2,378571429;-3,149354839;-3,597333333;-3,611935484;-3,417;-3,19;-2,986129032;-2,809666667
-5;1,05;0,87;0,13;-1,33;-3,02;-4,25;-4,57;-4,12;-3,05;-1,81;-0,40;0,67
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,986129032;-4,448666667;-12,50677419;-16,84741935;-15,84642857;-8,125483871;-3,233333333;4,048387097;6,775;11,56322581;10,03483871;5,812333333
-0,25;1,743548387;-0,058;-2,609354839;-8,512258065;-10,52857143;-6,462258065;-4,047333333;-1,372258065;-0,294;2,55516129;4,681935484;3,820333333
-0,5;1,275483871;0,041666667;-0,124193548;-5,591612903;-9,447142857;-6,584516129;-4,436;-2,03483871;-1,059666667;-0,64;1,669677419;2,689333333
-0,75;0,72;-0,012;-0,108709677;-3,63;-8,403928571;-6,449032258;-4,466333333;-2,282258065;-1,322666667;-0,902903226;0,029032258;1,404666667
-1;0,158387097;-0,102666667;-0,181935484;-2,235483871;-7,384642857;-6,269032258;-4,449333333;-2,479354839;-1,545666667;-1,116451613;-0,686774194;0,166666667
-1,5;-0,560967742;-0,484333333;-0,47;-1,00483871;-5,476428571;-5,770645161;-4,301333333;-2,747419355;-1,882;-1,463870968;-1,144516129;-0,767333333
-2;-0,935806452;-0,823;-0,764516129;-0,827419355;-3,844642857;-5,117096774;-4,042;-2,875806452;-2,113333333;-1,717741935;-1,44516129;-1,152
-2,5;-1,232580645;-1,106;-1,026774194;-0,986774194;-2,649642857;-4,356451613;-3,708;-2,890967742;-2,261;-1,906774194;-1,665806452;-1,435333333
-3;-1,476451613;-1,350666667;-1,263225806;-1,202580645;-1,96;-3,55;-3,32;-2,819032258;-2,344;-2,042580645;-1,83483871;-1,649
-3,5;-1,677741935;-1,563333333;-1,476451613;-1,408387097;-1,647142857;-2,762580645;-2,901666667;-2,683548387;-2,374;-2,14;-1,966129032;-1,817666667
-4;-1,835806452;-1,738666667;-1,656774194;-1,588387097;-1,581428571;-2,101612903;-2,479;-2,497096774;-2,352333333;-2,19483871;-2,059354839;-1,944
-4,5;-1,921612903;-1,845333333;-1,776774194;-1,71483871;-1,668214286;-1,807419355;-2,127666667;-2,268709677;-2,253;-2,17483871;-2,085806452;-2,001666667
-5;1,37;1,18;0,55;-0,62;-1,96;-2,93;-3,20;-2,87;-2,03;-1,01;0,17;1,07
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,986129032;-4,448666667;-12,50677419;-16,84741935;-15,84642857;-8,125483871;-3,233333333;4,048387097;6,775;11,56322581;10,03483871;5,812333333
-0,25;1,132258065;-0,043;-1,180322581;-4,524516129;-6,693928571;-4,463225806;-2,924333333;-1,180967742;-0,434333333;1,253870968;2,470322581;2,417
-0,5;0,652258065;-0,01;-0,085483871;-1,666129032;-5,474642857;-4,446451613;-3,155333333;-1,677419355;-0,977;-0,66483871;-0,224516129;1,202666667
-0,75;0,123548387;-0,101333333;-0,163870968;-0,815483871;-4,3975;-4,207419355;-3,111666667;-1,825483871;-1,160666667;-0,840322581;-0,599354839;0,049333333
-1;-0,284516129;-0,255666667;-0,277419355;-0,438064516;-3,377857143;-3,930645161;-3,035666667;-1,929354839;-1,307;-0,983870968;-0,766451613;-0,476
-1,5;-0,654193548;-0,572;-0,528064516;-0,50483871;-1,775357143;-3,286774194;-2,807;-2,029354839;-1,505666667;-1,200645161;-0,993870968;-0,807666667
-2;-0,857741935;-0,767666667;-0,710645161;-0,67483871;-1,063571429;-2,585483871;-2,510666667;-2,014516129;-1,599666667;-1,334193548;-1,148387097;-0,995
-2,5;-1,00483871;-0,916666667;-0,855483871;-0,812580645;-0,877857143;-1,936451613;-2,179;-1,914516129;-1,615;-1,403548387;-1,245483871;-1,12
-3;-1,110322581;-1,033333333;-0,97483871;-0,93;-0,913928571;-1,462903226;-1,833666667;-1,752258065;-1,570333333;-1,420645161;-1,300645161;-1,201666667
-3,5;-1,185483871;-1,124666667;-1,073548387;-1,030967742;-0,999285714;-1,196451613;-1,500666667;-1,550322581;-1,483333333;-1,400322581;-1,321935484;-1,252
-4;-1,23;-1,187333333;-1,147096774;-1,110645161;-1,079642857;-1,093870968;-1,236333333;-1,34516129;-1,368666667;-1,348064516;-1,311935484;-1,272
-4,5;-1,226129032;-1,201;-1,17483871;-1,148387097;-1,123214286;-1,104516129;-1,132666667;-1,200322581;-1,248333333;-1,266451613;-1,261290323;-1,246333333
-5;1,20;1,05;0,58;-0,26;-1,20;-1,88;-2,08;-1,86;-1,26;-0,53;0,33;0,98
