Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642333333;-13,20096774;-17,78483871;-16,72607143;-8,553870968;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;3,151935484;-2,382;-10,12741935;-15,15290323;-15,21857143;-8,481935484;-3,974666667;2,326451613;6,931666667;13,04225806;12,31225806;7,575
-0,5;2,987419355;-0,667333333;-7,24516129;-12,67806452;-13,64785714;-8,341935484;-4,428666667;0,233870968;4,319666667;10,00677419;10,49612903;6,966333333
-0,75;2,748709677;0,170666667;-4,530967742;-10,26967742;-12,02607143;-8,171935484;-4,745666667;-0,677096774;1,817333333;7,114193548;8,634193548;6,234666667
-1;2,434193548;0,309666667;-2,144193548;-7,913870968;-10,38607143;-7,966129032;-4,968666667;-1,081612903;0,220333333;4,391612903;6,741612903;5,36
-1,5;1,659677419;0,328;0,013870968;-3,357419355;-7,2;-7,431612903;-5,193333333;-1,737419355;-0,524333333;0,317096774;2,963870968;3,316333333
-2;0,774516129;0,237666667;0,09;-0,323870968;-4,300714286;-6,741612903;-5,191;-2,249677419;-0,910666667;-0,383548387;0,106129032;1,071
-2,5;-0,04;0,007666667;0,000645161;0;-2,11;-5,949032258;-5,029;-2,636129032;-1,256333333;-0,663548387;-0,310967742;-0,130333333
-3;-0,208064516;-0,159;-0,13483871;-0,121612903;-1,354285714;-5,116129032;-4,761;-2,902580645;-1,553333333;-0,916451613;-0,529677419;-0,313333333
-3,5;-0,351935484;-0,280333333;-0,24;-0,213548387;-0,9275;-4,302258065;-4,433;-3,061290323;-1,801;-1,143225806;-0,730967742;-0,487
-4;-0,490645161;-0,399;-0,342903226;-0,305483871;-0,696071429;-3,559677419;-4,071333333;-3,127096774;-1,996333333;-1,339354839;-0,916129032;-0,648666667
-4,5;-0,621612903;-0,513;-0,443548387;-0,39516129;-0,589642857;-2,91516129;-3,699666667;-3,117419355;-2,142666667;-1,50516129;-1,079677419;-0,798666667
-5;-0,745483871;-0,622666667;-0,540967742;-0,482903226;-0,561071429;-2,380645161;-3,332666667;-3,046774194;-2,242666667;-1,641935484;-1,221935484;-0,935666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,93483871;-4,642333333;-13,20096774;-17,78483871;-16,72607143;-8,553870968;-3,211333333;5,726129032;9,491333333;16,18903226;14,04967742;8,137666667
-0,25;1,866129032;-2,129333333;-8,955806452;-13,74935484;-14,18321429;-7,847096774;-3,908666667;0,930645161;3,932666667;8,014193548;7,574516129;4,693333333
-0,5;1,692903226;-0,613333333;-6,307741935;-11,61483871;-13,32321429;-7,95;-4,356333333;-0,365483871;1,789666667;5,647419355;6,094516129;4,083666667
-0,75;1,46516129;0,073;-3,802258065;-9,537419355;-12,4075;-8,021612903;-4,720666667;-0,921612903;0,187666667;3,371612903;4,592258065;3,397666667
-1;1,193225806;0,153;-1,659354839;-7,542258065;-11,46392857;-8,052580645;-5,009666667;-1,358387097;-0,341666667;1,286129032;3,082903226;2,636333333
-1,5;0,569032258;0,134333333;0,049032258;-3,821935484;-9,618571429;-7,963870968;-5,396666667;-2,107419355;-0,844;-0,32;0,314193548;0,973333333
-2;-0,047419355;-0,021333333;-0,026451613;-1,936129032;-7,931428571;-7,673870968;-5,575;-2,709032258;-1,308;-0,700967742;-0,326774194;-0,137
-2,5;-0,274516129;-0,223;-0,195806452;-1,337419355;-6,4525;-7,216451613;-5,596333333;-3,179354839;-1,726333333;-1,053870968;-0,628387097;-0,391666667
-3;-0,479032258;-0,397666667;-0,349032258;-1,007096774;-5,211428571;-6,637741935;-5,497666667;-3,52483871;-2,093666667;-1,37483871;-0,911290323;-0,633333333
-3,5;-0,677419355;-0,569333333;-0,500967742;-0,847096774;-4,193214286;-6,001290323;-5,318;-3,762258065;-2,406333333;-1,662580645;-1,173225806;-0,864333333
-4;-0,867096774;-0,735666667;-0,649032258;-0,805806452;-3,388571429;-5,352580645;-5,079666667;-3,899354839;-2,661666667;-1,916774194;-1,411935484;-1,079333333
-4,5;-1,048064516;-0,895666667;-0,791935484;-0,834193548;-2,770714286;-4,731612903;-4,804;-3,95483871;-2,862666667;-2,133870968;-1,627741935;-1,280333333
-5;-1,217419355;-1,048666667;-0,931290323;-0,90483871;-2,3125;-4,160645161;-4,507;-3,941612903;-3,01;-2,319032258;-1,818709677;-1,465333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
