Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61225806;-19,51129032;-18,47428571;-12,16290323;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;1,217333333;-3,950333333;-11,70193548;-17,16483871;-17,8175;-11,81548387;-6,706;-1,138387097;4,365333333;12,16677419;11,20387097;6,178666667
-0,5;1,165333333;-1,710666667;-8,896774194;-14,90806452;-16,98142857;-11,57580645;-7,260666667;-1,997741935;1,492333333;8,790645161;9,157419355;5,588666667
-0,75;1,043666667;-0,301;-6,209032258;-12,73580645;-16,03;-11,39483871;-7,685666667;-2,651935484;-0,143;5,447096774;7,144193548;4,867333333
-1;0,890666667;0,185333333;-3,666129032;-10,66645161;-15,00821429;-11,23129032;-7,991333333;-3,230322581;-0,742666667;2,409032258;5,167096774;4,017333333
-1,5;0,529;0,187333333;-0,335483871;-6,863548387;-12,92821429;-10,86193548;-8,338666667;-4,193548387;-1,566333333;-0,406774194;1,328064516;2,057
-2;0,113333333;0,065;0,029032258;-4,046129032;-10,95142857;-10,35645161;-8,418333333;-4,914193548;-2,303333333;-1,072258065;-0,357741935;0,119666667
-2,5;-0,274;-0,232;-0,211612903;-2,867419355;-9,160714286;-9,713870968;-8,311;-5,436129032;-2,950666667;-1,651290323;-0,853870968;-0,435666667
-3;-0,594;-0,501333333;-0,446129032;-2,146129032;-7,604642857;-8,96483871;-8,066666667;-5,78;-3,496;-2,168709677;-1,316774194;-0,831333333
-3,5;-0,906;-0,766333333;-0,677419355;-1,716451613;-6,286428571;-8,164516129;-7,730666667;-5,981290323;-3,944;-2,62516129;-1,743548387;-1,207
-4;-1,207;-1,023666667;-0,90516129;-1,502903226;-5,210714286;-7,358709677;-7,334333333;-6,058709677;-4,293333333;-3,018064516;-2,129354839;-1,557666667
-4,5;-1,493666667;-1,274333333;-1,127419355;-1,432580645;-4,353571429;-6,586129032;-6,901;-6,036451613;-4,553;-3,350645161;-2,473870968;-1,882333333
-5;-1,764;-1,514;-1,342580645;-1,456774194;-3,691071429;-5,873225806;-6,457333333;-5,937096774;-4,731333333;-3,625806452;-2,778709677;-2,178
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61225806;-19,51129032;-18,47428571;-12,16290323;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,514;-3,74;-10,54451613;-16,00870968;-16,1375;-10,67322581;-6,077333333;-1,389677419;2,312;7,309677419;6,876129032;3,804666667
-0,5;0,511;-1,664;-8,082903226;-14,61129032;-15,58392857;-10,55870968;-6,638666667;-2,053548387;0,342333333;4,694193548;5,265483871;3,225666667
-0,75;0,435;-0,342;-5,737741935;-13,27709677;-14,92035714;-10,49451613;-7,083666667;-2,661612903;-0,538;2,116451613;3,683225806;2,570666667
-1;0,341666667;0,089666667;-3,557419355;-12,02032258;-14,18535714;-10,44806452;-7,422333333;-3,208064516;-0,982333333;0,341290323;2,136774194;1,850333333
-1,5;0,132333333;0,068;-1,082580645;-9,743870968;-12,65392857;-10,30032258;-7,856333333;-4,129677419;-1,787666667;-0,737419355;-0,132903226;0,297666667
-2;-0,253333333;-0,227333333;-0,768064516;-7,813225806;-11,15321429;-10,01677419;-8,046333333;-4,842903226;-2,510666667;-1,357741935;-0,696451613;-0,367
-2,5;-0,592;-0,515666667;-0,733225806;-6,226774194;-9,756071429;-9,588387097;-8,061666667;-5,379032258;-3,147666667;-1,927741935;-1,187419355;-0,780333333
-3;-0,923666667;-0,800333333;-0,841290323;-4,991290323;-8,499642857;-9,041290323;-7,939333333;-5,756774194;-3,688666667;-2,441290323;-1,645806452;-1,176
-3,5;-1,245666667;-1,079333333;-1,019677419;-4,05483871;-7,390357143;-8,422903226;-7,726333333;-6,004516129;-4,139666667;-2,896774194;-2,069677419;-1,553
-4;-1,555;-1,349666667;-1,231935484;-3,387096774;-6,434285714;-7,776129032;-7,445333333;-6,135483871;-4,499333333;-3,294193548;-2,456129032;-1,905333333
-4,5;-1,849;-1,611;-1,453870968;-2,934516129;-5,629285714;-7,132580645;-7,12;-6,173548387;-4,773;-3,634193548;-2,802258065;-2,232
-5;-2,125333333;-1,861333333;-1,677096774;-2,650645161;-4,960357143;-6,522258065;-6,769666667;-6,13483871;-4,970333333;-3,918709677;-3,109677419;-2,533333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876666667;-14,61225806;-19,51129032;-18,47428571;-12,16290323;-5,978666667;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,490333333;-2,374;-7,650967742;-11,89322581;-12,26142857;-8,12;-4,619;-0,876451613;2,125;6,477741935;6,05483871;3,345
-0,5;0,456;-0,759;-5,440322581;-10,46774194;-11,75821429;-7,991290323;-5,020666667;-1,417741935;0,368333333;4,107419355;4,600967742;2,816
-0,75;0,375666667;0,018;-3,318064516;-9,107419355;-11,175;-7,902258065;-5,333333333;-1,876129032;-0,359333333;1,782258065;3,171290323;2,22
