Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876;-14,61225806;-19,51096774;-18,47428571;-12,16258065;-5,978;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;1,132333333;-4,958666667;-12,44903226;-17,43677419;-17,35571429;-11,66483871;-6,353666667;-0,660967742;5,709;13,10612903;11,81935484;6,249333333
-0,5;1,232;-1,891666667;-8,28;-13,48677419;-14,9775;-10,78483871;-7,071;-2,40516129;1,491333333;8,249354839;8,74516129;5,470333333
-0,75;1,177;-0,358;-5,184516129;-10,53354839;-13,0275;-10,15935484;-7,500333333;-3,47516129;-0,726;4,557096774;6,377741935;4,746
-1;1,081666667;0,090666667;-3,308387097;-8,610967742;-11,60321429;-9,723225806;-7,601;-4,059032258;-1,57;2,326774194;4,810645161;4,089333333
-1,5;0,758;0,168666667;-0,720645161;-5,198064516;-8,851071429;-8,730645161;-7,433;-4,827419355;-2,689666667;-0,687419355;1,91516129;2,513
-2;0,289;0,022333333;-0,114516129;-2,601935484;-6,438571429;-7,540967742;-6,934666667;-5,163548387;-3,416666667;-1,951290323;-0,376451613;0,792666667
-2,5;-0,309666667;-0,336666667;-0,380967742;-1,309677419;-4,488571429;-6,259677419;-6,261333333;-5,202903226;-3,866333333;-2,681612903;-1,498064516;-0,613666667
-3;-0,961666667;-0,817333333;-0,761290323;-0,993225806;-3,068928571;-5,027096774;-5,517333333;-5,03483871;-4,095333333;-3,153548387;-2,193548387;-1,415333333
-3,5;-1,494;-1,252666667;-1,121612903;-1,104193548;-2,201428571;-3,967419355;-4,774666667;-4,733548387;-4,152666667;-3,440967742;-2,669032258;-1,984
-4;-1,916333333;-1,623666667;-1,440645161;-1,331935484;-1,796428571;-3,147419355;-4,096;-4,364193548;-4,089333333;-3,587741935;-2,983225806;-2,394666667
-4,5;-2,241666667;-1,928666667;-1,714193548;-1,563225806;-1,689642857;-2,583548387;-3,525;-3,986129032;-3,951666667;-3,633225806;-3,176129032;-2,684333333
-5;-2,478;-2,167333333;-1,936129032;-1,76483871;-1,734642857;-2,257419355;-3,087333333;-3,64;-3,773;-3,607096774;-3,274193548;-2,873
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876;-14,61225806;-19,51096774;-18,47428571;-12,16258065;-5,978;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,529666667;-4,365;-11,14548387;-15,85677419;-15,66071429;-10,62451613;-5,765333333;-0,999032258;3,046666667;8,136129032;7,378387097;3,871
-0,5;0,521;-1,632;-7,460645161;-12,68806452;-13,84285714;-10,08387097;-6,587333333;-2,535483871;0,056666667;4,292903226;4,895806452;3,019666667
-0,75;0,383333333;-0,379666667;-4,760645161;-10,30064516;-12,32964286;-9,699032258;-7,120666667;-3,578387097;-1,317;1,470967742;3,037741935;2,293666667
-1;0,271666667;-0,058666667;-3,172580645;-8,769032258;-11,21142857;-9,417741935;-7,308666667;-4,15516129;-1,969333333;0,042258065;1,861612903;1,722
-1,5;-0,004;-0,114666667;-1,205806452;-6,115806452;-9,038928571;-8,717419355;-7,34;-4,951935484;-2,999;-1,604193548;-0,238064516;0,453333333
-2;-0,526666667;-0,555333333;-0,818709677;-4,12;-7,115714286;-7,809354839;-7,048333333;-5,361935484;-3,727;-2,518387097;-1,411935484;-0,698
-2,5;-1,148;-1,039333333;-1,027741935;-2,830322581;-5,524285714;-6,795483871;-6,579666667;-5,5;-4,214;-3,168064516;-2,206774194;-1,505
-3;-1,697;-1,492;-1,377741935;-2,190322581;-4,299285714;-5,791612903;-6,021;-5,443225806;-4,501333333;-3,624193548;-2,798387097;-2,132666667
-3,5;-2,165333333;-1,896;-1,725483871;-2,001935484;-3,4475;-4,892258065;-5,439;-5,252903226;-4,623666667;-3,92516129;-3,23;-2,622
-4;-2,546333333;-2,245;-2,036774194;-2,050322581;-2,921428571;-4,159677419;-4,884666667;-4,985806452;-4,629333333;-4,103548387;-3,534516129;-2,994333333
-4,5;-2,848333333;-2,536333333;-2,305806452;-2,197096774;-2,648928571;-3,616774194;-4,393666667;-4,691290323;-4,553666667;-4,187096774;-3,734193548;-3,269666667
-5;-3,077;-2,769;-2,529677419;-2,367096774;-2,555;-3,25516129;-3,998666667;-4,403870968;-4,426666667;-4,197419355;-3,85;-3,459
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876;-14,61225806;-19,51096774;-18,47428571;-12,16258065;-5,978;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,428666667;-3,25;-8,408709677;-11,95967742;-11,87392857;-7,988064516;-4,424;-0,634193548;2,767666667;7,262580645;6,560645161;3,410333333
-0,5;0,439666667;-1,067333333;-5,359354839;-9,225483871;-10,27535714;-7,444193548;-4,974333333;-1,84483871;0,131;3,866451613;4,388387097;2,678
-0,75;0,340666667;-0,161666667;-3,100322581;-7,168709677;-8,9525;-7,063870968;-5,300333333;-2,649032258;-1,007666667;1,380322581;2,762903226;2,064666667
-1;0,251333333;-0,000666667;-1,792258065;-5,850322581;-7,988571429;-6,786774194;-5,383666667;-3,07516129;-1,494;0,128709677;1,731935484;1,574666667
-1,5;0,024333333;-0,068333333;-0,419677419;-3,61;-6,139642857;-6,124516129;-5,291;-3,625806452;-2,230666667;-1,234516129;-0,121290323;0,473666667
-2;-0,376333333;-0,396;-0,434516129;-2,082580645;-4,549285714;-5,319354839;-4,956;-3,859032258;-2,718666667;-1,890967742;-1,08483871;-0,523
-2,5;-0,869333333;-0,777;-0,733548387;-1,360322581;-3,301071429;-4,46;-4,499;-3,875483871;-3,016333333;-2,321612903;-1,664193548;-1,150666667
-3;-1,284666667;-1,124666667;-1,03;-1,186451613;-2,43;-3,650322581;-3,997666667;-3,746129032;-3,162;-2,600322581;-2,064193548;-1,604666667
-3,5;-1,619666667;-1,422;-1,291935484;-1,267096774;-1,920714286;-2,974516129;-3,505;-3,526774194;-3,185666667;-2,762903226;-2,335483871;-1,937
-4;-1,88;-1,668333333;-1,516774194;-1,424193548;-1,696071429;-2,469354839;-3,064333333;-3,268064516;-3,130666667;-2,84;-2,509032258;-2,177333333
-4,5;-2,073333333;-1,864;-1,701612903;-1,580967742;-1,6475;-2,138064516;-2,701;-3,010645161;-3,026;-2,854193548;-2,610322581;-2,338333333
-5;-2,208666667;-2,01;-1,847096774;-1,716774194;-1,684285714;-1,958064516;-2,431333333;-2,782903226;-2,902333333;-2,82516129;-2,653870968;-2,437666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,973870968;-6,876;-14,61225806;-19,51096774;-18,47428571;-12,16258065;-5,978;0,499032258;7,952333333;15,41774194;13,22709677;6,577
-0,25;0,166;-2,027333333;-5,67;-8,12483871;-8,096428571;-5,462258065;-3,042333333;-0,357419355;2,008333333;5,376774194;4,840322581;2,569333333
-0,5;0,180333333;-0,444333333;-3,350322581;-5,990967742;-6,798928571;-4,963548387;-3,366;-1,228709677;-0,010333333;2,654193548;3,112903226;1,946333333
-0,75;0,144666667;-0,019333333;-1,645483871;-4,386451613;-5,749642857;-4,613225806;-3,538333333;-1,788064516;-0,767333333;0,720322581;1,837419355;1,425666667
-1;0,097666667;-0,008333333;-0,768709677;-3,361935484;-4,991071429;-4,368064516;-3,553333333;-2,068387097;-1,092666667;-0,163225806;1,03483871;1,024
-1,5;-0,045333333;-0,117666667;-0,187741935;-1,698064516;-3,567142857;-3,803225806;-3,392;-2,393548387;-1,557666667;-0,995806452;-0,329032258;0,146333333
-2;-0,397333333;-0,38;-0,380322581;-0,864516129;-2,407142857;-3,148387097;-3,072;-2,482580645;-1,833333333;-1,374516129;-0,912258065;-0,543333333
-2,5;-0,739;-0,654;-0,610645161;-0,69516129;-1,598928571;-2,49483871;-2,687333333;-2,42;-1,968666667;-1,599032258;-1,247741935;-0,939666667
-3;-1,005;-0,888;-0,81483871;-0,785483871;-1,168571429;-1,934516129;-2,294666667;-2,262903226;-1,996333333;-1,721290323;-1,45516129;-1,203666667
-3,5;-1,200666667;-1,075666667;-0,986774194;-0,923548387;-1,034642857;-1,534193548;-1,942666667;-2,060322581;-1,95;-1,77;-1,576129032;-1,377333333
-4;-1,338333333;-1,217;-1,123225806;-1,050322581;-1,046071429;-1,304516129;-1,658333333;-1,852258065;-1,86;-1,766129032;-1,636774194;-1,49
-4,5;-1,429333333;-1,32;-1,227096774;-1,150322581;-1,106428571;-1,205483871;-1,456666667;-1,668064516;-1,754666667;-1,730645161;-1,65516129;-1,549666667
-5;-1,483;-1,387666667;-1,3;-1,224516129;-1,168571429;-1,183225806;-1,337333333;-1,528387097;-1,651666667;-1,679032258;-1,647419355;-1,576333333
