Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;1,118666667;-3,493333333;-13,48612903;-19,86290323;-19,02678571;-12,44419355;-7,364666667;-1,647419355;3,094;10,53258065;9,266774194;5,745333333
-0,5;0,811333333;-1,223666667;-10,0783871;-17,63225806;-17,93678571;-12,10354839;-8,023;-2,913548387;-0,230333333;5,543225806;6,363548387;4,296666667
-0,75;0,473;-0,232666667;-7,020967742;-15,51387097;-16,69714286;-11,80709677;-8,506;-3,869354839;-1,617;1,271935484;3,500645161;2,756666667
-1;0,111;-0,157333333;-4,635806452;-13,46935484;-15,35964286;-11,53419355;-8,828666667;-4,662580645;-2,472333333;-0,961290323;0,802580645;1,161
-1,5;-0,927333333;-0,91;-2,33;-9,622903226;-12,59178571;-10,93645161;-9,104666667;-5,903870968;-3,872666667;-2,641290323;-1,665806452;-1,108333333
-2;-1,923333333;-1,750666667;-1,888064516;-6,442903226;-9,985714286;-10,10193548;-8,956666667;-6,703548387;-4,927666667;-3,784193548;-2,88483871;-2,282666667
-2,5;-2,74;-2,480333333;-2,331290323;-4,461290323;-7,802857143;-8,994193548;-8,491666667;-7,066774194;-5,621333333;-4,590645161;-3,771935484;-3,165
-3;-3,403;-3,1;-2,884193548;-3,642580645;-6,154642857;-7,796129032;-7,869;-7,102580645;-6,020333333;-5,139677419;-4,418387097;-3,842666667
-3,5;-3,932666667;-3,619333333;-3,376129032;-3,521290323;-5,068928571;-6,697096774;-7,196333333;-6,920967742;-6,193666667;-5,486774194;-4,872903226;-4,356666667
-4;-4,346;-4,040666667;-3,791612903;-3,701612903;-4,4925;-5,817096774;-6,548666667;-6,610322581;-6,199333333;-5,674193548;-5,175806452;-4,732666667
-4,5;-4,656333333;-4,374333333;-4,134193548;-3,968064516;-4,286785714;-5,207096774;-5,976666667;-6,251290323;-6,090333333;-5,741290323;-5,358709677;-4,994333333
-5;-4,881;-4,632333333;-4,410967742;-4,228387097;-4,294642857;-4,849032258;-5,520333333;-5,894193548;-5,916333333;-5,720645161;-5,448709677;-5,162666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;0,488666667;-3,036666667;-12,54967742;-18,05419355;-17,27928571;-11,18096774;-6,7;-1,697741935;1,323333333;5,892903226;5,43516129;3,417333333
-0,5;0,228666667;-1,049666667;-9,925806452;-16,23645161;-16,42607143;-10,94;-7,353;-2,820322581;-0,861666667;1,994193548;3,089354839;2,159333333
-0,75;-0,024333333;-0,325;-7,608709677;-14,48258065;-15,40178571;-10,75870968;-7,840666667;-3,713548387;-1,813;-0,507419355;0,84;0,855666667
-1;-0,392333333;-0,492;-5,726129032;-12,78258065;-14,27678571;-10,60258065;-8,176333333;-4,463225806;-2,572666667;-1,523548387;-0,69;-0,283333333
-1,5;-1,387666667;-1,305;-3,350322581;-9,576129032;-11,92892857;-10,22290323;-8,508;-5,650322581;-3,860333333;-2,837419355;-2,069677419;-1,612
-2;-2,256333333;-2,067;-2,515483871;-6,868064516;-9,694285714;-9,593225806;-8,454666667;-6,432580645;-4,846333333;-3,85;-3,102903226;-2,59
-2,5;-2,980333333;-2,729666667;-2,666774194;-5,033870968;-7,800357143;-8,68;-8,107;-6,81;-5,506666667;-4,589354839;-3,885483871;-3,361
-3;-3,574666667;-3,294;-3,103225806;-4,118387097;-6,338214286;-7,656129032;-7,609;-6,884516129;-5,897;-5,103548387;-4,466774194;-3,966
-3,5;-4,052666667;-3,765333333;-3,539677419;-3,851612903;-5,335714286;-6,698709677;-7,048;-6,753870968;-6,081;-5,435806452;-4,886774194;-4,430333333
-4;-4,427666667;-4,151;-3,920645161;-3,921612903;-4,758571429;-5,914193548;-6,494666667;-6,502258065;-6,107666667;-5,624516129;-5,171290323;-4,775
-4,5;-4,714;-4,458333333;-4,237096774;-4,116451613;-4,506428571;-5,350967742;-5,995;-6,197096774;-6,029;-5,7;-5,347741935;-5,018
-5;-4,922666667;-4,696666667;-4,492903226;-4,336451613;-4,464642857;-5,004193548;-5,587333333;-5,888387097;-5,885666667;-5,693870968;-5,439354839;-5,177666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;0,514;-2,082333333;-8,939354839;-13,63032258;-13,07;-8,420322581;-5,214;-1,350645161;1,169666667;5,250322581;4,847419355;3,008666667
-0,5;0,25;-0,570666667;-6,399032258;-11,99064516;-12,26607143;-8,160322581;-5,686;-2,259354839;-0,736333333;1,740322581;2,743870968;1,896
-0,75;0,000333333;-0,183333333;-4,294193548;-10,4116129;-11,33857143;-7,954193548;-5,996666667;-2,940967742;-1,504333333;-0,464516129;0,728709677;0,744666667
-1;-0,334;-0,399666667;-2,902580645;-8,9;-10,33535714;-7,759677419;-6,175666667;-3,490645161;-2,089333333;-1,29;-0,614516129;-0,255
-1,5;-1,16;-1,078666667;-1,691612903;-6,103225806;-8,268571429;-7,30483871;-6,250666667;-4,313225806;-3,037;-2,290322581;-1,715806452;-1,353333333
-2;-1,843333333;-1,685333333;-1,651935484;-3,95;-6,360714286;-6,640645161;-6,029;-4,789354839;-3,716333333;-3,016129032;-2,482903226;-2,101333333
-2,5;-2,371666667;-2,178;-2,042580645;-2,869354839;-4,839642857;-5,778387097;-5,611;-4,928064516;-4,113333333;-3,499354839;-3,019032258;-2,649333333
-3;-2,776666667;-2,573;-2,413548387;-2,592258065;-3,8125;-4,901290323;-5,11;-4,833225806;-4,289333333;-3,792903226;-3,382903226;-3,047666667
-3,5;-3,078;-2,880333333;-2,718709677;-2,670322581;-3,257857143;-4,173548387;-4,604;-4,604516129;-4,303333333;-3,942258065;-3,61;-3,326333333
-4;-3,291666667;-3,112333333;-2,956774194;-2,847096774;-3,054642857;-3,667096774;-4,154666667;-4,319032258;-4,212;-3,982258065;-3,735483871;-3,505
-4,5;-3,432666667;-3,277666667;-3,137419355;-3,018709677;-3,043928571;-3,378709677;-3,797;-4,035483871;-4,061;-3,946451613;-3,779677419;-3,605666667
-5;-3,513666667;-3,387666667;-3,267096774;-3,157096774;-3,109285714;-3,254516129;-3,551;-3,789032258;-3,891;-3,863225806;-3,767741935;-3,647
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;0,415333333;-1,243666667;-5,722580645;-9,120322581;-8,933214286;-5,766451613;-3,642333333;-1,075806452;0,67;3,676774194;3,434516129;2,164666667
-0,5;0,175;-0,263;-3,582580645;-7,785806452;-8,229285714;-5,538387097;-3,958333333;-1,725483871;-0,708;0,885806452;1,681612903;1,242
-0,75;-0,079666667;-0,186666667;-1,985806452;-6,522258065;-7,427857143;-5,342580645;-4,133;-2,187741935;-1,248333333;-0,597741935;0,143870968;0,309333333
-1;-0,397666667;-0,416666667;-1,226129032;-5,319677419;-6,586428571;-5,14516129;-4,198;-2,53483871;-1,651;-1,120322581;-0,691612903;-0,417666667
-1,5;-1,021333333;-0,943666667;-0,989032258;-3,196129032;-4,912857143;-4,664193548;-4,104666667;-3,010645161;-2,257;-1,792258065;-1,431612903;-1,175333333
-2;-1,502;-1,382;-1,298709677;-1,943225806;-3,470357143;-4,011290323;-3,805666667;-3,21483871;-2,634666667;-2,230645161;-1,918387097;-1,681333333
-2,5;-1,834666667;-1,707333333;-1,607741935;-1,672258065;-2,503928571;-3,279677419;-3,396333333;-3,170967742;-2,794;-2,47516129;-2,212903226;-2,004
-3;-2,053666667;-1,934;-1,83516129;-1,775483871;-2,059642857;-2,670967742;-2,976333333;-2,98483871;-2,796333333;-2,578064516;-2,376451613;-2,203
-3,5;-2,190666667;-2,085666667;-1,99483871;-1,919354839;-1,9625;-2,292580645;-2,613666667;-2,74483871;-2,702;-2,581290323;-2,443870968;-2,313
-4;-2,264;-2,179666667;-2,101612903;-2,030645161;-1,999285714;-2,124193548;-2,355;-2,518064516;-2,563666667;-2,522580645;-2,443870968;-2,355333333
-4,5;-2,288666667;-2,226333333;-2,163870968;-2,103870968;-2,058214286;-2,08;-2,202666667;-2,339354839;-2,418666667;-2,432580645;-2,401612903;-2,350333333
-5;-2,279666667;-2,238;-2,191290323;-2,144516129;-2,102857143;-2,08516129;-2,131333333;-2,218709677;-2,295666667;-2,334516129;-2,337096774;-2,315666667
