Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,865333333;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;1,444333333;-5,688333333;-14,77709677;-20,65322581;-19,675;-12,61387097;-7,347333333;-0,033225806;6,582666667;13,8616129;11,36903226;7,327333333
-0,5;1,841;-4,554666667;-12,73741935;-19,09612903;-19,04285714;-12,54258065;-8,151;-1,258709677;5,211666667;12,10225806;10,62709677;7,441
-0,75;2,167666667;-3,530333333;-10,97645161;-17,59516129;-18,18964286;-12,54225806;-8,740666667;-2,301612903;3,912333333;10,41451613;9,891612903;7,423333333
-1;2,434666667;-2,626;-9,414193548;-16,14774194;-17,23642857;-12,54322581;-9,180666667;-3,212258065;2,689333333;8,818709677;9,146451613;7,303333333
-1,5;2,788;-1,206;-6,842258065;-13,42967742;-15,2275;-12,4;-9,662666667;-4,661290323;0,539;5,976451613;7,614516129;6,772666667
-2;2,920666667;-0,232666667;-4,883870968;-10,97806452;-13,27535714;-11,97322581;-9,762666667;-5,712580645;-1,215333333;3,59;6,043870968;5,966333333
-2,5;2,857333333;0,377;-3,428064516;-8,833870968;-11,46178571;-11,28387097;-9,601333333;-6,431290323;-2,598;1,618064516;4,490645161;4,998666667
-3;2,625666667;0,703666667;-2,375483871;-7,017419355;-9,815357143;-10,41258065;-9,264;-6,866129032;-3,653;0,01;3,014193548;3,958
-3,5;2,259;0,814333333;-1,640645161;-5,527096774;-8,348214286;-9,447419355;-8,808333333;-7,066774194;-4,428333333;-1,279677419;1,659677419;2,913333333
-4;1,793333333;0,763333333;-1,155483871;-4,343225806;-7,061785714;-8,462258065;-8,274333333;-7,080645161;-4,965;-2,29483871;0,455483871;1,907
-4,5;1,262333333;0,597;-0,866129032;-3,433870968;-5,953571429;-7,508064516;-7,698333333;-6,951935484;-5,304666667;-3,07483871;-0,58516129;0,968333333
-5;0,7;0,344333333;-0,729677419;-2,759677419;-5,023214286;-6,621290323;-7,105;-6,717741935;-5,484666667;-3,653870968;-1,456774194;0,115
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,865333333;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;0,739;-5,214;-13,30096774;-18,5416129;-17,65535714;-11,33096774;-6,646333333;-0,469677419;4,072666667;8,792903226;7,212580645;4,628666667
-0,5;0,943;-4,322666667;-11,55580645;-17,20741935;-17,14035714;-11,3116129;-7,397666667;-1,513225806;3,035;7,54483871;6,640322581;4,619666667
-0,75;1,096;-3,526;-10,0583871;-15,92612903;-16,42785714;-11,35516129;-7,960333333;-2,418064516;2,045;6,344516129;6,072580645;4,526333333
-1;1,208333333;-2,828;-8,735483871;-14,69032258;-15,62642857;-11,40064516;-8,387666667;-3,216774194;1,107;5,203870968;5,500645161;4,368333333
-1,5;1,314666667;-1,760333333;-6,580645161;-12,37483871;-13,92571429;-11,35806452;-8,889;-4,513225806;-0,563;3,15483871;4,331612903;3,867666667
