Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;1,089;-4,876333333;-14,45516129;-19,94032258;-18,92142857;-12,39645161;-6,898;-0,116129032;5,846666667;13,30516129;10,81774194;6,695
-0,5;1,253;-1,901333333;-9,55;-15,72548387;-16,59535714;-11,67774194;-7,815666667;-2,268064516;1,683666667;8,309354839;7,946451613;5,700666667
-0,75;1,245;-0,436666667;-6,001935484;-12,59225806;-14,68107143;-11,16451613;-8,359;-3,55516129;-0,633;4,550967742;5,741935484;4,802333333
-1;1,156666667;-0,007333333;-3,883548387;-10,52806452;-13,25678571;-10,80290323;-8,523;-4,266774194;-1,585333333;2,293225806;4,283225806;4,043
-1,5;0,788666667;0,076666667;-0,954516129;-6,819354839;-10,45892857;-9,926451613;-8,439666667;-5,260967742;-2,884;-0,79516129;1,56;2,321333333
-2;0,237333333;-0,043666667;-0,202580645;-3,928709677;-7,966785714;-8,794193548;-7,975333333;-5,78;-3,761666667;-2,161935484;-0,589354839;0,521333333
-2,5;-0,467666667;-0,465666667;-0,509354839;-2,209354839;-5,890357143;-7,520967742;-7,317666667;-5,955483871;-4,341;-3,01;-1,72;-0,835666667
-3;-1,171333333;-0,996;-0,928709677;-1,541612903;-4,287142857;-6,245806452;-6,573666667;-5,876451613;-4,679;-3,586129032;-2,500322581;-1,673333333
-3,5;-1,757333333;-1,478333333;-1,328709677;-1,456129032;-3,187857143;-5,097419355;-5,818;-5,627419355;-4,822333333;-3,959032258;-3,061290323;-2,301
-4;-2,234;-1,897666667;-1,688709677;-1,616129032;-2,545;-4,163225806;-5,108666667;-5,280645161;-4,824333333;-4,176129032;-3,449677419;-2,773333333
-4,5;-2,609;-2,249333333;-2,001935484;-1,847096774;-2,253214286;-3,472903226;-4,486333333;-4,9;-4,725666667;-4,27483871;-3,706451613;-3,119333333
-5;-2,891;-2,530333333;-2,263548387;-2,071290323;-2,1875;-3,024516129;-3,987;-4,529677419;-4,566333333;-4,285483871;-3,850967742;-3,357666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,030645161;-6,864666667;-17,10580645;-22,25612903;-20,03571429;-12,7983871;-6,344;1,373225806;7,997666667;15,63290323;12,1316129;7,093666667
-0,25;0,43;-4,284;-13,07645161;-18,07258065;-17,04;-11,24064516;-6,222;-0,451612903;3,471666667;8,241612903;6,700967742;4,132666667
-0,5;0,480666667;-1,638666667;-8,793225806;-14,69548387;-15,29071429;-10,77451613;-7,208666667;-2,310645161;0,342666667;4,404516129;4,407741935;3,136333333
-0,75;0,378666667;-0,416333333;-5,688064516;-12,19903226;-13,81107143;-10,44870968;-7,841666667;-3,544193548;-1,236666667;1,568064516;2,703225806;2,305
-1;0,274;-0,094333333;-3,906129032;-10,56483871;-12,67892857;-10,22645161;-8,084333333;-4,241612903;-1,969666667;0,089032258;1,611935484;1,673
-1,5;-0,018666667;-0,172;-1,679354839;-7,645806452;-10,42821429;-9,639032258;-8,175666667;-5,251612903;-3,139;-1,66516129;-0,361612903;0,317666667
-2;-0,634;-0,654;-1,095806452;-5,338709677;-8,401785714;-8,802258065;-7,903666667;-5,830322581;-3,987666667;-2,682903226;-1,535806452;-0,844333333
