Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,250967742;-6,82;-19,33645161;-20,4683871;-18,61071429;-15,62290323;-7,032666667;-1,733225806;7,781;12,69354839;10,56387097;5,878333333
-0,25;1,41;-0,536333333;-11,22935484;-18,64741935;-18,18892857;-16,41709677;-8,204;-4,139677419;-0,886333333;3,552580645;6,915483871;4,861333333
-0,5;0,987333333;0,11;-6,005483871;-17,05387097;-17,61857143;-16,35806452;-8,726333333;-4,920322581;-2,08;-0,869354839;3,308709677;3,474
-0,75;0,511;0,009;-4,092580645;-15,66064516;-16,92928571;-15,9116129;-8,970666667;-5,336774194;-2,639;-1,430967742;0,754516129;1,965666667
-1;0,042666667;-0,164333333;-2,872580645;-14,31225806;-16,21392857;-15,42096774;-9,167666667;-5,702903226;-3,141333333;-1,922580645;-0,720322581;0,464333333
-1,5;-0,808333333;-0,804666667;-1,894516129;-11,78193548;-14,71;-14,33225806;-9,409666667;-6,30516129;-4,009;-2,780967742;-1,855806452;-1,067333333
-2;-1,588666667;-1,475666667;-1,788387097;-9,540645161;-13,13178571;-13,15806452;-9,468;-6,759354839;-4,730666667;-3,531290323;-2,693548387;-1,951333333
-2,5;-2,307666667;-2,12;-2,112580645;-7,662580645;-11,52;-11,93903226;-9,365;-7,089354839;-5,330666667;-4,199354839;-3,417096774;-2,719666667
-3;-2,981333333;-2,735666667;-2,605483871;-6,193870968;-9,915;-10,70612903;-9,132;-7,318387097;-5,835666667;-4,795483871;-4,063225806;-3,417666667
-3,5;-3,614;-3,328333333;-3,136129032;-5,108709677;-8,352857143;-9,482903226;-8,798;-7,460967742;-6,260333333;-5,330967742;-4,648709677;-4,061
-4;-4,197666667;-3,883333333;-3,652258065;-4,41;-6,926071429;-8,309032258;-8,369333333;-7,508387097;-6,591666667;-5,791612903;-5,169354839;-4,638666667
-4,5;-4,674333333;-4,354333333;-4,10483871;-4,274193548;-5,899642857;-7,304516129;-7,821;-7,392903226;-6,75;-6,102903226;-5,554193548;-5,087
-5;-5,048;-4,743333333;-4,492903226;-4,419677419;-5,302857143;-6,516774194;-7,24;-7,160967742;-6,767333333;-6,28;-5,820322581;-5,417333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,250967742;-6,82;-19,33645161;-20,4683871;-18,61071429;-15,62290323;-7,032666667;-1,733225806;7,781;12,69354839;10,56387097;5,878333333
-0,25;1,214666667;-0,43;-10,48129032;-17,60387097;-16,92357143;-15,51967742;-7,807333333;-3,960322581;-0,937333333;2,698709677;5,541935484;4,22
-0,5;0,779;0,074666667;-5,476774194;-16,09774194;-16,41142857;-15,46225806;-8,288666667;-4,715483871;-2,043;-0,92516129;1,861935484;2,805
-0,75;0,304;-0,048;-3,808709677;-14,78096774;-15,78464286;-15,03645161;-8,519333333;-5,114193548;-2,576;-1,44516129;-0,084193548;1,295666667
