Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;2,202666667;-5,695;-17,78193548;-20,16516129;-18,81178571;-16,79967742;-8,050333333;-2,701935484;8,658666667;15,66451613;14,23354839;8,383
-0,5;2,591333333;-4,355333333;-15,38677419;-18,72741935;-18,07321429;-16,79193548;-8,650333333;-3,684516129;6,576666667;13,67064516;13,5916129;8,41
-0,75;2,919;-3,195666667;-13,25225806;-17,32677419;-17,36214286;-16,52645161;-9,167;-4,517741935;4,697666667;11,80709677;12,83612903;8,312666667
-1;3,193;-2,191333333;-11,32451613;-15,97225806;-16,63178571;-16,12096774;-9,610333333;-5,229354839;2,998666667;10,05548387;11,98645161;8,126333333
-1,5;3,574;-0,669333333;-8,109354839;-13,42064516;-15,06142857;-15,03129032;-10,228;-6,31516129;0,189333333;6,92;10,06322581;7,532
-2;3,721;0,324333333;-5,642580645;-11,09225806;-13,38571429;-13,77032258;-10,48933333;-7,06516129;-1,942666667;4,241612903;8,006451613;6,719666667
-2,5;3,642;0,920333333;-3,808387097;-9,01516129;-11,69428571;-12,45677419;-10,43233333;-7,546129032;-3,507333333;1,992258065;5,976774194;5,757666667
-3;3,359666667;1,223666667;-2,488709677;-7,218387097;-10,06964286;-11,16064516;-10,11833333;-7,8;-4,613333333;0,136129032;4,079677419;4,700666667
-3,5;2,920333333;1,308;-1,576129032;-5,711290323;-8,57;-9,923225806;-9,619;-7,860967742;-5,361;-1,358709677;2,376774194;3,604
-4;2,369666667;1,226333333;-0,98;-4,487419355;-7,233571429;-8,767741935;-8,999;-7,764193548;-5,825666667;-2,529677419;0,892903226;2,515
-4,5;1,753333333;1,022666667;-0,631612903;-3,52483871;-6,076071429;-7,708064516;-8,315333333;-7,543548387;-6,072666667;-3,417096774;-0,365483871;1,472666667
-5;1,107333333;0,73;-0,469677419;-2,798709677;-5,101071429;-6,757096774;-7,608666667;-7,232903226;-6,159666667;-4,062903226;-1,401612903;0,507
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
