Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;1,821;-4,048333333;-16,59096774;-19,3083871;-18,62714286;-16,64806452;-7,908333333;-2,832258065;6,399333333;14,03096774;12,9116129;7,595666667
-0,5;1,779;-1,681;-12,83451613;-17,02322581;-17,69285714;-16,55419355;-8,354666667;-3,567419355;2,601;10,34967742;10,98903226;6,795
-0,75;1,639333333;-0,213666667;-9,219032258;-14,79516129;-16,80071429;-16,27935484;-8,755666667;-4,206451613;0,145333333;6,832258065;8,960645161;5,875333333
-1;1,451333333;0,26;-5,801612903;-12,65870968;-15,91571429;-15,86709677;-9,100666667;-4,768387097;-1,023333333;3,562580645;6,830967742;4,863666667
-1,5;0,960666667;0,257;-1,055483871;-8,727741935;-14,135;-14,80870968;-9,617666667;-5,692580645;-2,150666667;-0,307741935;2,467096774;2,692666667
-2;0,359333333;0,137666667;0,063225806;-5,471290323;-12,35214286;-13,59419355;-9,888666667;-6,388387097;-3,114333333;-1,25483871;-0,246129032;0,502333333
-2,5;-0,239666667;-0,193333333;-0,182580645;-3,820645161;-10,62785714;-12,33741935;-9,928666667;-6,891935484;-3,927333333;-2,013548387;-0,927096774;-0,426333333
-3;-0,644333333;-0,53;-0,475806452;-2,84;-9,035357143;-11,10516129;-9,763666667;-7,220967742;-4,586333333;-2,688064516;-1,530645161;-0,924333333
-3,5;-1,039333333;-0,863;-0,76483871;-2,235483871;-7,617142857;-9,935483871;-9,443333333;-7,406451613;-5,108;-3,279032258;-2,085806452;-1,399333333
-4;-1,42;-1,189333333;-1,049032258;-1,91483871;-6,406785714;-8,856451613;-9,009666667;-7,461612903;-5,501333333;-3,783225806;-2,586451613;-1,845
-4,5;-1,780666667;-1,504333333;-1,326451613;-1,788064516;-5,408571429;-7,881612903;-8,505;-7,408064516;-5,778333333;-4,20516129;-3,031935484;-2,259
-5;-2,122666667;-1,807333333;-1,597419355;-1,792258065;-4,613571429;-7,01516129;-7,964666667;-7,274193548;-5,956333333;-4,547741935;-3,422580645;-2,637333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,914666667;-3,572666667;-14,82645161;-17,86419355;-16,85464286;-14,99645161;-7,18;-2,77;3,432;8,496451613;7,977741935;4,681
-0,5;0,878333333;-1,441333333;-11,46290323;-16,40870968;-16,205;-15,01516129;-7,644333333;-3,44516129;0,806;5,660645161;6,388709677;3,974666667
-0,75;0,755;-0,203;-8,246451613;-14,99064516;-15,5875;-14,86806452;-8,067;-4,05516129;-0,627333333;2,934193548;4,741290323;3,195666667
-1;0,605;0,122333333;-5,257741935;-13,63548387;-14,97142857;-14,59677419;-8,437;-4,595483871;-1,262666667;0,741935484;3,055806452;2,365666667
-1,5;0,244666667;0,097;-1,637096774;-11,14774194;-13,69714286;-13,83387097;-9,021333333;-5,499032258;-2,315666667;-0,821612903;0,101612903;0,643
-2;-0,219;-0,194666667;-1,000645161;-9,001290323;-12,36857143;-12,91806452;-9,379333333;-6,196774194;-3,238333333;-1,601935484;-0,719032258;-0,342
-2,5;-0,632;-0,545666667;-0,888709677;-7,215483871;-11,0375;-11,94387097;-9,526666667;-6,720967742;-4,027;-2,320967742;-1,339032258;-0,850666667
-3;-1,037666667;-0,892333333;-0,982903226;-5,806774194;-9,759285714;-10,9683871;-9,478666667;-7,086451613;-4,674333333;-2,964193548;-1,917096774;-1,338333333
-3,5;-1,432;-1,232333333;-1,181935484;-4,733548387;-8,572857143;-10,02612903;-9,283;-7,318387097;-5,197666667;-3,535483871;-2,449677419;-1,802333333
-4;-1,810333333;-1,563666667;-1,429677419;-3,965806452;-7,515;-9,14;-8,972;-7,429032258;-5,601;-4,02516129;-2,932580645;-2,238
-4,5;-2,170333333;-1,883666667;-1,698064516;-3,448387097;-6,600357143;-8,321935484;-8,584666667;-7,440967742;-5,897;-4,440967742;-3,364516129;-2,641333333
-5;-2,510666667;-2,189;-1,967419355;-3,124193548;-5,830714286;-7,580322581;-8,154333333;-7,370645161;-6,101;-4,78516129;-3,745806452;-3,012666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,925333333;-2,535;-10,94258065;-13,33806452;-12,81571429;-11,42870968;-5,458333333;-2,102903226;3,008666667;7,49;7,059354839;4,141
-0,5;0,832666667;-0,811333333;-8,024193548;-11,91774194;-12,24428571;-11,40290323;-5,787333333;-2,597741935;0,683666667;4,924193548;5,599354839;3,492
-0,75;0,707333333;0,035333333;-5,216451613;-10,54645161;-11,70071429;-11,25129032;-6,085333333;-3,041290323;-0,484666667;2,457419355;4,090967742;2,780333333
-1;0,562;0,139;-2,673870968;-9,254516129;-11,16178571;-11,00548387;-6,343;-3,433548387;-0,947333333;0,558709677;2,55483871;2,023666667
-1,5;0,224;0,097666667;-0,123870968;-6,979677419;-10,06035714;-10,34935484;-6,74;-4,084516129;-1,709;-0,62483871;0,024516129;0,458
-2;-0,175666667;-0,149;-0,14;-5,20483871;-8,940357143;-9,582580645;-6,969;-4,578387097;-2,372666667;-1,180967742;-0,551612903;-0,280666667
-2,5;-0,468333333;-0,397333333;-0,356129032;-3,910967742;-7,8375;-8,779354839;-7,037333333;-4,944193548;-2,937333333;-1,691935484;-0,988387097;-0,637333333
-3;-0,755;-0,642666667;-0,572903226;-3,020645161;-6,803214286;-7,98483871;-6,961;-5,192903226;-3,4;-2,148709677;-1,396774194;-0,98
-3,5;-1,033666667;-0,883333333;-0,785483871;-2,422580645;-5,862142857;-7,223548387;-6,777666667;-5,340322581;-3,769666667;-2,552258065;-1,771612903;-1,306333333
-4;-1,3;-1,116666667;-0,994193548;-2,051290323;-5,044285714;-6,515806452;-6,511333333;-5,399354839;-4,051;-2,898387097;-2,110322581;-1,611333333
-4,5;-1,554666667;-1,341666667;-1,195483871;-1,845806452;-4,353928571;-5,870967742;-6,191333333;-5,384193548;-4,255;-3,190322581;-2,412258065;-1,893666667
-5;-1,790666667;-1,556666667;-1,39;-1,757419355;-3,79;-5,292580645;-5,842333333;-5,310967742;-4,388333333;-3,428387097;-2,678709677;-2,153333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,764333333;-1,471;-7,255806452;-9,040967742;-8,831071429;-7,891935484;-3,772333333;-1,466774194;2,041333333;5,425483871;5,147741935;3,031666667
-0,5;0,643;-0,284;-4,917741935;-7,839354839;-8,396071429;-7,856774194;-3,987666667;-1,795806452;0,283;3,306451613;3,91483871;2,473
-0,75;0,512;0,101;-2,646774194;-6,672258065;-7,982142857;-7,732580645;-4,180333333;-2,093225806;-0,406666667;1,262258065;2,650967742;1,869666667
-1;0,371666667;0,121666667;-0,965483871;-5,574516129;-7,570357143;-7,543548387;-4,347333333;-2,354516129;-0,687666667;0,049354839;1,366129032;1,235
-1,5;0,057666667;0,036333333;0,017096774;-3,683870968;-6,742857143;-7,056451613;-4,598333333;-2,785806452;-1,185666667;-0,490967742;-0,155806452;0,041666667
-2;-0,195666667;-0,164;-0,145806452;-2,635483871;-5,913214286;-6,494516129;-4,734666667;-3,109677419;-1,619666667;-0,850322581;-0,457741935;-0,275333333
-2,5;-0,385;-0,326333333;-0,289032258;-1,942258065;-5,113214286;-5,910322581;-4,762666667;-3,346451613;-1,99;-1,178709677;-0,73483871;-0,504333333
-3;-0,57;-0,485333333;-0,43;-1,496774194;-4,374642857;-5,338387097;-4,692666667;-3,503225806;-2,292666667;-1,472258065;-0,994193548;-0,723333333
-3,5;-0,748666667;-0,640333333;-0,568064516;-1,223225806;-3,716071429;-4,796129032;-4,55;-3,591612903;-2,533;-1,731290323;-1,231935484;-0,93
-4;-0,918;-0,791;-0,702580645;-1,081290323;-3,156071429;-4,29516129;-4,353333333;-3,619354839;-2,714333333;-1,952580645;-1,44516129;-1,123333333
-4,5;-1,078666667;-0,935333333;-0,832580645;-1,026774194;-2,693214286;-3,841935484;-4,123;-3,599032258;-2,843333333;-2,139032258;-1,636774194;-1,303333333
-5;-1,230333333;-1,072333333;-0,958064516;-1,031612903;-2,325357143;-3,440645161;-3,874666667;-3,539032258;-2,926666667;-2,291935484;-1,80483871;-1,465333333
