Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;1,921;-5,054;-17,52774194;-19,5516129;-18,23214286;-16,00806452;-7,755666667;-2,598709677;8,019666667;15,15193548;13,44;7,742666667
-0,5;1,993;-1,774333333;-11,85419355;-15,54096774;-15,795;-15,06225806;-8,353;-4,101935484;2,516666667;9,633548387;10,47709677;6,560666667
-0,75;1,919;-0,187;-7,605483871;-12,47193548;-14,02107143;-14,15290323;-8,757666667;-5,082258065;-0,575;5,531935484;8,027741935;5,516
-1;1,794;0,23;-5,020322581;-10,44;-12,78964286;-13,34387097;-8,926;-5,596451613;-1,893666667;3,059032258;6,251612903;4,687666667
-1,5;1,338;0,282666667;-1,387096774;-6,761612903;-10,31642857;-11,5283871;-8,946333333;-6,265483871;-3,461666667;-0,55;2,818064516;2,896333333
-2;0,646333333;0,109;-0,16516129;-3,8;-7,9525;-9,673225806;-8,564;-6,552903226;-4,399666667;-2,218709677;-0,047419355;1,069
-2,5;-0,178333333;-0,245333333;-0,339677419;-1,984193548;-5,868928571;-7,935806452;-7,902333333;-6,562258065;-4,950666667;-3,213548387;-1,584193548;-0,533
-3;-0,995333333;-0,823666667;-0,78;-1,34;-4,2125;-6,399354839;-7,082333333;-6,361935484;-5,223;-3,872580645;-2,523225806;-1,519666667
-3,5;-1,658333333;-1,361666667;-1,21483871;-1,312903226;-3,0725;-5,117096774;-6,211333333;-6,017741935;-5,288666667;-4,282580645;-3,178709677;-2,253
-4;-2,195666667;-1,830333333;-1,610322581;-1,523548387;-2,425357143;-4,118709677;-5,379;-5,59483871;-5,216333333;-4,504516129;-3,627419355;-2,804666667
-4,5;-2,622333333;-2,222333333;-1,95516129;-1,788709677;-2,156071429;-3,408709677;-4,652333333;-5,149677419;-5,051666667;-4,589032258;-3,91516129;-3,209
-5;-2,943;-2,537666667;-2,245483871;-2,039032258;-2,121785714;-2,960967742;-4,077;-4,727419355;-4,837666667;-4,572580645;-4,07516129;-3,487
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;1,005333333;-4,488666667;-15,5983871;-17,65193548;-16,61464286;-14,60903226;-7,12;-2,59516129;4,684666667;9,402580645;8,421935484;4,749
-0,5;0,931333333;-1,625666667;-10,57483871;-14,47935484;-14,75214286;-14,01258065;-7,871666667;-4,057096774;0,610333333;5,168709677;5,930967742;3,620666667
-0,75;0,740666667;-0,32;-6,897096774;-12,05258065;-13,37107143;-13,35645161;-8,372666667;-5,043870968;-1,534333333;2,096451613;3,97;2,713333333
-1;0,577333333;-0,009333333;-4,711290323;-10,46419355;-12,40857143;-12,73419355;-8,617666667;-5,581935484;-2,45;0,38;2,631612903;2,044
-1,5;0,165333333;-0,061;-1,874193548;-7,634516129;-10,46464286;-11,30870968;-8,811333333;-6,324516129;-3,807333333;-1,72483871;0,114193548;0,641
-2;-0,469666667;-0,525;-1,080322581;-5,379354839;-8,581785714;-9,826129032;-8,629333333;-6,712258065;-4,712;-2,922580645;-1,439354839;-0,659333333
-2,5;-1,221666667;-1,1;-1,165806452;-3,792903226;-6,891428571;-8,419354839;-8,177666667;-6,837741935;-5,291;-3,786774194;-2,476129032;-1,619666667
-3;-1,892333333;-1,646666667;-1,53516129;-2,886129032;-5,493571429;-7,159032258;-7,560333333;-6,763548387;-5,621666667;-4,396774194;-3,257419355;-2,398666667
-3,5;-2,47;-2,143666667;-1,945483871;-2,520967742;-4,448571429;-6,083225806;-6,873666667;-6,541935484;-5,761333333;-4,801612903;-3,83483871;-3,026
-4;-2,952;-2,579333333;-2,328709677;-2,481612903;-3,751785714;-5,212580645;-6,194333333;-6,233548387;-5,766666667;-5,045483871;-4,249354839;-3,518333333
-4,5;-3,344666667;-2,951666667;-2,66516129;-2,602258065;-3,348571429;-4,553548387;-5,578666667;-5,888387097;-5,676;-5,166451613;-4,528387097;-3,891333333
-5;-3,648;-3,255;-2,952580645;-2,786451613;-3,169642857;-4,098709677;-5,067;-5,542258065;-5,526666667;-5,19516129;-4,697096774;-4,154
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,975806452;-7,18;-20,41;-21,60548387;-19,64642857;-16,49;-7,379333333;-1,613870968;10,894;17,77064516;14,78967742;8,229333333
-0,25;0,913;-3,324666667;-11,7083871;-13,3783871;-12,65107143;-10,99677419;-5,315;-1,876774194;4,249;8,41516129;7,475806452;4,293666667
-0,5;0,855666667;-1,006666667;-7,569354839;-10,56935484;-11,00928571;-10,38645161;-5,796;-2,957741935;0,674;4,699677419;5,304193548;3,325666667
-0,75;0,709666667;-0,084333333;-4,520967742;-8,430322581;-9,743571429;-9,792258065;-6,126;-3,687419355;-1,138666667;1,99516129;3,609354839;2,523
-1;0,577;0,052;-2,726129032;-7,03483871;-8,8775;-9,245806452;-6,266333333;-4,070967742;-1,837666667;0,477741935;2,448064516;1,932666667
-1,5;0,223;-0,018;-0,670645161;-4,589354839;-7,162857143;-8,006451613;-6,307;-4,563870968;-2,81;-1,3;0,239354839;0,701666667
-2;-0,281333333;-0,331;-0,433225806;-2,78516129;-5,556785714;-6,741935484;-6,054333333;-4,772258065;-3,42;-2,176451613;-1,075806452;-0,445666667
