Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;3,021290323;-3,069333333;-13,28580645;-20,85548387;-21,53392857;-13,15451613;-6,756666667;-1,800967742;2,896666667;10,6216129;11,73483871;6,431333333
-0,5;2,268709677;-0,973666667;-9,549354839;-18,40225806;-19,88607143;-13,06225806;-7,443333333;-3,019354839;-0,387333333;5,600645161;8,192903226;4,926333333
-0,75;1,476129032;-0,134333333;-6,190967742;-16,02;-18,17321429;-12,92225806;-7,992;-3,949354839;-1,673;1,277741935;4,681612903;3,322333333
-1;0,653870968;-0,037333333;-3,652258065;-13,71774194;-16,44714286;-12,71677419;-8,403;-4,729354839;-2,518333333;-0,974516129;1,362258065;1,653666667
-1,5;-0,788709677;-0,761666667;-1,65483871;-9,404516129;-13,10714286;-12,04903226;-8,892333333;-5,952580645;-3,922;-2,659354839;-1,628387097;-0,959666667
-2;-1,848064516;-1,658666667;-1,637419355;-5,953870968;-10,1425;-10,97;-8,956666667;-6,742580645;-4,982;-3,816451613;-2,888064516;-2,223666667
-2,5;-2,700967742;-2,423;-2,244516129;-4,027096774;-7,752142857;-9,567096774;-8,636666667;-7,109677419;-5,677666667;-4,632258065;-3,791290323;-3,146666667
-3;-3,390645161;-3,067;-2,837096774;-3,369677419;-5,996071429;-8,113870968;-8,074666667;-7,157419355;-6,076666667;-5,184193548;-4,445483871;-3,848
-3,5;-3,937419355;-3,601333333;-3,349032258;-3,380322581;-4,891071429;-6,828387097;-7,395666667;-6,989032258;-6,250333333;-5,532258065;-4,907741935;-4,374
-4;-4,361290323;-4,037666667;-3,778709677;-3,637741935;-4,346071429;-5,834516129;-6,702;-6,686451613;-6,254666667;-5,719677419;-5,212580645;-4,757666667
-4,5;-4,679032258;-4,381;-4,132258065;-3,942903226;-4,189285714;-5,17;-6,075666667;-6,323225806;-6,145;-5,785806452;-5,396129032;-5,023333333
-5;-4,908387097;-4,646;-4,416451613;-4,222580645;-4,241071429;-4,801290323;-5,57;-5,956129032;-5,965666667;-5,763225806;-5,48516129;-5,192666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
