Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,466774194;-5,962;-16,36709677;-22,10193548;-21,85535714;-12,43258065;-5,563;0,389354839;5,609333333;11,18451613;10,91225806;5,580666667
-0,25;2,188387097;-0,338333333;-8,390645161;-19,85032258;-20,90821429;-13,24645161;-7,259666667;-2,760322581;-0,751;2,536451613;6,17483871;4,648333333
-0,5;1,541290323;0,096;-3,567741935;-17,84193548;-19,79857143;-13,53709677;-7,947;-3,725806452;-1,676;-0,87;2,107419355;3,262666667
-0,75;0,821612903;0,006333333;-2,093870968;-16,10354839;-18,68071429;-13,48580645;-8,215333333;-4,232580645;-2,179666667;-1,361290323;0,041290323;1,707
-1;0,103870968;-0,149666667;-1,278064516;-14,43096774;-17,57535714;-13,36483871;-8,419666667;-4,675806452;-2,639666667;-1,798709677;-1,002258065;0,2
-1,5;-0,850322581;-0,782333333;-1,012903226;-11,35903226;-15,42678571;-12,92;-8,661666667;-5,399032258;-3,453666667;-2,570967742;-1,912903226;-1,137666667
-2;-1,585806452;-1,431;-1,397741935;-8,787741935;-13,38428571;-12,23064516;-8,718666667;-5,94483871;-4,149666667;-3,252580645;-2,630645161;-1,958
-2,5;-2,253225806;-2,044333333;-1,933870968;-6,84483871;-11,45321429;-11,34258065;-8,632;-6,351612903;-4,744666667;-3,863548387;-3,262903226;-2,659666667
-3;-2,874516129;-2,623666667;-2,467741935;-5,472903226;-9,6375;-10,31258065;-8,432;-6,641935484;-5,255;-4,414516129;-3,833548387;-3,29
-3,5;-3,457096774;-3,177333333;-2,983870968;-4,526129032;-7,942142857;-9,199032258;-8,147666667;-6,840322581;-5,692;-4,913225806;-4,356774194;-3,867
-4;-3,990322581;-3,692333333;-3,470322581;-3,967741935;-6,444285714;-8,06;-7,782666667;-6,939677419;-6,041;-5,346129032;-4,822903226;-4,382666667
-4,5;-4,421290323;-4,127;-3,893225806;-3,929032258;-5,426428571;-7,012258065;-7,298666667;-6,863225806;-6,220666667;-5,64;-5,172903226;-4,781333333
-5;-4,76;-4,480333333;-4,249677419;-4,123548387;-4,876071429;-6,170967742;-6,771;-6,661612903;-6,262;-5,812580645;-5,416451613;-5,076333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,466774194;-5,962;-16,36709677;-22,10193548;-21,85535714;-12,43258065;-5,563;0,389354839;5,609333333;11,18451613;10,91225806;5,580666667
-0,25;1,862258065;-0,308666667;-7,749677419;-18,61548387;-19,83928571;-12,54677419;-6,802;-2,672580645;-0,805;1,898064516;4,87483871;3,951333333
-0,5;1,217096774;0,058;-3,17516129;-16,73354839;-18,70714286;-12,87483871;-7,487;-3,577096774;-1,668333333;-0,907096774;0,911612903;2,521
-0,75;0,506774194;-0,049666667;-1,913548387;-15,11;-17,62107143;-12,83774194;-7,756666667;-4,051290323;-2,147666667;-1,371935484;-0,532903226;0,97
-1;-0,160322581;-0,25;-1,263225806;-13,54483871;-16,55535714;-12,72967742;-7,962;-4,466451613;-2,583333333;-1,788064516;-1,163225806;-0,288
-1,5;-0,982580645;-0,889;-1,081935484;-10,6716129;-14,50464286;-12,30709677;-8,206333333;-5,149354839;-3,355;-2,521290323;-1,952903226;-1,294333333
-2;-1,668387097;-1,502666667;-1,455483871;-8,274516129;-12,5725;-11,64451613;-8,271666667;-5,665806452;-4,011666667;-3,168064516;-2,609032258;-2,037666667
-2,5;-2,289677419;-2,078666667;-1,962580645;-6,470645161;-10,76;-10,78903226;-8,193666667;-6,048709677;-4,571666667;-3,744516129;-3,194516129;-2,678
-3;-2,866774194;-2,623;-2,466129032;-5,204516129;-9,060714286;-9,796774194;-8,006333333;-6,323548387;-5,050333333;-4,264516129;-3,726451613;-3,254666667
-3,5;-3,406451613;-3,140666667;-2,951612903;-4,341935484;-7,479285714;-8,725806452;-7,738333333;-6,511935484;-5,456;-4,733225806;-4,217096774;-3,783666667
-4;-3,901935484;-3,621666667;-3,41;-3,841935484;-6,089642857;-7,633870968;-7,389333333;-6,604193548;-5,78;-5,138387097;-4,653548387;-4,256333333
-4,5;-4,3;-4,024666667;-3,805483871;-3,824193548;-5,158571429;-6,637419355;-6,928666667;-6,529032258;-5,944;-5,412580645;-4,98;-4,623
-5;-0,58;-0,61;-1,39;-3,14;-5,22;-6,79;-7,26;-6,75;-5,65;-4,18;-2,50;-1,15
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,466774194;-5,962;-16,36709677;-22,10193548;-21,85535714;-12,43258065;-5,563;0,389354839;5,609333333;11,18451613;10,91225806;5,580666667
-0,25;1,644516129;-0,125;-4,498709677;-13,31096774;-14,93035714;-9,534193548;-5,308666667;-2,249354839;-0,771333333;1,502903226;3,977741935;3,398333333
-0,5;1,033870968;0,043333333;-0,850645161;-11,08225806;-13,90357143;-9,76516129;-5,808333333;-2,960967742;-1,488666667;-0,851612903;0,322258065;2,023333333
-0,75;0,372903226;-0,061;-0,34483871;-9,280645161;-12,93821429;-9,675483871;-5,961666667;-3,29483871;-1,845666667;-1,206129032;-0,657741935;0,578333333
-1;-0,217419355;-0,246666667;-0,325806452;-7,624193548;-11,99464286;-9,528064516;-6,064333333;-3,576774194;-2,160333333;-1,517096774;-1,05516129;-0,409
-1,5;-0,869032258;-0,762666667;-0,732580645;-5,209032258;-10,19357143;-9,06;-6,133666667;-4,009677419;-2,693;-2,041935484;-1,61516129;-1,148666667
-2;-1,37516129;-1,220666667;-1,140967742;-3,725806452;-8,522142857;-8,392580645;-6,058666667;-4,3;-3,116666667;-2,477741935;-2,064193548;-1,676
-2,5;-1,814516129;-1,636333333;-1,525806452;-2,888064516;-6,994285714;-7,574193548;-5,868333333;-4,474193548;-3,451333333;-2,848709677;-2,448709677;-2,107666667
-3;-2,20483871;-2,015666667;-1,88483871;-2,5;-5,619642857;-6,65483871;-5,591;-4,55483871;-3,713;-3,16516129;-2,788064516;-2,478666667
-3,5;-2,557741935;-2,364;-2,220967742;-2,394193548;-4,410357143;-5,684516129;-5,249666667;-4,564516129;-3,913333333;-3,436774194;-3,091290323;-2,81
-4;-2,868709677;-2,679;-2,529032258;-2,466129032;-3,453571429;-4,73516129;-4,852;-4,499032258;-4,045;-3,653225806;-3,34483871;-3,095
-4,5;-3,097096774;-2,922333333;-2,775483871;-2,660322581;-3,012142857;-3,971935484;-4,402333333;-4,319032258;-4,054333333;-3,762580645;-3,508387097;-3,293333333
-5;0,08;0,01;-0,64;-2,04;-3,67;-4,90;-5,29;-4,91;-4,07;-2,90;-1,50;-0,37
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,466774194;-5,962;-16,36709677;-22,10193548;-21,85535714;-12,43258065;-5,563;0,389354839;5,609333333;11,18451613;10,91225806;5,580666667
-0,25;1,026451613;-0,079666667;-2,177419355;-7,797741935;-10,035;-6,670645161;-3,902666667;-1,812258065;-0,780666667;0,465483871;2,208709677;1,819333333
-0,5;0,373548387;-0,034;-0,14483871;-5,244193548;-9,099285714;-6,792903226;-4,272666667;-2,34483871;-1,33;-0,840322581;-0,511612903;0,212333333
-0,75;-0,213225806;-0,216333333;-0,264193548;-3,859032258;-8,244642857;-6,664516129;-4,346666667;-2,563548387;-1,582;-1,094193548;-0,782903226;-0,453666667
-1;-0,531290323;-0,443666667;-0,43;-2,887741935;-7,417857143;-6,490645161;-4,381;-2,74;-1,796;-1,312580645;-1,000967742;-0,739666667
-1,5;-0,932258065;-0,813;-0,751935484;-1,801290323;-5,871785714;-6,017419355;-4,338666667;-2,98483871;-2,128333333;-1,664516129;-1,362580645;-1,131666667
-2;-1,250967742;-1,117666667;-1,033870968;-1,370645161;-4,524285714;-5,405806452;-4,181333333;-3,11;-2,365;-1,930645161;-1,647096774;-1,436
-2,5;-1,51483871;-1,382;-1,287741935;-1,328709677;-3,434642857;-4,703548387;-3,935333333;-3,140322581;-2,525666667;-2,135806452;-1,874516129;-1,682666667
-3;-1,737741935;-1,613333333;-1,516129032;-1,46483871;-2,649285714;-3,959677419;-3,623;-3,093548387;-2,622333333;-2,293225806;-2,060322581;-1,886
-3,5;-1,928709677;-1,815333333;-1,720645161;-1,648709677;-2,155357143;-3,222903226;-3,268333333;-2,991290323;-2,671666667;-2,413548387;-2,214516129;-2,06
-4;-2,087096774;-1,985333333;-1,897741935;-1,823225806;-1,912857143;-2,573225806;-2,892;-2,843225806;-2,671;-2,489677419;-2,331290323;-2,200666667
-4,5;-2,186129032;-2,1;-2,022580645;-1,953225806;-1,925714286;-2,202580645;-2,546333333;-2,643225806;-2,593666667;-2,490645161;-2,380322581;-2,279
-5;0,28;0,22;-0,26;-1,25;-2,39;-3,26;-3,54;-3,28;-2,70;-1,87;-0,85;-0,03
