Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33096774;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;3,792580645;-4,988333333;-14,85580645;-21,6183871;-22,03392857;-13,39290323;-6,841333333;-0,403870968;6,194666667;13,95;14,19806452;8,105666667
-0,5;4,005483871;-3,755;-12,69548387;-19,93483871;-20,84642857;-13,66580645;-7,642666667;-1,547096774;4,705;12,22870968;13,13774194;8,242
-0,75;4,149354839;-2,652666667;-10,81419355;-18,30419355;-19,57392857;-13,86645161;-8,268;-2,541290323;3,378333333;10,55258065;12,07935484;8,232666667
-1;4,241290323;-1,677333333;-9,148064516;-16,72322581;-18,29857143;-13,96225806;-8,766333333;-3,417741935;2,174333333;8,946774194;11,0216129;8,118333333
-1,5;4,277741935;-0,159666667;-6,427741935;-13,74967742;-15,86571429;-13,77516129;-9,408666667;-4,820322581;0,124;6,05483871;8,929354839;7,589333333
-2;4,148064516;0,843333333;-4,372580645;-11,0716129;-13,655;-13,14870968;-9,679666667;-5,835806452;-1,520666667;3,616451613;6,917419355;6,765666667
-2,5;3,870322581;1,426666667;-2,849032258;-8,743225806;-11,66678571;-12,20967742;-9,664333333;-6,525483871;-2,818;1,61;5,04483871;5,75
-3;3,467741935;1,683666667;-1,75516129;-6,78516129;-9,885357143;-11,09451613;-9,424;-6,937419355;-3,81;-0,018064516;3,351612903;4,636333333
-3,5;2,962258065;1,703;-1,001290323;-5,194516129;-8,308571429;-9,910322581;-9,014666667;-7,120645161;-4,539666667;-1,317419355;1,860645161;3,5
-4;2,38483871;1,553333333;-0,516774194;-3,94483871;-6,932857143;-8,738387097;-8,486666667;-7,119677419;-5,041;-2,332903226;0,574516129;2,398666667
-4,5;1,762580645;1,286333333;-0,246774194;-2,99516129;-5,753928571;-7,633548387;-7,882666667;-6,977741935;-5,350666667;-3,106774194;-0,510645161;1,369666667
-5;1,123870968;0,944;-0,139354839;-2,303225806;-4,765714286;-6,627419355;-7,242333333;-6,732258065;-5,505333333;-3,672580645;-1,406451613;0,436333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33096774;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;2,331612903;-4,634;-13,38774194;-19,41419355;-19,77607143;-12,03451613;-6,167;-0,756129032;3,815666667;8,846129032;9,026774194;5,126
-0,5;2,398709677;-3,699333333;-11,55;-17,98129032;-18,77214286;-12,32967742;-6,929;-1,743870968;2,695;7,617741935;8,247096774;5,127333333
-0,75;2,418387097;-2,870666667;-9,960967742;-16,59290323;-17,69214286;-12,56032258;-7,535;-2,616774194;1,680666667;6,419354839;7,468064516;5,037666667
-1;2,407741935;-2,142666667;-8,560645161;-15,24741935;-16,60821429;-12,69645161;-8,024666667;-3,392580645;0,749666667;5,267741935;6,690645161;4,879666667
-1,5;2,288387097;-1,034333333;-6,302258065;-12,72290323;-14,545;-12,62870968;-8,686666667;-4,664516129;-0,866;3,179677419;5,15516129;4,375333333
-2;2,067096774;-0,332333333;-4,623870968;-10,45580645;-12,67607143;-12,16290323;-9,015;-5,609354839;-2,194;1,395483871;3,68;3,685333333
-2,5;1,753870968;0,040333333;-3,404193548;-8,490645161;-10,99928571;-11,41483871;-9,083666667;-6,274516129;-3,263666667;-0,09516129;2,303548387;2,881
-3;1,365483871;0,167;-2,546774194;-6,848387097;-9,503214286;-10,50322581;-8,948666667;-6,698064516;-4,103666667;-1,323870968;1,053870968;2,020333333
-3,5;0,918064516;0,116;-1,972580645;-5,52;-8,181428571;-9,52483871;-8,656333333;-6,922580645;-4,739333333;-2,318387097;-0,052580645;1,155
-4;0,431612903;-0,057333333;-1,622580645;-4,485483871;-7,03;-8,552258065;-8,254;-6,982580645;-5,189333333;-3,109677419;-1,010645161;0,324333333
-4,5;-0,076774194;-0,311;-1,439354839;-3,706129032;-6,045;-7,631612903;-7,779333333;-6,913225806;-5,486333333;-3,724516129;-1,82483871;-0,452
-5;-0,584516129;-0,613666667;-1,387419355;-3,144193548;-5,221071429;-6,791290323;-7,264666667;-6,749032258;-5,651333333;-4,183548387;-2,503225806;-1,153
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33096774;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;2,12;-3,487666667;-10,20741935;-14,82322581;-15,10178571;-9,186129032;-4,700666667;-0,452258065;3,466666667;7,916451613;8,069032258;4,594
-0,5;2,211935484;-2,72;-8,77;-13,70258065;-14,31642857;-9,39516129;-5,267666667;-1,216774194;2,543333333;6,880645161;7,420322581;4,635
-0,75;2,262903226;-2,034;-7,523548387;-12,61645161;-13,47035714;-9,554193548;-5,716;-1,890322581;1,713333333;5,869677419;6,772580645;4,592666667
-1;2,283870968;-1,432;-6,422903226;-11,56580645;-12,62142857;-9,641935484;-6,075666667;-2,486129032;0,956;4,899354839;6,124516129;4,490333333
-1,5;2,243548387;-0,502;-4,639032258;-9,590967742;-11,00642857;-9,555806452;-6,552333333;-3,45;-0,346333333;3,146451613;4,845806452;4,116666667
-2;2,109354839;0,098;-3,302258065;-7,813870968;-9,542142857;-9,167096774;-6,774;-4,159677419;-1,407333333;1,658064516;3,615806452;3,576
-2,5;1,892258065;0,432666667;-2,321612903;-6,271612903;-8,223928571;-8,56516129;-6,799333333;-4,649677419;-2,251666667;0,422903226;2,470967742;2,929333333
-3;1,60516129;0,563333333;-1,626774194;-4,979354839;-7,046785714;-7,838064516;-6,667666667;-4,956129032;-2,906;-0,586774194;1,433870968;2,23
-3,5;1,264193548;0,547333333;-1,15516129;-3,931290323;-6,0075;-7,061612903;-6,419666667;-5,105483871;-3,396;-1,399354839;0,517096774;1,523
-4;0,884516129;0,428666667;-0,857419355;-3,111935484;-5,098571429;-6,293225806;-6,087666667;-5,130645161;-3,739333333;-2,04;-0,274193548;0,84
-4,5;0,483225806;0,242333333;-0,697741935;-2,492580645;-4,321785714;-5,56483871;-5,701333333;-5,057096774;-3,957666667;-2,531290323;-0,944516129;0,203333333
-5;0,076774194;0,010666667;-0,641290323;-2,042258065;-3,670714286;-4,901935484;-5,286666667;-4,912580645;-4,073666667;-2,896774194;-1,500322581;-0,374333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33096774;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;1,607741935;-2,392;-7,052258065;-10,25096774;-10,44607143;-6,351612903;-3,247333333;-0,260322581;2,627333333;5,958387097;6,068387097;3,46
-0,5;1,688387097;-1,835333333;-6,044516129;-9,464516129;-9,893214286;-6,487741935;-3,633;-0,793225806;1,961;5,201290323;5,597741935;3,505
-0,75;1,738387097;-1,34;-5,168709677;-8,703225806;-9,298571429;-6,590645161;-3,936666667;-1,26;1,364666667;4,461935484;5,128709677;3,488666667
-1;1,766129032;-0,903;-4,393225806;-7,965483871;-8,7025;-6,642903226;-4,178333333;-1,672258065;0,823333333;3,75516129;4,66;3,426
-1,5;1,761290323;-0,224;-3,133225806;-6,578387097;-7,5675;-6,569677419;-4,494333333;-2,335806452;-0,105666667;2,478064516;3,732258065;3,174
-2;1,683225806;0,219333333;-2,184516129;-5,329354839;-6,536071429;-6,28516129;-4,634666667;-2,820645161;-0,855666667;1,397741935;2,841612903;2,794
-2,5;1,545483871;0,472333333;-1,484516129;-4,243548387;-5,608571429;-5,854516129;-4,638333333;-3,151290323;-1,449333333;0,505483871;2,010967742;2,336
-3;1,353225806;0,578333333;-0,985806452;-3,331935484;-4,779285714;-5,336774194;-4,535;-3,352580645;-1,908;-0,221612903;1,261290323;1,836666667
