Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;3,377096774;-3,452666667;-13,71129032;-20,64774194;-21,85214286;-13,20354839;-6,634333333;-1,043225806;4,484666667;12,27064516;12,94774194;7,263666667
-0,5;3,063548387;-1,322666667;-10,36870968;-18,01774194;-20,5125;-13,29419355;-7,267;-1,941935484;1,601333333;8,831290323;10,63451613;6,541666667
-0,75;2,693225806;-0,049;-7,187419355;-15,45;-19,11321429;-13,35580645;-7,784333333;-2,640967742;-0,147;5,463548387;8,340967742;5,681666667
-1;2,275483871;0,307666667;-4,212903226;-12,97064516;-17,70535714;-13,34741935;-8,192333333;-3,275483871;-0,79;2,417096774;6,075483871;4,697333333
-1,5;1,348064516;0,299;-0,46;-8,33;-15,01214286;-13,08903226;-8,745333333;-4,361935484;-1,694666667;-0,437741935;1,700645161;2,490666667
-2;0,357741935;0,157;0,067741935;-4,651935484;-12,58642857;-12,51774194;-9,012;-5,20483871;-2,508666667;-1,172903226;-0,363225806;0,281333333
-2,5;-0,266129032;-0,194333333;-0,17516129;-3,18516129;-10,4575;-11,71;-9,06;-5,83516129;-3,228;-1,818064516;-0,929354839;-0,445
-3;-0,631612903;-0,504333333;-0,443225806;-2,357419355;-8,646428571;-10,74903226;-8,928333333;-6,270322581;-3,838666667;-2,395806452;-1,451612903;-0,893666667
-3,5;-0,987096774;-0,81;-0,708387097;-1,864193548;-7,126428571;-9,72483871;-8,666;-6,542258065;-4,344333333;-2,906451613;-1,931935484;-1,319
-4;-1,329354839;-1,106666667;-0,968709677;-1,621290323;-5,89;-8,701290323;-8,304666667;-6,675806452;-4,742;-3,349032258;-2,367096774;-1,717333333
-4,5;-1,656451613;-1,393333333;-1,222258065;-1,545806452;-4,905714286;-7,731290323;-7,877333333;-6,692903226;-5,041;-3,723870968;-2,75516129;-2,086333333
-5;-1,963548387;-1,667666667;-1,469677419;-1,579032258;-4,146428571;-6,84483871;-7,411;-6,620322581;-5,251;-4,035483871;-3,098387097;-2,422333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;2,091290323;-2,924;-12,09290323;-19,05322581;-19,76428571;-11,91967742;-6,007;-1,144193548;2,445333333;7,402580645;7,959032258;4,456
-0,5;1,797419355;-1,005666667;-8,996451613;-17,27;-18,77714286;-12,10709677;-6,640666667;-1,920967742;0,419333333;4,735483871;6,142580645;3,779666667
-0,75;1,470645161;-0,020666667;-6,060967742;-15,54580645;-17,73071429;-12,26548387;-7,174;-2,585483871;-0,513333333;2,133870968;4,342258065;3,021666667
-1;1,118387097;0,161;-3,352903226;-13,91225806;-16,66642857;-12,35967742;-7,606333333;-3,195806452;-0,988333333;0,35516129;2,569354839;2,197666667
-1,5;0,369032258;0,124666667;-0,413548387;-10,95870968;-14,60785714;-12,32064516;-8,230666667;-4,250967742;-1,860666667;-0,78516129;-0,088387097;0,452
-2;-0,226774194;-0,185333333;-0,278387097;-8,494516129;-12,72107143;-11,98419355;-8,592;-5,088709677;-2,653;-1,460967742;-0,738387097;-0,365333333
-2,5;-0,606129032;-0,509333333;-0,487741935;-6,541612903;-11,03107143;-11,41322581;-8,748;-5,734193548;-3,356333333;-2,082580645;-1,281290323;-0,823666667
-3;-0,978064516;-0,828333333;-0,747096774;-5,087419355;-9,5425;-10,68;-8,731333333;-6,201290323;-3,961333333;-2,644516129;-1,786774194;-1,262333333
-3,5;-1,338064516;-1,141666667;-1,018064516;-4,040645161;-8,241428571;-9,862903226;-8,586;-6,518387097;-4,471;-3,145483871;-2,25516129;-1,681666667
-4;-1,684516129;-1,445666667;-1,288387097;-3,336129032;-7,126428571;-9,019354839;-8,339333333;-6,702580645;-4,880666667;-3,586129032;-2,679677419;-2,072666667
-4,5;-2,011612903;-1,738;-1,550967742;-2,889032258;-6,187142857;-8,197741935;-8,017;-6,777419355;-5,198;-3,963548387;-3,063225806;-2,436
-5;-2,32;-2,018;-1,805806452;-2,631612903;-5,412142857;-7,426129032;-7,647333333;-6,761935484;-5,430666667;-4,28;-3,402580645;-2,768333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;1,867096774;-2,118333333;-9,091290323;-14,21322581;-15,03821429;-9,077096774;-4,568333333;-0,854516129;2,08;6,524193548;7,080322581;3,950666667
-0,5;1,596451613;-0,580333333;-6,44;-12,51419355;-14,21035714;-9,182580645;-5,028666667;-1,445806452;0,349;4,100322581;5,415483871;3,331
-0,75;1,298064516;0,086666667;-3,896129032;-10,86870968;-13,33714286;-9,267419355;-5,412666667;-1,934193548;-0,383666667;1,761290323;3,763225806;2,638666667
-1;0,979032258;0,159333333;-1,75;-9,301612903;-12,455;-9,302903226;-5,717666667;-2,380645161;-0,729333333;0,240967742;2,138064516;1,888666667
-1,5;0,303548387;0,122666667;0,02;-6,469677419;-10,75571429;-9,205483871;-6,151666667;-3,150322581;-1,36;-0,590322581;-0,108387097;0,305666667
-2;-0,185483871;-0,147;-0,131612903;-4,685483871;-9,212142857;-8,886774194;-6,384666667;-3,75483871;-1,930333333;-1,072258065;-0,560967742;-0,293
-2,5;-0,453870968;-0,376333333;-0,333225806;-3,487419355;-7,841428571;-8,397096774;-6,462333333;-4,21516129;-2,439;-1,514516129;-0,942903226;-0,615
-3;-0,716774194;-0,602666667;-0,532580645;-2,668064516;-6,656071429;-7,790322581;-6,415333333;-4,541290323;-2,873666667;-1,913225806;-1,299677419;-0,925
-3,5;-0,971290323;-0,823666667;-0,728709677;-2,122903226;-5,6375;-7,13;-6,273666667;-4,757096774;-3,235666667;-2,268709677;-1,628387097;-1,219
-4;-1,213870968;-1,037666667;-0,920645161;-1,794193548;-4,786071429;-6,460967742;-6,058666667;-4,874193548;-3,525666667;-2,578709677;-1,927096774;-1,494333333
-4,5;-1,444193548;-1,243333333;-1,105806452;-1,62;-4,088214286;-5,816129032;-5,791;-4,91;-3,748666667;-2,844516129;-2,195806452;-1,747
-5;-1,660967742;-1,44;-1,284516129;-1,552903226;-3,528928571;-5,219354839;-5,491333333;-4,880322581;-3,908;-3,066451613;-2,43483871;-1,980333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);3,509354839;-6,292666667;-17,27774194;-23,33064516;-23,06964286;-13,12193548;-5,871;0,85;7,853333333;15,6583871;15,27774194;7,812666667
-0,25;1,380645161;-1,213333333;-6,002903226;-9,644516129;-10,36571429;-6,264516129;-3,15;-0,619032258;1,421;4,610967742;5,138709677;2,876333333
-0,5;1,141612903;-0,175;-3,893870968;-8,227741935;-9,746428571;-6,317096774;-3,456666667;-1,008709677;0,127666667;2,556451613;3,744516129;2,326333333
-0,75;0,884516129;0,115;-1,88483871;-6,846129032;-9,100357143;-6,356774194;-3,710333333;-1,334516129;-0,321;0,777419355;2,366129032;1,725666667
-1;0,610322581;0,130333333;-0,516129032;-5,529354839;-8,448214286;-6,362903226;-3,910333333;-1,631612903;-0,540333333;-0,099677419;1,030967742;1,088333333
-1,5;0,037741935;0,029;0,01516129;-3,346774194;-7,200714286;-6,259677419;-4,187666667;-2,140967742;-0,951333333;-0,467419355;-0,192903226;-0,026333333
-2;-0,199677419;-0,162666667;-0,143548387;-2,391935484;-6,075714286;-6,006451613;-4,328333333;-2,540645161;-1,324333333;-0,772580645;-0,451935484;-0,278666667
-2,5;-0,372258065;-0,311333333;-0,274193548;-1,759677419;-5,089285714;-5,640645161;-4,364;-2,842258065;-1,653333333;-1,055483871;-0,693548387;-0,483666667
-3;-0,539677419;-0,456666667;-0,403225806;-1,353870968;-4,250357143;-5,200322581;-4,315;-3,052258065;-1,936333333;-1,31;-0,919032258;-0,679666667
-3,5;-0,700967742;-0,598666667;-0,529677419;-1,108064516;-3,543571429;-4,727741935;-4,201;-3,187741935;-2,170666667;-1,538064516;-1,127419355;-0,865333333
-4;-0,85516129;-0,736;-0,652903226;-0,980645161;-2,966785714;-4,25483871;-4,041666667;-3,257741935;-2,357333333;-1,735806452;-1,317096774;-1,038333333
-4,5;-1,000967742;-0,867;-0,771935484;-0,93516129;-2,506785714;-3,804193548;-3,847;-3,271935484;-2,499333333;-1,90516129;-1,488064516;-1,198666667
-5;-1,137419355;-0,991666667;-0,886451613;-0,943225806;-2,149285714;-3,390967742;-3,633333333;-3,244193548;-2,598666667;-2,045483871;-1,637419355;-1,345
