Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,840666667;-4,548;-12,27096774;-17,4083871;-16,89428571;-11,37129032;-5,861;-0,433548387;3,395666667;8,918064516;7,29483871;4,537333333
-0,25;0,755666667;-0,216666667;-5,097741935;-14,77387097;-17,0775;-10,79064516;-7,661333333;-2,730645161;-1,047666667;0,906129032;2,657741935;2,857666667
-0,5;0,290666667;-0,052;-1,452903226;-12,84258065;-16,34071429;-10,6416129;-8,290333333;-3,564193548;-1,784666667;-1,026451613;-0,502903226;1,026666667
-0,75;-0,177666667;-0,263666667;-0,952258065;-11,34;-15,40321429;-10,51;-8,406666667;-3,994193548;-2,201666667;-1,441612903;-0,941612903;-0,245
-1;-0,557666667;-0,542666667;-0,822903226;-9,932903226;-14,45678571;-10,36;-8,452;-4,366129032;-2,580666667;-1,810322581;-1,307741935;-0,799333333
-1,5;-1,202;-1,093666667;-1,077741935;-7,497419355;-12,58607143;-9,972258065;-8,371;-4,957096774;-3,243;-2,454516129;-1,94516129;-1,522
-2;-1,775;-1,611333333;-1,526774194;-5,711935484;-10,78892857;-9,440645161;-8,121666667;-5,379677419;-3,797333333;-3,012903226;-2,500967742;-2,108
-2,5;-2,29;-2,094666667;-1,974516129;-4,540645161;-9,102857143;-8,769032258;-7,761666667;-5,660967742;-4,260666667;-3,504193548;-3;-2,622
-3;-2,765333333;-2,550666667;-2,402580645;-3,830967742;-7,544285714;-7,983870968;-7,331333333;-5,831290323;-4,645666667;-3,94;-3,452580645;-3,087333333
-3,5;-3,208333333;-2,980666667;-2,811290323;-3,441612903;-6,126428571;-7,125483871;-6,858333333;-5,910967742;-4,964333333;-4,327096774;-3,865806452;-3,515
-4;-3,609666667;-3,378333333;-3,19483871;-3,300967742;-4,934285714;-6,24516129;-6,357666667;-5,899354839;-5,204333333;-4,653548387;-4,229677419;-3,896333333
-4,5;-3,926;-3,705;-3,519032258;-3,434516129;-4,246071429;-5,45;-5,848666667;-5,738709677;-5,293666667;-4,858064516;-4,490645161;-4,190333333
-5;-4,165333333;-3,962333333;-3,78516129;-3,648387097;-3,966071429;-4,848064516;-5,379;-5,492258065;-5,264333333;-4,953870968;-4,658709677;-4,399666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);0,840666667;-4,548;-12,27096774;-17,4083871;-16,89428571;-11,37129032;-5,861;-0,433548387;3,395666667;8,918064516;7,29483871;4,537333333
-0,25;0,581;-0,206333333;-4,527096774;-13,88354839;-16,11428571;-10,27967742;-7,235;-2,627419355;-1,045;0,506774194;2,17483871;2,129666667
-0,5;0,086333333;-0,086;-1,128387097;-11,95096774;-15,38857143;-10,13870968;-7,842666667;-3,428709677;-1,749333333;-1,035806452;-0,581290323;0,186666667
-0,75;-0,351666667;-0,361;-0,810645161;-10,47935484;-14,49071429;-10,00612903;-7,956;-3,835483871;-2,144666667;-1,427419355;-0,966129032;-0,553
-1;-0,692333333;-0,639666667;-0,782580645;-9,109032258;-13,58535714;-9,856129032;-8,000333333;-4,187096774;-2,503;-1,775806452;-1,307741935;-0,944333333
-1,5;-1,278666667;-1,157;-1,107741935;-6,793225806;-11,79892857;-9,467096774;-7,918333333;-4,739354839;-3,126;-2,382580645;-1,905806452;-1,566333333
-2;-1,800333333;-1,637333333;-1,540645161;-5,160322581;-10,0875;-8,941935484;-7,675;-5,129354839;-3,644333333;-2,90516129;-2,42516129;-2,090666667
