Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,8;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;1,567333333;-3,882666667;-11,17419355;-16,87193548;-17,53607143;-11,51064516;-7,135666667;-1,290645161;3,579333333;10,95387097;9,474516129;6,450333333
-0,5;1,824666667;-3,013666667;-9,617419355;-15,45774194;-16,93821429;-11,22870968;-7,850333333;-2,160645161;2,472666667;9,422258065;8,750645161;6,462333333
-0,75;2,030333333;-2,248666667;-8,263225806;-14,14096774;-16,10785714;-11,09258065;-8,333666667;-2,919677419;1,469;7,946451613;8,041290323;6,374333333
-1;2,191333333;-1,587333333;-7,053548387;-12,89580645;-15,17928571;-11,00032258;-8,665666667;-3,591935484;0,549333333;6,553870968;7,335806452;6,203666667
-1,5;2,381666667;-0,59;-5,06483871;-10,62322581;-13,23678571;-10,77322581;-8,952;-4,675483871;-1,019666667;4,090322581;5,926129032;5,628
-2;2,403333333;0,054;-3,573225806;-8,626451613;-11,38107143;-10,35258065;-8,904333333;-5,459354839;-2,261666667;2,060322581;4,521612903;4,833666667
-2,5;2,273666667;0,425666667;-2,493870968;-6,912580645;-9,698571429;-9,722903226;-8,648666667;-5,982258065;-3,217;0,419354839;3,160967742;3,921
-3;2,012666667;0,588666667;-1,738709677;-5,487096774;-8,212857143;-8,946129032;-8,256;-6,280967742;-3,928;-0,885483871;1,890322581;2,969
-3,5;1,649;0,593;-1,238064516;-4,336774194;-6,923214286;-8,09483871;-7,783333333;-6,393225806;-4,434333333;-1,903548387;0,743225806;2,033333333
-4;1,209333333;0,481;-0,931612903;-3,439354839;-5,825357143;-7,232580645;-7,262666667;-6,35483871;-4,769666667;-2,681290323;-0,260645161;1,147333333
