Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;1,341;-2,384666667;-10,02612903;-16,13064516;-17,40321429;-11,47935484;-6,977;-1,43483871;1,917666667;9,264516129;8,349354839;5,679333333
-0,5;1,211333333;-0,737666667;-7,233225806;-14,03258065;-16,72464286;-11,12483871;-7,570666667;-2,086774194;0,107;5,980967742;6,536129032;4,897333333
-0,75;1,048333333;0,055333333;-4,573225806;-12,04032258;-15,88107143;-10,88483871;-8,011;-2,697096774;-0,644;2,850322581;4,759032258;4,019333333
-1;0,85;0,148;-2,202258065;-10,16580645;-14,93464286;-10,70967742;-8,312666667;-3,250645161;-1,076333333;0,675483871;3,029677419;3,048666667
-1,5;0,392;0,122333333;-0,003870968;-6,804516129;-12,95357143;-10,39548387;-8,619;-4,189677419;-1,866666667;-0,720967742;0,091935484;0,954666667
-2;-0,124;-0,100333333;-0,1;-4,716129032;-11,04535714;-9,997741935;-8,638666667;-4,91516129;-2,570333333;-1,342258065;-0,597741935;-0,246
-2,5;-0,458333333;-0,382666667;-0,344193548;-3,472903226;-9,314642857;-9,470645161;-8,473;-5,452580645;-3,183;-1,904193548;-1,087741935;-0,657666667
-3;-0,785333333;-0,66;-0,586451613;-2,656129032;-7,812142857;-8,829032258;-8,181333333;-5,816774194;-3,695666667;-2,405483871;-1,542580645;-1,050666667
-3,5;-1,101;-0,931333333;-0,825806452;-2,141612903;-6,533928571;-8,118387097;-7,814666667;-6,040645161;-4,117333333;-2,847741935;-1,963225806;-1,422333333
-4;-1,404666667;-1,196;-1,059677419;-1,857741935;-5,483928571;-7,386129032;-7,403333333;-6,133870968;-4,447333333;-3,226451613;-2,343870968;-1,769
-4,5;-1,691666667;-1,45;-1,287419355;-1,731935484;-4,640357143;-6,671612903;-6,969666667;-6,128387097;-4,691333333;-3,547096774;-2,680322581;-2,089333333
-5;-1,961666667;-1,694333333;-1,506774194;-1,713870968;-3,981428571;-6,002903226;-6,532;-6,040645161;-4,86;-3,808387097;-2,978064516;-2,381333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,744666667;-2,161;-8,986129032;-15,01258065;-15,71;-10,34290323;-6,301;-1,363225806;0,931333333;5,417741935;5,104516129;3,447
-0,5;0,634666667;-0,658;-6,541290323;-13,65612903;-15,23392857;-10,09677419;-6,877666667;-1,977419355;-0,248333333;2,853225806;3,668064516;2,764666667
-0,75;0,501666667;0,034333333;-4,243870968;-12,37322581;-14,60785714;-9,951290323;-7,317666667;-2,556774194;-0,752333333;0,752903226;2,263870968;2,031
-1;0,352666667;0,101333333;-2,314516129;-11,17548387;-13,88428571;-9,864193548;-7,634;-3,083548387;-1,154666667;-0,251935484;0,910322581;1,250666667
-1,5;-0,03;-0,038333333;-0,911612903;-9,02516129;-12,33785714;-9,712903226;-7,996;-3,987096774;-1,906666667;-0,91483871;-0,366774194;-0,088
-2;-0,38;-0,330666667;-0,728064516;-7,21483871;-10,82071429;-9,47516129;-8,098;-4,697419355;-2,579333333;-1,496129032;-0,854193548;-0,522666667
-2,5;-0,708333333;-0,611;-0,748064516;-5,745483871;-9,418571429;-9,108064516;-8,028;-5,239032258;-3,171;-2,028387097;-1,316774194;-0,915333333
-3;-1,028;-0,887333333;-0,883870968;-4,613548387;-8,171428571;-8,622580645;-7,837;-5,621612903;-3,673666667;-2,507419355;-1,747419355;-1,293333333
-3,5;-1,337666667;-1,158;-1,072903226;-3,769032258;-7,083928571;-8,058064516;-7,571666667;-5,871290323;-4,092666667;-2,933870968;-2,145483871;-1,649333333
-4;-1,633333333;-1,42;-1,287096774;-3,178709677;-6,157142857;-7,456451613;-7,254666667;-6,003225806;-4,426;-3,303870968;-2,507419355;-1,981
-4,5;-1,912;-1,671666667;-1,50516129;-2,787419355;-5,381785714;-6,853548387;-6,914333333;-6,039677419;-4,683;-3,619677419;-2,832580645;-2,288666667
-5;-2,175666667;-1,911333333;-1,721612903;-2,550967742;-4,745;-6,27483871;-6,556666667;-5,996774194;-4,866;-3,883548387;-3,12;-2,570666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,756;-1,413333333;-6,570967742;-11,20870968;-11,95964286;-7,880322581;-4,799;-1,037096774;0,800333333;4,796129032;4,500645161;3,058
-0,5;0,626333333;-0,273333333;-4,372258065;-9,907096774;-11,54;-7,664193548;-5,220333333;-1,49;-0,190333333;2,451290323;3,192903226;2,425666667
-0,75;0,482;0,082666667;-2,257741935;-8,682258065;-11,00928571;-7,52483871;-5,537666667;-1,916774194;-0,563666667;0,584193548;1,912258065;1,748333333
-1;0,324666667;0,100333333;-0,736129032;-7,554516129;-10,40464286;-7,43;-5,760333333;-2,30483871;-0,854666667;-0,216774194;0,691935484;1,036
-1,5;-0,038;-0,03;-0,041612903;-5,635806452;-9,130357143;-7,261612903;-6,001666667;-2,966129032;-1,400333333;-0,686774194;-0,29483871;-0,092333333
-2;-0,293666667;-0,248666667;-0,223548387;-4,236451613;-7,891785714;-7,031290323;-6,045333333;-3,481612903;-1,889333333;-1,101612903;-0,641290323;-0,399666667
-2,5;-0,526666667;-0,448666667;-0,400322581;-3,219354839;-6,759642857;-6,708387097;-5,959666667;-3,868387097;-2,317;-1,482258065;-0,968709677;-0,681
-3;-0,753;-0,645666667;-0,57483871;-2,515806452;-5,766071429;-6,300645161;-5,785333333;-4,136774194;-2,679666667;-1,82516129;-1,274516129;-0,947333333
-3,5;-0,972333333;-0,837333333;-0,746451613;-2,043548387;-4,910714286;-5,840322581;-5,556666667;-4,305806452;-2,978;-2,127741935;-1,557096774;-1,199
-4;-1,180333333;-1,023;-0,912580645;-1,749677419;-4,195357143;-5,358064516;-5,294333333;-4,386774194;-3,216333333;-2,388709677;-1,813870968;-1,432333333
-4,5;-1,377666667;-1,201333333;-1,074516129;-1,586129032;-3,611428571;-4,883225806;-5,013666667;-4,396774194;-3,394333333;-2,612580645;-2,042580645;-1,649666667
-5;-1,563;-1,370666667;-1,229677419;-1,514516129;-3,144642857;-4,433225806;-4,727;-4,351290323;-3,519333333;-2,797096774;-2,244516129;-1,848666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313548387;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,574;-0,821333333;-4,277419355;-7,51516129;-8,245357143;-5,44;-3,313333333;-0,725483871;0,534;3,386451613;3,267419355;2,221
-0,5;0,46;-0,063;-2,498064516;-6,397096774;-7,920714286;-5,27483871;-3,592666667;-1,030967742;-0,173;1,476774194;2,186451613;1,677666667
-0,75;0,338333333;0,091666667;-0,933548387;-5,338709677;-7,5175;-5,160645161;-3,804;-1,316451613;-0,402;0,146774194;1,126774194;1,102666667
-1;0,206333333;0,089666667;-0,105483871;-4,354516129;-7,067857143;-5,080645161;-3,947;-1,57516129;-0,593666667;-0,215483871;0,177419355;0,503666667
-1,5;-0,090666667;-0,075;-0,07;-2,950322581;-6,127142857;-4,933870968;-4,093333333;-2,016451613;-0,952666667;-0,504193548;-0,256129032;-0,141
-2;-0,246666667;-0,209666667;-0,187096774;-2,167096774;-5,224642857;-4,748709677;-4,105333333;-2,356774194;-1,275333333;-0,77;-0,476451613;-0,325
-2,5;-0,396333333;-0,339333333;-0,301935484;-1,62483871;-4,407857143;-4,500967742;-4,030333333;-2,610322581;-1,556666667;-1,013870968;-0,685806452;-0,502666667
-3;-0,541;-0,466;-0,414516129;-1,274516129;-3,700714286;-4,2;-3,895;-2,781935484;-1,793666667;-1,232903226;-0,881612903;-0,671666667
