Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;1,226333333;-3,223666667;-10,82774194;-16,36967742;-16,83392857;-11,41;-6,64;-1,171935484;2,999666667;10,30612903;8,903225806;5,832
-0,5;1,119666667;-0,953;-6,847419355;-12,57129032;-14,67035714;-10,42064516;-7,397333333;-2,620967742;-0,021333333;5,713548387;6,146451613;4,69
-0,75;0,982333333;-0,042333333;-3,941935484;-9,764193548;-12,83928571;-9,774193548;-7,813666667;-3,646774194;-1,408;2,35483871;4,081290323;3,739
-1;0,837;0,091666667;-2,260322581;-7,966129032;-11,47392857;-9,379677419;-7,889333333;-4,212258065;-2,049333333;0,604193548;2,761612903;2,990333333
-1,5;0,424333333;0,034;-0,393548387;-4,867741935;-8,831428571;-8,525483871;-7,663666667;-4,980322581;-3,030333333;-1,453225806;0,353548387;1,344
-2;-0,109;-0,215;-0,309677419;-2,69483871;-6,544642857;-7,491935484;-7,125333333;-5,340322581;-3,694666667;-2,413870968;-1,129032258;-0,239333333
-2,5;-0,797666667;-0,710666667;-0,690322581;-1,647741935;-4,723928571;-6,35483871;-6,445333333;-5,409677419;-4,115666667;-3,050967742;-1,981935484;-1,2
-3;-1,395666667;-1,188333333;-1,083870968;-1,360967742;-3,412857143;-5,241935484;-5,723666667;-5,271290323;-4,339666667;-3,47516129;-2,591612903;-1,873333333
-3,5;-1,888333333;-1,61;-1,443548387;-1,441612903;-2,600714286;-4,269032258;-5,020666667;-4,995806452;-4,405;-3,736129032;-3,018387097;-2,377666667
-4;-2,282333333;-1,969666667;-1,761612903;-1,647096774;-2,1925;-3,507741935;-4,386333333;-4,651612903;-4,356666667;-3,873870968;-3,307096774;-2,751666667
-4,5;-2,586666667;-2,264666667;-2,032258065;-1,868709677;-2,06;-2,974193548;-3,853666667;-4,294516129;-4,235;-3,919354839;-3,486451613;-3,016666667
-5;-2,809333333;-2,497;-2,254516129;-2,07;-2,077857143;-2,650322581;-3,444;-3,962903226;-4,071;-3,896129032;-3,579032258;-3,193666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,641333333;-2,880666667;-9,764516129;-14,84935484;-15,1275;-10,32354839;-6,060333333;-1,22483871;1,695;6,343548387;5,561935484;3,658666667
-0,5;0,496666667;-0,870666667;-6,345806452;-11,81741935;-13,42821429;-9,60483871;-6,867;-2,598064516;-0,546;2,744516129;3,389677419;2,597333333
-0,75;0,320333333;-0,112333333;-3,852580645;-9,562580645;-11,99785714;-9,142903226;-7,330666667;-3,586129032;-1,608;0,365483871;1,78;1,734666667
-1;0,179333333;-0,034666667;-2,475806452;-8,133225806;-10,90821429;-8,867096774;-7,458666667;-4,139677419;-2,198333333;-0,686451613;0,77483871;1,112666667
-1,5;-0,190666667;-0,295;-1,094516129;-5,681290323;-8,768571429;-8,249354839;-7,373333333;-4,92;-3,139666667;-1,91516129;-0,816451613;-0,158666667
-2;-0,823666667;-0,779666667;-0,93516129;-3,877096774;-6,89;-7,456774194;-6,995333333;-5,328709677;-3,805;-2,714193548;-1,740322581;-1,093666667
-2,5;-1,413666667;-1,256;-1,201290323;-2,761290323;-5,363214286;-6,546774194;-6,479;-5,467096774;-4,248333333;-3,293548387;-2,434516129;-1,798
-3;-1,925;-1,691666667;-1,553548387;-2,237741935;-4,212142857;-5,628064516;-5,908666667;-5,409354839;-4,507;-3,702903226;-2,959354839;-2,356
-3,5;-2,355666667;-2,076;-1,890322581;-2,107096774;-3,431785714;-4,801935484;-5,339;-5,22;-4,618666667;-3,973225806;-3,343548387;-2,791333333
-4;-2,704333333;-2,405666667;-2,19;-2,177096774;-2,960357143;-4,128064516;-4,810333333;-4,955806452;-4,618333333;-4,133225806;-3,615483871;-3,124333333
-4,5;-2,98;-2,677666667;-2,446129032;-2,327419355;-2,726428571;-3,628709677;-4,353666667;-4,668064516;-4,543666667;-4,20516129;-3,792903226;-3,37
-5;-3,187666667;-2,894666667;-2,658387097;-2,492903226;-2,651428571;-3,299354839;-3,987;-4,389677419;-4,421;-4,211290323;-3,894193548;-3,539
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,572666667;-2,012666667;-7,35;-11,23677419;-11,45214286;-7,851290323;-4,567666667;-0,86483871;1,514666667;5,579677419;4,947741935;3,232333333
-0,5;0,444;-0,407333333;-4,427741935;-8,614516129;-9,97;-7,184516129;-5,127;-1,910322581;-0,393;2,408709677;3,024516129;2,307333333
-0,75;0,296333333;-0,003666667;-2,303548387;-6,658709677;-8,728571429;-6,74;-5,437;-2,664193548;-1,226333333;0,340967742;1,598709677;1,561333333
-1;0,176333333;-0,011;-1,226451613;-5,420645161;-7,794285714;-6,468709677;-5,496;-3,07483871;-1,669333333;-0,541935484;0,714516129;1,021666667
-1,5;-0,123666667;-0,204;-0,424516129;-3,361935484;-5,991428571;-5,875483871;-5,341333333;-3,621612903;-2,345666667;-1,487419355;-0,656129032;-0,091666667
-2;-0,636;-0,591;-0,59;-2,033870968;-4,46;-5,157741935;-4,961;-3,864516129;-2,796333333;-2,05;-1,360967742;-0,863666667
-2,5;-1,095333333;-0,966;-0,896451613;-1,439677419;-3,282142857;-4,376774194;-4,488;-3,893870968;-3,071666667;-2,433225806;-1,853225806;-1,394
-3;-1,476;-1,297666667;-1,18483871;-1,313870968;-2,476071429;-3,633870968;-3,991666667;-3,776129032;-3,208333333;-2,685806452;-2,204193548;-1,791
-3,5;-1,781666667;-1,578666667;-1,437741935;-1,403548387;-2,0125;-3,011290323;-3,519666667;-3,564516129;-3,232666667;-2,834516129;-2,44483871;-2,084666667
-4;-2,018;-1,809333333;-1,652903226;-1,554193548;-1,811071429;-2,544193548;-3,104333333;-3,316774194;-3,181333333;-2,90516129;-2,6;-2,297333333
-4,5;-2,194;-1,991333333;-1,829354839;-1,706451613;-1,768214286;-2,238709677;-2,765333333;-3,070967742;-3,083666667;-2,918387097;-2,690645161;-2,441666667
-5;-2,316666667;-2,128333333;-1,966774194;-1,835806452;-1,803571429;-2,071290323;-2,514666667;-2,852903226;-2,965;-2,891290323;-2,729032258;-2,531333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);1,278709677;-4,799666667;-12,95290323;-18,37677419;-17,82321429;-12,00193548;-6,172;-0,313870968;4,773;12,48548387;10,21225806;6,351333333
-0,25;0,407333333;-1,291333333;-4,930967742;-7,621612903;-7,8825;-5,356451613;-3,151333333;-0,587741935;1,07;4,161935484;3,661612903;2,380666667
-0,5;0,299333333;-0,123666667;-2,737096774;-5,571612903;-6,678214286;-4,803225806;-3,484;-1,312903226;-0,340333333;1,594193548;2,132258065;1,621
-0,75;0,171666667;0,018333333;-1,156129032;-4,046129032;-5,669642857;-4,43483871;-3,655;-1,833225806;-0,915666667;0,03;1,007096774;1,021666667
-1;0,074;-0,025333333;-0,502580645;-3,091935484;-4,927857143;-4,203548387;-3,654333333;-2,103225806;-1,214333333;-0,556129032;0,307741935;0,596
-1,5;-0,197666667;-0,229666667;-0,267741935;-1,604516129;-3,537142857;-3,701935484;-3,457666667;-2,428709677;-1,647666667;-1,144193548;-0,632258065;-0,252666667
-2;-0,581333333;-0,525;-0,499032258;-0,928064516;-2,428928571;-3,116774194;-3,116666667;-2,529354839;-1,906666667;-1,477741935;-1,08;-0,761333333
-2,5;-0,894666667;-0,791;-0,728709677;-0,802580645;-1,6725;-2,522580645;-2,731;-2,479032258;-2,037333333;-1,683225806;-1,37;-1,095
