Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84714286;-12,91548387;-6,320333333;0,682258065;6,068333333;14,32290323;12,74193548;6,557666667
-0,25;2,127741935;-2,979;-11,74677419;-17,54870968;-18,72678571;-12,45741935;-7,270333333;-2,016451613;2,020333333;9,283870968;9,601612903;5,276666667
-0,5;1,536129032;-0,933333333;-8,469032258;-15,44677419;-17,40035714;-12,02290323;-7,86;-3,256774194;-0,673666667;4,333225806;6,465806452;3,876333333
-0,75;0,89516129;-0,155333333;-5,560967742;-13,42451613;-15,97214286;-11,64096774;-8,284333333;-4,138709677;-1,711666667;0,541935484;3,339354839;2,401
-1;0,234193548;-0,13;-3,44483871;-11,48129032;-14,49464286;-11,27548387;-8,555333333;-4,853870968;-2,499666667;-1,22;0,575483871;0,881333333
-1,5;-0,967096774;-0,907;-1,771290323;-7,89483871;-11,54714286;-10,47774194;-8,75;-5,926451613;-3,819;-2,685806452;-1,729677419;-1,162
-2;-1,92483871;-1,732666667;-1,723225806;-5,113548387;-8,875714286;-9,468709677;-8,536;-6,556451613;-4,806666667;-3,726129032;-2,875483871;-2,269666667
-2,5;-2,694516129;-2,43;-2,258387097;-3,626774194;-6,745;-8,254193548;-8,007333333;-6,78;-5,432;-4,45483871;-3,690645161;-3,099666667
-3;-3,312258065;-3,013333333;-2,796451613;-3,182258065;-5,248214286;-7,024193548;-7,331666667;-6,718709677;-5,761333333;-4,938709677;-4,271935484;-3,727
-3,5;-3,797419355;-3,492333333;-3,258064516;-3,253225806;-4,372857143;-5,959354839;-6,622666667;-6,472258065;-5,871666667;-5,231290323;-4,671612903;-4,191
-4;-4,167419355;-3,876666667;-3,641612903;-3,503225806;-3,993571429;-5,162580645;-5,965666667;-6,127096774;-5,825333333;-5,373225806;-4,928064516;-4,524
-4,5;-4,442903226;-4,176333333;-3,951935484;-3,777096774;-3,9225;-4,657741935;-5,415333333;-5,752258065;-5,680666667;-5,400967742;-5,070645161;-4,747
