Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84678571;-12,91548387;-6,320333333;0,682258065;6,068;14,32290323;12,74193548;6,557666667
-0,25;2,306774194;-4,292333333;-12,85516129;-17,73225806;-18,58464286;-12,41032258;-6,820666667;-0,769677419;3,824666667;11,92580645;11,31258065;6,188666667
-0,5;2,072903226;-1,476666667;-8,428064516;-13,78612903;-16,0225;-11,54064516;-7,642333333;-2,636129032;0,489666667;6,872903226;8,182903226;5,195666667
-0,75;1,774193548;-0,108;-5,162903226;-10,79419355;-13,91285714;-10,93451613;-8,105666667;-3,834516129;-1,175;3,188709677;5,757419355;4,293333333
-1;1,51;0,227;-3,222580645;-8,866774194;-12,39428571;-10,50032258;-8,227;-4,481290323;-1,874666667;1,185806452;4,150967742;3,562333333
-1,5;0,883870968;0,225;-0,687096774;-5,490645161;-9,512857143;-9,481935484;-8,089333333;-5,33516129;-2,971666667;-1,277741935;1,201612903;1,929333333
-2;0,180322581;-0,002333333;-0,169032258;-2,980322581;-7,035;-8,247741935;-7,598333333;-5,712903226;-3,747333333;-2,366451613;-0,841290323;0,244333333
-2,5;-0,581612903;-0,505333333;-0,517741935;-1,671612903;-5,048571429;-6,926129032;-6,919666667;-5,772580645;-4,255333333;-3,076451613;-1,869354839;-0,958333333
-3;-1,249677419;-1,036333333;-0,939677419;-1,286129032;-3,594285714;-5,65483871;-6,158333333;-5,613548387;-4,533666667;-3,557096774;-2,570322581;-1,739333333
-3,5;-1,796451613;-1,502666667;-1,332580645;-1,349677419;-2,673214286;-4,551290323;-5,393;-5,311290323;-4,629666667;-3,859354839;-3,057096774;-2,320333333
-4;-2,238387097;-1,899666667;-1,680645161;-1,568064516;-2,199642857;-3,686451613;-4,687333333;-4,938709677;-4,592;-4,024516129;-3,387741935;-2,750666667
-4,5;-2,582580645;-2,228;-1,979354839;-1,809032258;-2,036785714;-3,077741935;-4,085333333;-4,547741935;-4,465666667;-4,086774194;-3,595483871;-3,058666667
-5;-2,83516129;-2,487333333;-2,225806452;-2,029032258;-2,0475;-2,705483871;-3,617333333;-4,184516129;-4,29;-4,072258065;-3,705806452;-3,265333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84678571;-12,91548387;-6,320333333;0,682258065;6,068;14,32290323;12,74193548;6,557666667
-0,25;1,326451613;-3,803;-11,48064516;-16,02225806;-16,70571429;-11,23870968;-6,135;-0,987096774;2,314;7,341612903;7,045806452;3,811333333
-0,5;1,039677419;-1,340666667;-7,612580645;-12,83451613;-14,67178571;-10,65064516;-7,026666667;-2,677741935;-0,252666667;3,467741935;4,563870968;2,829666667
-0,75;0,728064516;-0,237666667;-4,788064516;-10,44677419;-13,00642857;-10,23451613;-7,589666667;-3,799354839;-1,449666667;0,801290323;2,68516129;2,018666667
-1;0,491935484;-0,008;-3,162580645;-8,918709677;-11,79642857;-9,936451613;-7,788;-4,421935484;-2,098333333;-0,437419355;1,486129032;1,419333333
-1,5;-0,022903226;-0,133;-1,265483871;-6,276774194;-9,476785714;-9,196451613;-7,820333333;-5,281935484;-3,157333333;-1,859354839;-0,538064516;0,151333333
-2;-0,688709677;-0,652;-0,918387097;-4,297419355;-7,462857143;-8,246451613;-7,51;-5,719677419;-3,928666667;-2,745806452;-1,641290323;-0,919666667
-2,5;-1,331935484;-1,172;-1,141612903;-3,019677419;-5,817857143;-7,192580645;-7,013666667;-5,869677419;-4,456666667;-3,394193548;-2,434193548;-1,709666667
-3;-1,893548387;-1,648666667;-1,510322581;-2,378387097;-4,5625;-6,150645161;-6,424;-5,812258065;-4,772333333;-3,859677419;-3,029677419;-2,341
-3,5;-2,370645161;-2,070666667;-1,875806452;-2,182580645;-3,691785714;-5,220322581;-5,812666667;-5,614193548;-4,918333333;-4,173548387;-3,468709677;-2,839333333
-4;-2,762580645;-2,433666667;-2,203225806;-2,227419355;-3,152142857;-4,459032258;-5,231;-5,337741935;-4,935333333;-4,36483871;-3,779677419;-3,221333333
-4,5;-3,072903226;-2,738;-2,487096774;-2,374516129;-2,87;-3,893548387;-4,718666667;-5,029677419;-4,864333333;-4,458709677;-3,987096774;-3,504666667
-5;-3,31;-2,978666667;-2,722903226;-2,551290323;-2,765714286;-3,51483871;-4,301333333;-4,729032258;-4,739;-4,475483871;-4,108064516;-3,701666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84678571;-12,91548387;-6,320333333;0,682258065;6,068;14,32290323;12,74193548;6,557666667
-0,25;1,207096774;-2,773666667;-8,689032258;-12,02935484;-12,70464286;-8,484516129;-4,738;-0,668064516;2,097666667;6,581290323;6,33516129;3,391333333
-0,5;0,957741935;-0,788333333;-5,451290323;-9,312903226;-10,91785714;-7,889354839;-5,344333333;-2,006774194;-0,123;3,176451613;4,139032258;2,552666667
-0,75;0,69;-0,045;-3,066774194;-7,264516129;-9,470714286;-7,476451613;-5,682666667;-2,861612903;-1,097333333;0,81;2,47483871;1,857333333
-1;0,48483871;0,045666667;-1,731935484;-5,948709677;-8,428571429;-7,186129032;-5,769666667;-3,318709677;-1,589333333;-0,278709677;1,418709677;1,337
-1,5;0,039032258;-0,065333333;-0,434193548;-3,721935484;-6,461428571;-6,497741935;-5,662666667;-3,908064516;-2,363;-1,427741935;-0,378709677;0,228
-2;-0,499354839;-0,463;-0,489354839;-2,213548387;-4,802142857;-5,658064516;-5,308333333;-4,15516129;-2,893333333;-2,062258065;-1,261612903;-0,692333333
-2,5;-1,007419355;-0,877333333;-0,812258065;-1,49;-3,516428571;-4,764516129;-4,83;-4,174516129;-3,226;-2,498064516;-1,835483871;-1,303666667
-3;-1,430322581;-1,242666667;-1,127419355;-1,306451613;-2,623571429;-3,924193548;-4,303;-4,037741935;-3,394;-2,789032258;-2,240967742;-1,762
-3,5;-1,773225806;-1,553666667;-1,405806452;-1,383548387;-2,0975;-3,221612903;-3,787666667;-3,809677419;-3,433666667;-2,966129032;-2,519677419;-2,103
-4;-2,041612903;-1,811;-1,644193548;-1,542580645;-1,857142857;-2,692258065;-3,326333333;-3,541612903;-3,382333333;-3,055483871;-2,701612903;-2,349
-4,5;-2,244193548;-2,015666667;-1,839354839;-1,707741935;-1,795357143;-2,341290323;-2,945333333;-3,273548387;-3,28;-3,078387097;-2,809032258;-2,519333333
-5;-2,386451613;-2,171333333;-1,993870968;-1,852258065;-1,829285714;-2,14483871;-2,660666667;-3,034193548;-3,151333333;-3,054193548;-2,858709677;-2,626
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,364516129;-6,068666667;-15,16193548;-19,68903226;-19,84678571;-12,91548387;-6,320333333;0,682258065;6,068;14,32290323;12,74193548;6,557666667
-0,25;0,893548387;-1,707333333;-5,900322581;-8,239677419;-8,683571429;-5,820645161;-3,255666667;-0,459677419;1,531;4,803225806;4,637096774;2,533666667
-0,5;0,675806452;-0,239666667;-3,41;-6,076774194;-7,264285714;-5,30516129;-3,611666667;-1,403225806;-0,179;2,07516129;2,892258065;1,825666667
-0,75;0,450322581;0,039666667;-1,578387097;-4,443870968;-6,118214286;-4,940645161;-3,800666667;-1,982580645;-0,839;0,296774194;1,590645161;1,243
-1;0,285483871;0,025333333;-0,712903226;-3,411935484;-5,301428571;-4,682580645;-3,818666667;-2,276451613;-1,174;-0,430967742;0,766451613;0,822666667
-1,5;-0,075806452;-0,119;-0,2;-1,755483871;-3,791785714;-4,089354839;-3,656;-2,614516129;-1,672;-1,121935484;-0,496774194;-0,052333333
-2;-0,499032258;-0,445333333;-0,429032258;-0,940645161;-2,588214286;-3,403548387;-3,326666667;-2,704193548;-1,978333333;-1,496774194;-1,037741935;-0,667
-2,5;-0,846774194;-0,739;-0,677096774;-0,771290323;-1,752857143;-2,720322581;-2,929;-2,638709677;-2,135;-1,731290323;-1,372903226;-1,054
-3;-1,117419355;-0,984333333;-0,896774194;-0,863548387;-1,299285714;-2,135483871;-2,52;-2,478064516;-2,178333333;-1,866774194;-1,587096774;-1,322333333
-3,5;-1,319354839;-1,179666667;-1,079032258;-1,009032258;-1,144642857;-1,71;-2,149;-2,268709677;-2,138333333;-1,927096774;-1,716129032;-1,504666667
-4;-1,463548387;-1,33;-1,225483871;-1,142903226;-1,147142857;-1,455806452;-1,846;-2,051290323;-2,050333333;-1,932580645;-1,78516129;-1,622666667
-4,5;-1,561935484;-1,440666667;-1,337096774;-1,251612903;-1,205714286;-1,336129032;-1,623333333;-1,857419355;-1,942666667;-1,903870968;-1,811290323;-1,691666667
-5;-1,620645161;-1,515;-1,417741935;-1,332258065;-1,270357143;-1,302903226;-1,489333333;-1,706129032;-1,836333333;-1,85516129;-1,807419355;-1,724
