Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;3,344333333;-4,354;-13,41354839;-19,1683871;-19,69928571;-11,51387097;-5,416333333;3,342258065;9,515666667;15,44387097;13,10193548;9,131
-0,5;3,73;-3,124;-11,33580645;-17,61903226;-18,74428571;-11,66967742;-6,267666667;1,798064516;8,209;13,66387097;12,51193548;9,228
-0,75;4,052666667;-2,014333333;-9,546129032;-16,13548387;-17,63607143;-11,79548387;-6,919;0,502580645;6,888333333;12,02064516;11,86774194;9,202
-1;4,317333333;-1,035;-7,958064516;-14,69516129;-16,47535714;-11,85709677;-7,426666667;-0,619677419;5,612666667;10,49129032;11,17935484;9,077
-1,5;4,667333333;0,488666667;-5,337096774;-11,96870968;-14,17714286;-11,69935484;-8,042666667;-2,411290323;3,311;7,788387097;9,683225806;8,553666667
-2;4,792666667;1,521666667;-3,327419355;-9,482580645;-12,03857143;-11,16612903;-8,254333333;-3,71516129;1,384;5,510322581;8,102903226;7,765
-2,5;4,718666667;2,167666667;-1,82;-7,294193548;-10,09857143;-10,34064516;-8,172666667;-4,612258065;-0,18;3,607419355;6,520322581;6,816333333
-3;4,477666667;2,514666667;-0,719677419;-5,433870968;-8,362142857;-9,328387097;-7,883;-5,167741935;-1,411333333;2,03;5,010967742;5,795
-3,5;4,102666667;2,635;0,055483871;-3,905806452;-6,827857143;-8,235483871;-7,443333333;-5,445483871;-2,343333333;0,738709677;3,621935484;4,764333333
-4;3,629333333;2,588;0,572258065;-2,688709677;-5,488214286;-7,138064516;-6,904666667;-5,507419355;-3,015;-0,301290323;2,387419355;3,765333333
-4,5;3,092;2,419;0,884516129;-1,751612903;-4,341071429;-6,089677419;-6,306666667;-5,405483871;-3,461666667;-1,120322581;1,320322581;2,827666667
-5;2,524666667;2,164666667;1,037419355;-1,056129032;-3,376428571;-5,127096774;-5,680666667;-5,18483871;-3,722333333;-1,745806452;0,421612903;1,97
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
