Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;2,985333333;-3,019666667;-12,37516129;-18,01774194;-19,08857143;-11,22096774;-5,360333333;1,796774194;7,967;13,9783871;11,97709677;8,324666667
-0,5;2,798;-0,990333333;-9,141290323;-15,30193548;-17,58178571;-11,08903226;-5,945666667;-0,318387097;5,030666667;10,81258065;10,24903226;7,598
-0,75;2,566;0,118333333;-6,08483871;-12,64741935;-15,97892857;-10,95387097;-6,405333333;-1,256451613;2,178;7,803225806;8,477096774;6,744666667
-1;2,279333333;0,341;-3,263870968;-10,05612903;-14,34571429;-10,78870968;-6,745333333;-1,796129032;0,316;4,960322581;6,67;5,764666667
-1,5;1,576333333;0,349333333;-0,156451613;-5,062580645;-11,20607143;-10,3183871;-7,145666667;-2,711935484;-0,793;0,48516129;3,037419355;3,554
-2;0,753;0,24;0,089354839;-1,048709677;-8,445357143;-9,637419355;-7,252;-3,435806452;-1,411666667;-0,554193548;0,130322581;1,169666667
-2,5;-0,051333333;-0,010333333;-0,010967742;-0,028709677;-6,189285714;-8,791612903;-7,146;-3,986129032;-1,958333333;-1,00516129;-0,449032258;-0,176666667
-3;-0,305;-0,235333333;-0,201612903;-0,183870968;-4,508571429;-7,846451613;-6,889;-4,369677419;-2,426666667;-1,414193548;-0,802580645;-0,472
-3,5;-0,540333333;-0,433333333;-0,373870968;-0,336129032;-3,311428571;-6,875483871;-6,535;-4,61483871;-2,816;-1,779677419;-1,130645161;-0,751333333
-4;-0,766666667;-0,627666667;-0,543548387;-0,487096774;-2,492857143;-5,94;-6,118666667;-4,728709677;-3,123666667;-2,096451613;-1,429032258;-1,016
-4,5;-0,981333333;-0,815666667;-0,708387097;-0,63516129;-1,952857143;-5,081935484;-5,670333333;-4,739677419;-3,355;-2,367419355;-1,698709677;-1,261333333
-5;-1,185;-0,996333333;-0,869032258;-0,779677419;-1,613928571;-4,327096774;-5,211;-4,667419355;-3,515666667;-2,592903226;-1,935483871;-1,485666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,719666667;-2,628333333;-10,92741935;-16,39677419;-17,54785714;-10,22096774;-4,929333333;0,599354839;4,550666667;8,585806452;7,368387097;5,124
-0,5;1,538666667;-0,839333333;-7,946774194;-14,28548387;-16,65964286;-10,28193548;-5,554666667;-0,758064516;2,214666667;6,117741935;5,949677419;4,432333333
-0,75;1,32;0,055333333;-5,13;-12,25064516;-15,67071429;-10,33774194;-6,067333333;-1,424516129;0,358;3,74516129;4,51;3,664333333
-1;1,072666667;0,174;-2,566774194;-10,30709677;-14,63035714;-10,36;-6,468666667;-1,963870968;-0,408666667;1,540645161;3,061612903;2,826666667
-1,5;0,514666667;0,144666667;-0,037741935;-6,751612903;-12,565;-10,25387097;-7,017333333;-2,909354839;-1,128333333;-0,396774194;0,336451613;1,032666667
-2;-0,068333333;-0,05;-0,05;-4,441612903;-10,64857143;-9,922258065;-7,288;-3,681290323;-1,78;-0,926129032;-0,423225806;-0,177
-2,5;-0,367;-0,305333333;-0,272258065;-3,231290323;-8,940357143;-9,39516129;-7,353333333;-4,291612903;-2,363666667;-1,414516129;-0,839032258;-0,525666667
-3;-0,649;-0,546666667;-0,48483871;-2,43;-7,468214286;-8,722580645;-7,262333333;-4,742903226;-2,869666667;-1,859354839;-1,228709677;-0,859666667
-3,5;-0,923;-0,784;-0,694516129;-1,922580645;-6,2175;-7,97516129;-7,062333333;-5,058387097;-3,298333333;-2,259677419;-1,592903226;-1,178666667
-4;-1,186666667;-1,014;-0,899677419;-1,635806452;-5,187142857;-7,20483871;-6,785666667;-5,248064516;-3,648;-2,613225806;-1,924516129;-1,478
-4,5;-1,436666667;-1,237333333;-1,1;-1,506129032;-4,355357143;-6,457419355;-6,454333333;-5,328387097;-3,92;-2,919032258;-2,223870968;-1,756666667
-5;-1,672666667;-1,450666667;-1,292903226;-1,479354839;-3,701071429;-5,760967742;-6,092666667;-5,32516129;-4,122;-3,177419355;-2,492258065;-2,012333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,565;-1,798;-8,190645161;-12,16516129;-13,28321429;-7,761935484;-3,740666667;0,562258065;4,026666667;7,594193548;6,515806452;4,536
-0,5;1,386;-0,424333333;-5,65483871;-10,20129032;-12,47285714;-7,754193548;-4,184666667;-0,557096774;1,904;5,360322581;5,219354839;3,894666667
-0,75;1,176333333;0,116666667;-3,233225806;-8,293548387;-11,59107143;-7,743870968;-4,544666667;-1,040967742;0,264333333;3,208064516;3,909354839;3,186
-1;0,940333333;0,167666667;-1,290322581;-6,456451613;-10,67892857;-7,709032258;-4,822;-1,426129032;-0,312666667;1,217419355;2,590322581;2,417666667
-1,5;0,419666667;0,134333333;0,069032258;-3,065806452;-8,893214286;-7,533225806;-5,178333333;-2,099354839;-0,813;-0,305483871;0,188064516;0,784
-2;-0,079666667;-0,053;-0,05;-1,588709677;-7,279285714;-7,194516129;-5,329666667;-2,643225806;-1,265;-0,666129032;-0,324516129;-0,155
-2,5;-0,279;-0,228666667;-0,200967742;-1,112258065;-5,878571429;-6,720322581;-5,328333333;-3,067419355;-1,67;-1;-0,603548387;-0,389333333
-3;-0,468666667;-0,392333333;-0,344516129;-0,857419355;-4,719642857;-6,150645161;-5,215;-3,376129032;-2,018666667;-1,303548387;-0,867741935;-0,614333333
-3,5;-0,652333333;-0,551666667;-0,48516129;-0,746129032;-3,775714286;-5,539032258;-5,024;-3,583225806;-2,311;-1,575483871;-1,113225806;-0,828
-4;-0,828;-0,706333333;-0,623548387;-0,730322581;-3,041428571;-4,926774194;-4,782333333;-3,698387097;-2,547333333;-1,814516129;-1,335483871;-1,028333333
-4,5;-0,995333333;-0,855333333;-0,757419355;-0,772903226;-2,485;-4,345483871;-4,506;-3,738064516;-2,73;-2,020967742;-1,537419355;-1,215
-5;-1,152;-0,997333333;-0,885806452;-0,847096774;-2,076785714;-3,815483871;-4,213666667;-3,713870968;-2,861333333;-2,193870968;-1,716774194;-1,384333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);2,987419355;-5,620666667;-15,7983871;-20,79419355;-20,42607143;-11,36419355;-4,368333333;5,147741935;10,72366667;17,33645161;13,65387097;8,925333333
-0,25;1,254333333;-1,013666667;-5,337419355;-8,139677419;-9,0775;-5,336129032;-2,588;0,266774194;2,844333333;5,511290323;4,766451613;3,317666667
-0,5;1,064333333;-0,082333333;-3,306129032;-6,480967742;-8,399642857;-5,294516129;-2,872;-0,454516129;1,115333333;3,656451613;3,670967742;2,755
-0,75;0,860666667;0,127333333;-1,436451613;-4,866129032;-7,679285714;-5,250322581;-3,098333333;-0,743548387;0,001;1,867096774;2,566129032;2,143333333
-1;0,642;0,134;-0,282580645;-3,303548387;-6,948214286;-5,193225806;-3,269;-0,990967742;-0,267333333;0,405806452;1,463225806;1,494
-1,5;0,172666667;0,095;0,061612903;-0,813870968;-5,553928571;-5,006774194;-3,475;-1,418709677;-0,575666667;-0,265483871;-0,071612903;0,165333333
-2;-0,119333333;-0,095666667;-0,083870968;-0,354516129;-4,335357143;-4,718387097;-3,543;-1,760645161;-0,857666667;-0,482580645;-0,274516129;-0,168666667
-2,5;-0,236333333;-0,197666667;-0,174516129;-0,282258065;-3,331071429;-4,34516129;-3,509666667;-2,024193548;-1,107333333;-0,68483871;-0,442903226;-0,309666667
-3;-0,350333333;-0,297;-0,261290323;-0,29;-2,5475;-3,920645161;-3,404333333;-2,210645161;-1,322333333;-0,869032258;-0,601935484;-0,444
-3,5;-0,460333333;-0,392666667;-0,347096774;-0,335483871;-1,955;-3,477096774;-3,251333333;-2,330967742;-1,503;-1,033548387;-0,749032258;-0,572666667
-4;-0,566;-0,486333333;-0,43;-0,396774194;-1,529285714;-3,045806452;-3,066333333;-2,391290323;-1,644333333;-1,178709677;-0,882580645;-0,691666667
-4,5;-0,665666667;-0,575333333;-0,510645161;-0,46516129;-1,233571429;-2,645483871;-2,865333333;-2,401612903;-1,753666667;-1,302903226;-1,001935484;-0,802333333
-5;-0,759;-0,66;-0,588387097;-0,53483871;-1,038214286;-2,289032258;-2,655;-2,372903226;-1,828666667;-1,404516129;-1,108709677;-0,904
