Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;5,166;-1,532333333;-9,093225806;-14,42322581;-16,38785714;-8,707419355;-3,013;2,047419355;4,986333333;11,76677419;12,4816129;8,674666667
-0,5;4,163666667;-0,197333333;-5,50483871;-11,61516129;-14,20428571;-8,639677419;-3,859;-0,53;1,902666667;7,509032258;9,407741935;7,033
-0,75;3,135;0,113;-2,520645161;-8,837096774;-12,08785714;-8,431290323;-4,325333333;-1,420322581;-0,267333333;3,465806452;6,350645161;5,288666667
-1;2,083;0,121333333;-0,728709677;-6,142903226;-10,04678571;-8,07483871;-4,596666667;-1,990322581;-1,088;0,396129032;3,330322581;3,475333333
-1,5;-0,009666667;-0,163666667;-0,253225806;-1,853225806;-6,244642857;-6,965483871;-4,748;-2,817419355;-1,953333333;-1,393870968;-0,73;-0,045
-2;-0,993333333;-0,870333333;-0,800645161;-0,893870968;-3,226071429;-5,42;-4,49;-3,262258065;-2,49;-2,010322581;-1,600967742;-1,232666667
-2,5;-1,513666667;-1,356333333;-1,243548387;-1,167096774;-1,734285714;-3,771935484;-3,925666667;-3,32516129;-2,744666667;-2,34516129;-2,022903226;-1,743333333
-3;-1,835333333;-1,686666667;-1,567419355;-1,473548387;-1,5;-2,533548387;-3,241666667;-3,129354839;-2,789666667;-2,496129032;-2,247741935;-2,028
-3,5;-2,027333333;-1,898333333;-1,790322581;-1,697741935;-1,6375;-1,95;-2,619666667;-2,808064516;-2,694666667;-2,518387097;-2,344193548;-2,181666667
-4;-2,129333333;-2,025333333;-1,932580645;-1,850645161;-1,783928571;-1,820645161;-2,193666667;-2,478709677;-2,522666667;-2,455483871;-2,353225806;-2,243333333
-4,5;-2,167333333;-2,092;-2,016774194;-1,947741935;-1,888214286;-1,856451613;-1,99;-2,218387097;-2,335666667;-2,345806452;-2,306451613;-2,243666667
-5;-2,162333333;-2,112;-2,057096774;-2,002258065;-1,952857143;-1,911290323;-1,931666667;-2,057419355;-2,174333333;-2,225483871;-2,229032258;-2,205333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;3,117666667;-1,341666667;-7,976774194;-13,18516129;-15,01357143;-8,021290323;-3,19;0,598709677;2,553;6,785483871;7,474516129;5,203666667
-0,5;2,268333333;-0,212666667;-4,681935484;-10,99290323;-13,30964286;-8,121935484;-3,88;-1,053225806;0,180333333;3,279354839;4,936451613;3,782333333
-0,75;1,407666667;-1,0177E-17;-2,078387097;-8,867419355;-11,64821429;-8,096774194;-4,345666667;-1,793870968;-0,883;0,440967742;2,416774194;2,308333333
-1;0,536333333;-0,029;-0,704516129;-6,851612903;-10,04678571;-7,93483871;-4,661333333;-2,357419355;-1,435;-0,833870968;0,28;0,804
-1,5;-0,732333333;-0,652;-0,638064516;-3,468387097;-7,068928571;-7,238064516;-4,979333333;-3,193548387;-2,281;-1,756774194;-1,29;-0,922
-2;-1,412666667;-1,263666667;-1,16483871;-1,831935484;-4,603928571;-6,104516129;-4,924;-3,685483871;-2,865666667;-2,361290323;-1,97;-1,649666667
-2,5;-1,883666667;-1,717666667;-1,591935484;-1,608709677;-2,9775;-4,772258065;-4,554666667;-3,833225806;-3,191;-2,742258065;-2,4;-2,113666667
-3;-2,209;-2,046;-1,914193548;-1,820967742;-2,254285714;-3,609354839;-4,021666667;-3,734516129;-3,309;-2,952258065;-2,662258065;-2,419666667
-3,5;-2,429333333;-2,281;-2,153870968;-2,048064516;-2,111428571;-2,839032258;-3,462666667;-3,493548387;-3,279333333;-3,032580645;-2,807419355;-2,61
-4;-2,567333333;-2,440666667;-2,327419355;-2,226129032;-2,180714286;-2,466774194;-2,992666667;-3,198709677;-3,156;-3,017419355;-2,862580645;-2,713333333
-4,5;-2,640666667;-2,538333333;-2,442903226;-2,352903226;-2,285;-2,35483871;-2,674666667;-2,923225806;-2,988333333;-2,944193548;-2,853548387;-2,751333333
-5;-2,666;-2,59;-2,511935484;-2,437419355;-2,3725;-2,360967742;-2,505;-2,707096774;-2,819666667;-2,837741935;-2,803548387;-2,742666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;2,770333333;-0,913333333;-5,75483871;-9,63516129;-11,28142857;-6,000322581;-2,386666667;0,568387097;2,266666667;6,041290323;6,603548387;4,619
-0,5;2,016;-0,116;-3,013548387;-7,544193548;-9,745714286;-6,003870968;-2,927666667;-0,83;0,163666667;2,900967742;4,344193548;3,345666667
-0,75;1,251;0,002666667;-1,045806452;-5,542903226;-8,236071429;-5,887741935;-3,237;-1,39516129;-0,739666667;0,374193548;2,096129032;2,025
-1;0,477333333;-0,027;-0,279032258;-3,68;-6,791785714;-5,639677419;-3,404333333;-1,79483871;-1,158;-0,711290323;0,212258065;0,683
-1,5;-0,633;-0,562;-0,541612903;-1,410967742;-4,158928571;-4,807096774;-3,460666667;-2,333225806;-1,747;-1,392903226;-1,066774194;-0,791333333
-2;-1,152666667;-1,036666667;-0,959032258;-0,989677419;-2,213571429;-3,646129032;-3,22;-2,566451613;-2,089666667;-1,785483871;-1,542903226;-1,326666667
-2,5;-1,476333333;-1,361666667;-1,269354839;-1,201290323;-1,436428571;-2,506774194;-2,767;-2,521290323;-2,211333333;-1,972258065;-1,785806452;-1,625
-3;-1,661666667;-1,565;-1,48;-1,408064516;-1,395;-1,803870968;-2,268666667;-2,310645161;-2,177;-2,02516129;-1,890967742;-1,773666667
-3,5;-1,752666667;-1,679;-1,610322581;-1,547096774;-1,499285714;-1,577096774;-1,88;-2,051612903;-2,055333333;-1,99;-1,909677419;-1,832
-4;-1,78;-1,73;-1,679032258;-1,629354839;-1,585357143;-1,570967742;-1,680333333;-1,833548387;-1,904333333;-1,905483871;-1,873870968;-1,830333333
-4,5;-1,768666667;-1,737666667;-1,703548387;-1,667096774;-1,633928571;-1,605483871;-1,620666667;-1,699354839;-1,773333333;-1,807096774;-1,809354839;-1,793666667
-5;-1,733333333;-1,717333333;-1,698064516;-1,674516129;-1,650714286;-1,627419355;-1,614;-1,637741935;-1,682666667;-1,719677419;-1,738064516;-1,74
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;2,013;-0,537333333;-3,580967742;-6,313225806;-7,521071429;-4,187741935;-1,772333333;0,387741935;1,580333333;4,327741935;4,791935484;3,378666667
-0,5;1,384;-0,073333333;-1,512258065;-4,520322581;-6,219642857;-4,094516129;-2,131;-0,711612903;-0,049;1,793548387;2,941612903;2,339333333
-0,75;0,747;-0,020666667;-0,393225806;-2,800322581;-4,965714286;-3,88516129;-2,284666667;-1,106774194;-0,664333333;-0,047096774;1,109354839;1,268333333
-1;0,124333333;-0,097666667;-0,188064516;-1,407419355;-3,783214286;-3,562258065;-2,312333333;-1,358064516;-0,938;-0,666774194;-0,20483871;0,220333333
-1,5;-0,608666667;-0,548666667;-0,518064516;-0,571935484;-1,767142857;-2,649032258;-2,143333333;-1,619032258;-1,287666667;-1,071290323;-0,882903226;-0,718666667
-2;-0,912666667;-0,84;-0,786451613;-0,748064516;-0,890714286;-1,636774194;-1,774333333;-1,610967742;-1,420333333;-1,266129032;-1,133225806;-1,014333333
-2,5;-1,064;-1,001333333;-0,948387097;-0,903870968;-0,882857143;-1,074193548;-1,352666667;-1,415483871;-1,368666667;-1,293870968;-1,216129032;-1,14
-3;-1,117333333;-1,073333333;-1,031935484;-0,994516129;-0,963571429;-0,970967742;-1,091666667;-1,200645161;-1,238;-1,229677419;-1,2;-1,161666667
-3,5;-1,11;-1,086333333;-1,06;-1,032580645;-1,008928571;-0,991290323;-1,008333333;-1,065483871;-1,113666667;-1,136774194;-1,14;-1,128333333
-4;-1,07;-1,064;-1,051290323;-1,03516129;-1,018928571;-1,004193548;-0,995;-1,007741935;-1,033333333;-1,056451613;-1,07;-1,079333333
-4,5;-1,028;-1,026666667;-1,02;-1,014516129;-1,006428571;-0,996451613;-0,988;-0,980967742;-0,990333333;-1,002580645;-1,013870968;-1,02
-5;-0,98;-0,98;-0,98;-0,98;-0,98;-0,974193548;-0,97;-0,961935484;-0,96;-0,964516129;-0,97;-0,977333333
