Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89258065;-17,21032258;-18,67071429;-8,534516129;-0,493666667;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;6,31;-2,685;-10,71935484;-15,79483871;-17,29107143;-9,177419355;-1,675333333;6,009354839;7,509333333;14,4283871;14,70387097;10,38366667
-0,5;6,46;-1,429333333;-8,811612903;-14,37419355;-15,94857143;-9,683548387;-2,617333333;4,643225806;6,814333333;12,70354839;13,87903226;10,46
-0,75;6,572666667;-0,301333333;-7,171935484;-12,97967742;-14,65857143;-10,00419355;-3,362666667;3,463870968;6,067333333;11,14677419;13,03967742;10,411
-1;6,650333333;0,699;-5,721612903;-11,62741935;-13,425;-10,1616129;-3,986;2,428064516;5,305333333;9,732258065;12,18935484;10,26733333
-1,5;6,683333333;2,264666667;-3,327096774;-9,090322581;-11,16642857;-9,99483871;-4,889666667;0,728387097;3,842;7,355483871;10,46870968;9,718
-2;6,570333333;3,317666667;-1,469032258;-6,818064516;-9,164285714;-9,349354839;-5,403333333;-0,595806452;2,541666667;5,484193548;8,77516129;8,920666667
-2,5;6,328;3,954;-0,051290323;-4,84;-7,387142857;-8,402580645;-5,583333333;-1,6;1,430333333;4,002258065;7,183225806;7,976666667
-3;5,975333333;4,271;0,999354839;-3,173225806;-5,812857143;-7,298709677;-5,491;-2,311290323;0,509333333;2,812258065;5,741935484;6,97
-3,5;5,535;4,349;1,745806452;-1,807096774;-4,429285714;-6,15;-5,195333333;-2,757419355;-0,226333333;1,853548387;4,48;5,963
-4;5,032666667;4,259666667;2,243870968;-0,717741935;-3,2275;-5,031290323;-4,756666667;-2,978064516;-0,791;1,08516129;3,398064516;4,999666667
-4,5;4,493;4,052666667;2,546451613;0,121290323;-2,197857143;-3,990645161;-4,225333333;-3,015806452;-1,195333333;0,476451613;2,489354839;4,109333333
-5;3,941;3,77;2,692580645;0,746774194;-1,335357143;-3,054193548;-3,647;-2,912258065;-1,456666667;0,006451613;1,743548387;3,307333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89258065;-17,21032258;-18,67071429;-8,534516129;-0,493666667;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;4;-2,642;-9,713225806;-14,22451613;-15,54678571;-8,299677419;-2,084333333;3,507096774;4,711666667;9,189354839;9,381935484;6,615
-0,5;4,044;-1,743;-8,129354839;-13,0416129;-14,42;-8,812903226;-2,897666667;2,462580645;4,149666667;7,994516129;8,781612903;6,603666667
-0,75;4,062666667;-0,941333333;-6,781935484;-11,88419355;-13,34;-9,158064516;-3,548333333;1,549354839;3,557333333;6,909032258;8,171935484;6,511
-1;4,059666667;-0,237;-5,600645161;-10,76225806;-12,30928571;-9,360645161;-4,096666667;0,74;2,957;5,915483871;7,555806452;6,359333333
-1,5;3,977;0,848666667;-3,680645161;-8,666451613;-10,43142857;-9,330967742;-4,911333333;-0,602903226;1,807;4,224516129;6,314193548;5,889
-2;3,804666667;1,550333333;-2,220322581;-6,792258065;-8,7775;-8,872258065;-5,407;-1,657096774;0,779333333;2,868064516;5,097096774;5,263333333
-2,5;3,550666667;1,946;-1,130322581;-5,173225806;-7,318214286;-8,138064516;-5,623;-2,464516129;-0,103333333;1,772258065;3,950645161;4,548333333
-3;3,231666667;2,112333333;-0,344193548;-3,818709677;-6,031785714;-7,259032258;-5,610666667;-3,043225806;-0,839;0,878387097;2,908709677;3,798
-3,5;2,861333333;2,112333333;0,198387097;-2,716129032;-4,903928571;-6,333870968;-5,421333333;-3,419032258;-1,432;0,147741935;1,992580645;3,055333333
-4;2,456333333;1,996333333;0,547741935;-1,846129032;-3,928571429;-5,425806452;-5,105333333;-3,616129032;-1,89;-0,446129032;1,204516129;2,347
-4,5;2,032;1,801666667;0,74516129;-1,184193548;-3,096428571;-4,580322581;-4,705666667;-3,668064516;-2,219666667;-0,920322581;0,536774194;1,694333333
-5;1,606666667;1,558666667;0,822580645;-0,697096774;-2,400357143;-3,819354839;-4,259666667;-3,605806452;-2,437666667;-1,291290323;-0,01516129;1,107
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89258065;-17,21032258;-18,67071429;-8,534516129;-0,493666667;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;3,581333333;-1,943333333;-7,388064516;-10,84741935;-11,86357143;-6,317419355;-1,408666667;3,275806452;4,239666667;8,206774194;8,370645161;5,908
